# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	
1.203013922029999883e+01 9.052294761142002244e+02 9.851726446641987422e+02 3.662983398999995188e+02 5.100968170000005557e+02 6.401150207999999111e+02 8.151852637142001186e+02 9.476679831641995406e+02 3.513684997499999554e+02 4.925976563000003807e+02 6.026036377000000357e+02 1.250926115000001460e+01 1.650943374500000118e+02 3.250700073500001963e+02 4.412833252000000357e+02 5.678773194000004878e+02 7.122216593666665858e+02 1.242851677500000278e+02 2.638165130500001396e+02 3.926903382000000420e+02 5.238281555499997921e+02 5.676443481999995129e+02 7.013453674499996850e+02 8.763726340642006107e+02 2.730581512999997358e+02
1.303013922029999705e+01 9.058919898141994054e+02 9.847262945641996339e+02 3.658433228000003510e+02 5.094976807000002736e+02 6.396360168999999587e+02 8.146398745641999994e+02 9.471361533142007829e+02 3.506706543000000238e+02 4.921206359999996494e+02 6.027998352499998873e+02 1.202470395000000281e+01 1.643956757000000835e+02 3.244210204999999405e+02 4.408433228000003510e+02 5.672184753999999884e+02 7.106983337999990908e+02 1.246316680999998425e+02 2.631549987999997029e+02 3.921900024000005942e+02 5.232881469499998275e+02 5.672666625999991084e+02 7.008563538500002323e+02 8.757513037641983829e+02 2.733493347000003268e+02
1.403013922029999705e+01 9.064749823642014235e+02 9.852321539641998243e+02 3.652304992499998662e+02 5.090856628000001365e+02 6.401596680000002380e+02 8.151577139641995018e+02 9.476783209642017027e+02 3.511731414999999288e+02 4.926391601499999524e+02 6.032153320999996140e+02 1.252153590000000349e+01 1.639843292000000474e+02 3.240406799000002138e+02 4.402924804500003120e+02 5.675013427499998215e+02 7.101302489999998215e+02 1.251743430999999873e+02 2.627409973000003447e+02 3.926584930500002883e+02 5.238653563999996550e+02 5.678108521000003748e+02 7.013560180999993463e+02 8.753413153641995450e+02 2.739375000000000000e+02
1.503013922029999705e+01 9.060153113642008975e+02 9.847278204642007040e+02 3.645866394000004220e+02 5.095556640999993760e+02 6.397326659999998810e+02 8.146895399642016855e+02 9.472456428641999082e+02 3.509769898000004105e+02 4.933054962500000329e+02 6.034060059000003093e+02 1.207686230000001615e+01 1.633253326500000639e+02 3.234114990000002763e+02 4.413437271249999867e+02 5.689688263250000091e+02 7.096749878000009630e+02 1.246565209499999582e+02 2.621490020999999615e+02 3.921211548499995843e+02 5.241765137000002142e+02 5.684040222000003268e+02 7.017283325999997032e+02 8.758151541642000666e+02 2.745760040499999377e+02
1.603013922029999705e+01 9.071443142308659162e+02 9.849686499642011768e+02 3.651084747499999139e+02 5.101430053499998394e+02 6.408165486999999985e+02 8.152114306641997246e+02 9.477834769641995081e+02 3.514941711499996018e+02 4.939331664999999703e+02 6.039233398500000476e+02 1.266127919999999563e+01 1.635826568999998472e+02 3.236890258500002346e+02 4.426743317000000388e+02 5.708697713666666687e+02 7.091103210999990551e+02 1.240213546999998471e+02 2.606483255999998505e+02 3.924129943999996613e+02 5.249249877999991440e+02 5.690506896999995661e+02 7.024201355500008503e+02 8.764624892641986662e+02 2.751956787500002974e+02
1.703013922029999705e+01 9.072763128642000083e+02 9.847139807642015512e+02 3.648206482000005053e+02 5.096255035500007580e+02 6.408873291999989306e+02 8.147000838641997689e+02 9.474776526642017416e+02 3.512000122000008560e+02 4.936376648000004934e+02 6.034256592000001547e+02 1.211527639999999906e+01 1.633276672000001781e+02 3.234317017000003034e+02 4.423576659999998810e+02 5.715506592000001547e+02 7.084966430999993463e+02 1.232318286999999373e+02 2.597246703999999227e+02 3.922066649999997026e+02 5.247470092999992630e+02 5.686793213000000833e+02 7.021640015000011772e+02 8.761393195642012870e+02 2.758448334500003511e+02
1.803013922029999705e+01 9.068153143642011855e+02 9.843293220642008237e+02 3.642104950499997358e+02 5.083926696999997148e+02 6.414184875499995542e+02 8.133964892641997722e+02 9.471688147641998512e+02 3.508661499999998341e+02 4.933050079499998901e+02 6.034860229999994772e+02 1.217995830000000979e+01 1.627743301499999689e+02 3.239528350999999020e+02 4.420688477000003331e+02 5.720935059000003093e+02 7.089943237000006775e+02 1.228657112500000039e+02 2.602341919000000416e+02 3.918303527999996732e+02 5.243066405999998096e+02 5.683241882499996791e+02 7.017236327999999048e+02 8.758456488642004842e+02 2.764776763999998366e+02
1.903013922029999705e+01 9.061589804641989758e+02 9.837514792642014072e+02 3.635993347000003268e+02 5.073851470999998128e+02 6.410573120000008203e+02 8.123737613142002374e+02 9.487667151641995815e+02 3.511444854999999734e+02 4.935888367000006838e+02 6.036540221999985079e+02 1.357143765999998131e+01 1.641517792000001066e+02 3.236626586999991559e+02 4.436259948999995686e+02 5.727421875000000000e+02 7.086993408000016643e+02 1.223500060999999732e+02 2.599250184000002264e+02 3.914850006500000745e+02 5.236640015000002677e+02 5.698965332199998102e+02 7.010886536499983777e+02 8.761693145141998684e+02 2.761793517999994947e+02
2.003013922029999705e+01 9.065006476641992776e+02 9.840108176641988393e+02 3.624791056666666123e+02 5.076928405999997267e+02 6.407650146999985736e+02 8.127265616641998349e+02 9.503299628142012807e+02 3.505009766000002855e+02 4.929419861999995192e+02 6.030076904000015929e+02 1.512018584999998438e+01 1.641319885000002614e+02 3.230160065000000031e+02 4.451814575500002320e+02 5.733333435000004101e+02 7.080608215499996732e+02 1.217240028500000335e+02 2.596283416999999645e+02 3.917368317000000388e+02 5.239654846500006897e+02 5.714613342499997088e+02 7.004913330000017595e+02 8.755229712641994411e+02 2.755156708000004073e+02
2.103013922029999705e+01 9.062053138642004342e+02 9.836933203641965520e+02 3.613536681999994471e+02 5.074033507999993162e+02 6.410601807000002736e+02 8.124349928642004670e+02 9.500086432641983265e+02 3.498806610000001456e+02 4.923585053000006155e+02 6.024183349999984785e+02 1.482040499999999383e+01 1.635351639000000432e+02 3.223853149999995367e+02 4.449072875999991084e+02 5.738593140000011772e+02 7.074080199999989418e+02 1.210976639000000432e+02 2.599210052499997801e+02 3.919426576000005298e+02 5.236690063999994891e+02 5.711542969000001904e+02 6.999313354999994772e+02 8.748751479141992604e+02 2.758111571999997977e+02
2.203013922029999705e+01 9.058956443142014905e+02 9.833748236641986296e+02 3.596313293599999952e+02 5.069497069999997620e+02 6.414058227999994415e+02 8.121448299141993630e+02 9.496598121142014861e+02 3.505206910000006246e+02 4.925682983999995486e+02 6.028509521999998242e+02 1.455347159999999462e+01 1.638276673000000301e+02 3.219503174000001309e+02 4.445994720499984396e+02 5.732276916499995423e+02 7.071156616000007489e+02 1.207956733499997881e+02 2.600796508999992511e+02 3.919088439999995899e+02 5.233591613499993400e+02 5.708518067000004521e+02 7.000942992999989656e+02 8.750859824641993328e+02 2.763052979000003688e+02
2.303013922029999705e+01 9.065189734142004454e+02 9.839033118641964393e+02 3.575503539999990608e+02 5.062946777500001190e+02 6.419533082000016293e+02 8.126800642642010644e+02 9.501833258642000146e+02 3.514840241000001697e+02 4.930114898500005438e+02 6.032623291000018071e+02 1.401109473333334243e+01 1.643903350999999020e+02 3.213128356999995958e+02 4.458823089500001515e+02 5.727095031999997445e+02 7.077380065999986982e+02 1.213250046000002840e+02 2.601356659499997477e+02 3.913356934000003093e+02 5.238732909999998810e+02 5.713829956000008679e+02 7.001101684999994177e+02 8.755884810642000957e+02 2.767536316000005172e+02
2.403013922029999705e+01 9.071774665642005857e+02 9.832643195142009063e+02 3.569538269499998933e+02 5.056539917000009154e+02 6.423406677000002674e+02 8.124045116142006009e+02 9.499026557142024103e+02 3.519973449999997683e+02 4.935853272000003926e+02 6.039859822999993639e+02 1.315130039999996825e+01 1.647656479000002037e+02 3.207794952500007639e+02 4.473195038000012573e+02 5.732910155999998096e+02 7.083601684499990370e+02 1.210685119999998278e+02 2.595624847500002943e+02 3.910936890499997389e+02 5.236215210000009392e+02 5.711286620999999286e+02 6.996071472000003268e+02 8.761131354642002407e+02 2.773123169000000416e+02
2.503013922029999350e+01 9.076859656641972833e+02 9.826236487642017892e+02 3.563226623999998992e+02 5.050400085499986744e+02 6.430408325499993225e+02 8.126373892642004648e+02 9.501398078141974111e+02 3.514016571499996644e+02 4.939893187999987276e+02 6.051176758000001428e+02 1.251828100000000177e+01 1.650153198500001963e+02 3.212723389000002499e+02 4.475828400000009424e+02 5.726211548000010225e+02 7.088770141999993939e+02 1.213180198999998538e+02 2.601069946000006894e+02 3.913158417000013287e+02 5.238883361999996850e+02 5.713689880499987339e+02 7.000780029000015929e+02 8.763564787642026204e+02 2.775521698499997001e+02
2.603013922029999350e+01 9.072339544642018154e+02 9.822266608642021311e+02 3.558933106000004045e+02 5.044243468999993638e+02 6.434276734000013676e+02 8.120961962641977152e+02 9.496281271642001229e+02 3.507619933999994828e+02 4.933049927000010939e+02 6.046300048999983119e+02 1.199765684999999849e+01 1.644636535999998159e+02 3.208636475999992399e+02 4.469660034000007727e+02 5.719210205999988830e+02 7.084493408000016643e+02 1.201265907499996501e+02 2.596796570000005886e+02 3.908041839500001515e+02 5.227899984000008544e+02 5.708085023000003275e+02 6.996492919999982405e+02 8.757999984142006724e+02 2.769713439999995899e+02
2.703013922029999350e+01 9.077759772142017027e+02 9.816411505642026896e+02 3.564423370499998782e+02 5.039666747999981453e+02 6.439259948500002793e+02 8.127364893642006791e+02 9.501699591642027372e+02 3.502996521000004577e+02 4.935963287499998842e+02 6.057675577999992811e+02 1.251893710000001647e+01 1.650299834999996165e+02 3.188809875799997826e+02 4.474348297500000626e+02 5.723729858500009868e+02 7.090231628499986982e+02 1.197978057999998782e+02 2.601944885499997326e+02 3.913450317999995605e+02 5.227969970999984071e+02 5.714093628000009630e+02 6.990241698999998334e+02 8.764293280642013997e+02 2.765440063999994891e+02
2.803013922029999350e+01 9.084078284142015036e+02 9.809929724641988287e+02 3.559383392499994443e+02 5.033114776999991591e+02 6.433489990500002023e+02 8.132722006641997723e+02 9.497276526642017416e+02 3.496535034499993344e+02 4.941418457499985379e+02 6.058920288000008441e+02 1.208753490000003694e+01 1.653668213000000833e+02 3.171856690000004164e+02 4.480026703000003181e+02 5.729278564500000357e+02 7.085098572000006243e+02 1.196406669499997406e+02 2.596666564999995899e+02 3.917041779499995755e+02 5.221578369500002736e+02 5.726210022000004756e+02 6.984013062000012724e+02 8.760093222642026376e+02 2.759045105500008503e+02
2.903013922029999350e+01 9.090421592142010923e+02 9.814851447141991230e+02 3.561815033000002586e+02 5.036066589500005648e+02 6.436124877999991440e+02 8.128708067642000969e+02 9.502788153642031830e+02 3.499298248499999318e+02 4.948025054999998247e+02 6.053076782499992987e+02 1.261145734999996648e+01 1.660848159499996655e+02 3.165218506000001071e+02 4.478073426000009931e+02 5.736173095499998453e+02 7.087633362499982468e+02 1.198768463000001248e+02 2.590476378999992448e+02 3.923849945500005560e+02 5.224447021500000119e+02 5.739295043999991321e+02 6.963890014600001450e+02 8.764858122641999216e+02 2.752740173000001960e+02
3.003013922029999350e+01 9.086846533642019494e+02 9.810021429642001749e+02 3.559226686000001791e+02 5.033993530000007013e+02 6.439500121999990370e+02 8.147471961042014073e+02 9.497591544141978375e+02 3.496869812000004458e+02 4.946009827000016230e+02 6.052239990000016405e+02 1.209542464999998401e+01 1.666531601000001501e+02 3.159116821999996318e+02 4.483381652999996732e+02 5.740029906999989180e+02 7.102071075749990996e+02 1.196026763999998366e+02 2.585986634000000777e+02 3.921900023999987752e+02 5.229908447500001785e+02 5.733706665499994415e+02 6.946573486999986926e+02 8.759324904142013111e+02 2.743515422333330207e+02
3.103013922029999350e+01 9.094593054841985804e+02 9.803916540642021573e+02 3.564708252500004164e+02 5.039090271000004577e+02 6.445271911500003625e+02 8.167693587641988415e+02 9.498079901641976903e+02 3.502229919500005053e+02 4.942483214999992924e+02 6.054600219999992987e+02 1.230699585000002116e+01 1.671279907000007370e+02 3.164508514499993908e+02 4.493298340499986807e+02 5.742590026999987458e+02 7.115071716499987815e+02 1.201750182999999197e+02 2.583156586000004609e+02 3.917670288000008441e+02 5.234790038999999524e+02 5.734530029999987164e+02 6.942466430999993463e+02 8.759929953641985776e+02 2.738592733333328511e+02
3.203013922029999350e+01 9.115676337141994736e+02 9.799639960642016376e+02 3.571015014999993582e+02 5.036120301000009931e+02 6.448420104999986506e+02 8.177541933641987271e+02 9.499654990142007591e+02 3.508648376500004815e+02 4.936883239500002674e+02 6.047833251999982167e+02 1.207930369999996856e+01 1.673058395500002007e+02 3.161537169999992329e+02 4.502694854500005022e+02 5.736633301000001666e+02 7.111840210000009392e+02 1.198806764000000840e+02 2.586726380000000063e+02 3.914263611000005767e+02 5.236751710000007733e+02 5.739400024000005942e+02 6.936415101000020513e+02 8.761729918642013217e+02 2.735413207999990846e+02
3.303013922029999350e+01 9.121521597642022243e+02 9.796373282141976233e+02 3.580793457499985379e+02 5.033106689500000357e+02 6.441970214999964810e+02 8.183472625141985191e+02 9.502463065142001142e+02 3.514670104999986506e+02 4.939815063499991084e+02 6.045041808999994828e+02 1.263485530000002655e+01 1.676425171500004581e+02 3.158230285999989064e+02 4.508746642999994947e+02 5.733496704500012129e+02 7.108468018000021402e+02 1.195708351500002209e+02 2.580026550000002317e+02 3.917618407999998453e+02 5.239385070999996969e+02 5.745921631000001071e+02 6.939801635499970871e+02 8.764693213141981687e+02 2.729331664999999703e+02
3.403013922029999350e+01 9.134645720641983644e+02 9.799658118642000773e+02 3.589339905999986513e+02 5.038973389000002499e+02 6.434591980000022886e+02 8.189759322641984909e+02 9.499219733642021311e+02 3.511759949000006600e+02 4.945073548000000301e+02 6.050266724000030081e+02 1.325686265000001640e+01 1.682668228499996985e+02 3.163619995000008203e+02 4.523630188399998815e+02 5.739891663000016706e+02 7.114655151500010106e+02 1.198738327000000936e+02 2.575251363666666293e+02 3.919626769999995304e+02 5.244866943999986688e+02 5.748993225499980326e+02 6.945738525499982643e+02 8.761749946642012219e+02 2.723043517999994947e+02
3.503013922029999350e+01 9.148804923141979089e+02 9.801119910642009927e+02 3.586691741999984515e+02 5.045404968500006362e+02 6.437700196000005235e+02 8.196003562142032024e+02 9.496248007641988806e+02 3.508416595999988203e+02 4.948659973499998159e+02 6.044621886999993876e+02 1.388620900000000802e+01 1.692108230499998172e+02 3.157254944500000420e+02 4.540303242999992221e+02 5.742755127500022354e+02 7.120736694999977772e+02 1.201864929499997743e+02 2.571438446499996644e+02 3.923566742000002705e+02 5.248385010000001785e+02 5.742589721999975154e+02 6.949826660000035190e+02 8.758464881142026570e+02 2.720191803499992602e+02
3.603013922029999350e+01 9.151851416641984542e+02 9.801493216141971061e+02 3.588948364499992749e+02 5.051080016999985673e+02 6.438278198500011058e+02 8.201240874642026029e+02 9.501399756641985732e+02 3.514536743499993463e+02 4.950943298500005767e+02 6.038519898000013200e+02 1.356612299999994775e+01 1.701658324999998513e+02 3.144347839666673394e+02 4.552436675999997533e+02 5.736390381000019261e+02 7.126733093500006362e+02 1.198673325999998269e+02 2.562986755000001722e+02 3.925956726500007790e+02 5.250700073500011058e+02 5.738619995999979437e+02 6.950416870500012010e+02 8.763719778641971061e+02 2.725336609000005410e+02
3.703013922029999350e+01 9.145119543641994824e+02 9.795299902642000234e+02 3.583556671499991353e+02 5.048390045000014652e+02 6.431863403000024846e+02 8.198880301641984261e+02 9.498789740641987009e+02 3.519389953999998397e+02 4.945296783499998128e+02 6.032235107499982405e+02 1.326345680000002858e+01 1.708173294999996870e+02 3.132606812000012724e+02 4.558293152000005648e+02 5.732296752999973251e+02 7.133085021999977471e+02 1.195920066999997289e+02 2.557185058499999286e+02 3.920933379999987665e+02 5.245328369500002736e+02 5.736693420999981754e+02 6.943750000000000000e+02 8.757204657142028736e+02 2.719118347000003268e+02
3.803013922029999350e+01 9.138997870641978807e+02 9.788758078641985776e+02 3.589466858000014327e+02 5.052726746000007552e+02 6.425805054000011296e+02 8.205595084142005362e+02 9.505188132641997072e+02 3.515035888799997110e+02 4.950800171000009868e+02 6.025756836000000476e+02 1.457368944999996074e+01 1.723403371333333780e+02 3.130700073499992868e+02 4.564156798999974853e+02 5.730679931999984547e+02 7.146396942249994026e+02 1.200973358000001099e+02 2.551176453000007314e+02 3.936025594333332265e+02 5.250473633000001428e+02 5.739451904500019737e+02 6.942508545000018785e+02 8.751292944641973008e+02 2.713026734000013676e+02
3.903013922029999350e+01 9.133832999641999777e+02 9.783855505975346887e+02 3.592423248499999318e+02 5.045536601333321300e+02 6.412251892499989481e+02 8.209089270641998155e+02 9.508909827641982702e+02 3.507049866000015754e+02 4.946316528999996081e+02 6.021046752999973251e+02 1.607664725000000772e+01 1.724411774000000150e+02 3.134626769999995304e+02 4.576666717749976669e+02 5.734283447999987402e+02 7.158726807999992161e+02 1.196493301999998948e+02 2.546706391000006988e+02 3.936940154999992956e+02 5.246470336999991559e+02 5.734155273500000476e+02 6.944415283500020450e+02 8.746966238641980453e+02 2.706548309999998310e+02
4.003013922029999350e+01 9.139076453641973785e+02 9.786764822641998762e+02 3.599678192000010313e+02 5.044614258000001428e+02 6.406948547499996494e+02 8.216805004308649814e+02 9.515104895141994348e+02 3.502906494000017119e+02 4.940500030499988497e+02 6.014988403499992273e+02 1.655167959999994309e+01 1.739438248000005842e+02 3.140153350999989925e+02 4.589716644499967515e+02 5.739591675000010582e+02 7.164476623500013375e+02 1.201888313499998731e+02 2.551763153000001694e+02 3.951849975499990251e+02 5.251880187999995542e+02 5.739066772000005585e+02 6.938546753999980865e+02 8.752444678142019256e+02 2.700533447000016167e+02
4.103013922029999350e+01 9.134876471641982789e+02 9.784936590642028023e+02 3.597569885999982944e+02 5.033378448500006925e+02 6.396950072999970871e+02 8.222095710642024642e+02 9.510033331641971017e+02 3.496546631500004878e+02 4.934503173999983119e+02 6.008573608000006061e+02 1.587710524999999961e+01 1.733629836999998588e+02 3.134784698499988735e+02 4.583880004999991797e+02 5.734146728500018071e+02 7.159303283500012185e+02 1.196554946999999629e+02 2.546576614500008873e+02 3.946539917499994772e+02 5.246515198500019324e+02 5.734536742999989656e+02 6.934253539999990608e+02 8.747534705141988525e+02 2.696480102999994415e+02
4.203013922029999350e+01 9.140033103142013715e+02 9.778771659142003045e+02 3.602680053999993106e+02 5.030556793999967340e+02 6.401919860999987577e+02 8.234055522975322674e+02 9.503906622641952708e+02 3.499168395999986387e+02 4.939085083500012843e+02 6.002196655500010820e+02 1.611860604999998259e+01 1.736181564499993328e+02 3.128446350000012899e+02 4.586703338999977859e+02 5.736820068999986688e+02 7.161605225499988592e+02 1.198731498999995893e+02 2.549161605999997846e+02 3.948411559999985911e+02 5.249226684500026749e+02 5.728346863000006124e+02 6.939368591499987815e+02 8.749867672641994432e+02 2.701488495000012335e+02
4.303013922029999350e+01 9.134861441141947580e+02 9.772406532642053207e+02 3.608516693000001396e+02 5.035453491499974916e+02 6.396671447500011709e+02 8.252395506892007688e+02 9.509003134642043733e+02 3.496730042000017420e+02 4.936083374000008916e+02 5.996783447999987402e+02 1.583706859999995231e+01 1.739583282000003237e+02 3.133380127500004164e+02 4.601137542750002467e+02 5.734459838999973726e+02 7.159353638000029605e+02 1.196343230999991647e+02 2.547089997000002768e+02 3.946246643000013137e+02 5.263767547749994264e+02 5.722036742999989656e+02 6.934169922000000952e+02 8.747496634642011486e+02 2.698379821999988053e+02
4.403013922029999350e+01 9.135216437641938683e+02 9.768083105641999282e+02 3.605183106000004045e+02 5.039066773000013200e+02 6.397563477000003331e+02 8.265227995642017049e+02 9.514841376141994260e+02 3.501946716499987815e+02 4.932994842500011146e+02 5.990681763000029605e+02 1.634409240000002228e+01 1.745439987499994459e+02 3.139628448500006925e+02 4.614354858500009868e+02 5.739353332499995304e+02 7.164811401500010106e+02 1.192323302999993757e+02 2.552251587000009749e+02 3.942399901999997383e+02 5.267393188999994891e+02 5.727261658499992336e+02 6.934710083000027225e+02 8.752763243642002635e+02 2.695576629999995930e+02
4.503013922029999350e+01 9.136809836641987204e+02 9.761693106641978375e+02 3.599096527499987133e+02 5.036053467000019737e+02 6.398996582500003569e+02 8.262215338642054121e+02 9.511869726642034948e+02 3.499173279999995430e+02 4.935986480999999912e+02 5.984230346999975154e+02 1.606600759999992079e+01 1.748895111000001634e+02 3.145605164000007790e+02 4.620753173499979312e+02 5.736203613999969093e+02 7.161576538000008441e+02 1.186354942500001926e+02 2.549380036000002292e+02 3.936421662000011565e+02 5.261501465500004997e+02 5.724286499000008916e+02 6.936213379000000714e+02 8.750176535642021918e+02 2.699340057500012335e+02
4.603013922029999350e+01 9.143002997142029926e+02 9.764701377142046113e+02 3.602263488999997207e+02 5.033211822999983269e+02 6.401771850500008441e+02 8.258925543642035336e+02 9.509064704142001574e+02 3.492768249500004458e+02 4.929516602000003331e+02 5.980346680000002380e+02 1.546621515000003910e+01 1.752253494500000670e+02 3.155166626499994891e+02 4.626856537000021490e+02 5.729589844000001904e+02 7.158241577499975392e+02 1.180123215000003256e+02 2.542778472999998485e+02 3.939366912999994383e+02 5.264788208499994653e+02 5.717616883000009693e+02 6.930363769999967190e+02 8.738584255642005019e+02 2.685201212666664219e+02
