# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	
2.030139220299999714e+00 9.084916296641999907e+02 9.784676504642000054e+02 3.672146607000000245e+02 5.095696563500000025e+02 6.409606933999998546e+02 8.197461577642000066e+02 9.522506628641999669e+02 3.508323517499999298e+02 4.946304931999999894e+02 6.009426269999999022e+02 1.333247040000000005e+01 1.653599929999999745e+02 3.259481964499999549e+02 4.433803252999999813e+02 5.684030152000000271e+02 7.204941711499999428e+02 1.258886795999999890e+02 2.684143371999999204e+02 3.881861267333333103e+02 5.221658325500000046e+02 5.658850098000000344e+02 7.006932373999999299e+02 8.758693190641999990e+02 2.746309815000000185e+02
3.030139220299999714e+00 9.078823081141999864e+02 9.796771969641999931e+02 3.677341613500000221e+02 5.102189940999999749e+02 6.411556702000000314e+02 8.202006065142001034e+02 9.511186489308665841e+02 3.514371643499999891e+02 4.939876709999999775e+02 6.014721680000000106e+02 1.357644699999999638e+01 1.652066802999999595e+02 3.259586792000000059e+02 4.427806396999999379e+02 5.686505127999998876e+02 7.203323364000000311e+02 1.252961806999999794e+02 2.672539774666666403e+02 3.889984894499999655e+02 5.215126952999999048e+02 5.664186706999998933e+02 7.014608460000000605e+02 8.765096617642000183e+02 2.751513214000000289e+02
4.030139220299998826e+00 9.072089912641999945e+02 9.803966284642001483e+02 3.674083252000000357e+02 5.098996581999999762e+02 6.409406738000002406e+02 8.196558371641997383e+02 9.499406500642003266e+02 3.511519774999999299e+02 4.944969940500000121e+02 6.011932983000001514e+02 1.333586310000000452e+01 1.647493439000000421e+02 3.261141662500000393e+02 4.423703307999999197e+02 5.684066772999999557e+02 7.191742350666667107e+02 1.246566695999999865e+02 2.660903014999998959e+02 3.886663512999998602e+02 5.208795165999999881e+02 5.659130249500000218e+02 7.011740112000002227e+02 8.762179862641996806e+02 2.748909911999999167e+02
5.030139220299998826e+00 9.067903052642004695e+02 9.808989707142000043e+02 3.671031646999999793e+02 5.095903167999999823e+02 6.405326537999999346e+02 8.183576270141998066e+02 9.496851416641998185e+02 3.505234833000000663e+02 4.942016601999998784e+02 6.005414733999998589e+02 1.294789319999999577e+01 1.644671783499999833e+02 3.264120026000000507e+02 4.420833283000000620e+02 5.689396667500000149e+02 7.178576659999998810e+02 1.242156600999999796e+02 2.658103333000000248e+02 3.883406830000001264e+02 5.211553344499998275e+02 5.652830199999998513e+02 7.005383300499997858e+02 8.758613234141998873e+02 2.742179870500000334e+02
6.030139220299998826e+00 9.061901389141999061e+02 9.824855658441999822e+02 3.686263977199998294e+02 5.102179870500001471e+02 6.398978271500000119e+02 8.173850833142000738e+02 9.503882056892002765e+02 3.498889771999997720e+02 4.936444854999999734e+02 5.998773193999995783e+02 1.232570030000000116e+01 1.648298340000000053e+02 3.261306763000002320e+02 4.424154968499999541e+02 5.686423339999996642e+02 7.172306519000003391e+02 1.235816689000000110e+02 2.661418457499999022e+02 3.886735229999999319e+02 5.215419921999996404e+02 5.648439941999999974e+02 7.008118286999997508e+02 8.761568098642001132e+02 2.735303344999999808e+02
7.030139220299998826e+00 9.055759955641997294e+02 9.840922995642004025e+02 3.692283324999998513e+02 5.108361358500001188e+02 6.402331543499999498e+02 8.168037024641998869e+02 9.496876364642002954e+02 3.494736226666665857e+02 4.939461670000000595e+02 5.995574950999998691e+02 1.262268400000000668e+01 1.642070006999999805e+02 3.255146484500000952e+02 4.427044983499999944e+02 5.680110168500000327e+02 7.167880248999999822e+02 1.229519957999999633e+02 2.655216675000001487e+02 3.889468383999997059e+02 5.220524902499996642e+02 5.645756835999998202e+02 7.014163513499997862e+02 8.755576468641993415e+02 2.732711639499999592e+02
8.030139220299998826e+00 9.049561453641999833e+02 9.837769690641998750e+02 3.688333130000000892e+02 5.113486633000002257e+02 6.399226686000001791e+02 8.161689063141998304e+02 9.487081290142004946e+02 3.501223145000003569e+02 4.936406555000003209e+02 5.999171753000000535e+02 1.229623319999998898e+01 1.637873383000001013e+02 3.248789673999999650e+02 4.423949890000003506e+02 5.673896484999995664e+02 7.161171570000001338e+02 1.226106681999999637e+02 2.651046753000000535e+02 3.895123290999999881e+02 5.223775024500000654e+02 5.652276611500001309e+02 7.011003418000000238e+02 8.751653052641995600e+02 2.737004242499999691e+02
9.030139220299998826e+00 9.052794562141998540e+02 9.834268180142007623e+02 3.681718444499997531e+02 5.107188263000002735e+02 6.396470031999997445e+02 8.155331831641997269e+02 9.480779639642005350e+02 3.498846741000002112e+02 4.933251648000000387e+02 6.005328369499998189e+02 1.199683575000000246e+01 1.631545105499999408e+02 3.246001587000000654e+02 4.419353333999997631e+02 5.669929810000003272e+02 7.155013428000002023e+02 1.231649932999998782e+02 2.644569854999997460e+02 3.902651265999999737e+02 5.225806885000001785e+02 5.657593384000001606e+02 7.008346863500000836e+02 8.752615449641998566e+02 2.733877410999998574e+02
1.003013922029999883e+01 9.049619666641992808e+02 9.840498114641995926e+02 3.675216979999995601e+02 5.101849975499999346e+02 6.401896362000006775e+02 8.151190863642004842e+02 9.476576300642009301e+02 3.505606689500000357e+02 4.938610230000003867e+02 6.013603515999993760e+02 1.263624144999999999e+01 1.633084259500000144e+02 3.251909942500001307e+02 4.413183288499999435e+02 5.668261718999997356e+02 7.150789795000000595e+02 1.229876633000000083e+02 2.638226623999998992e+02 3.921845779500001754e+02 5.230468444999996791e+02 5.655623169000000416e+02 7.014396667500004696e+02 8.764113074642009451e+02 2.725796509000001606e+02
1.103013922029999883e+01 9.046324759642002391e+02 9.846728049141984229e+02 3.669213409499998306e+02 5.107059937000003629e+02 6.399096680000002380e+02 8.149314604641995174e+02 9.474394751641993935e+02 3.511345062499999585e+02 4.932309875999999349e+02 6.014549967666667953e+02 1.315291880000000901e+01 1.648073425499999303e+02 3.257066651000004640e+02 4.407893371999998635e+02 5.674110107500000595e+02 7.141165771666661612e+02 1.235648193499999934e+02 2.635706787499996153e+02 3.932265014500003417e+02 5.236001587500004462e+02 5.665084635666662507e+02 7.019320067999997264e+02 8.761444617142005882e+02 2.723651580999999169e+02
