# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	
1.403013922029999705e+01 1.575143431999968119e-02 2.726613159000000966e-02 2.877103271000005374e-02 2.621480104000002004e-02 3.499960919283985616e-02 2.650412140000044103e-02 3.196542663999964867e-02 2.829320373000000430e-02 2.211523438999993263e-02 3.312770329284007997e-02 3.029255866000001018e-02 3.201127014000003379e-02 2.325036011000002067e-02 2.544177245999990067e-02 2.852578124999999992e-02 3.427528135284003269e-02 2.751333084000007201e-02 2.598349914999998830e-02 2.624137266999987395e-02 8.789099140000143293e-03 2.670903319999979458e-02 3.479705945284004148e-02 3.098569946000009206e-02
1.503013922029999705e+01 1.574250181999996279e-02 2.723822631999994401e-02 2.899380493999979130e-02 2.603540038000010104e-02 3.499137479284036151e-02 2.651122057999964407e-02 3.201273192000009954e-02 2.846570128999992288e-02 2.202010193000005639e-02 3.300063381283994263e-02 3.024969407000000984e-02 3.201723327000004227e-02 2.358644562499994171e-02 2.552501984000000307e-02 2.814123229500018961e-02 3.426276916283980262e-02 2.749849622999999896e-02 2.599443054999992300e-02 2.641107177000012740e-02 8.845501700000021894e-03 2.666486207999987576e-02 3.481736431284006977e-02 3.101863250999997365e-02
1.603013922029999705e+01 1.556486714666705136e-02 2.729442748999974869e-02 2.900690611999998461e-02 2.613470867000003070e-02 3.487897639283994711e-02 2.651440925999995826e-02 3.200860137000002131e-02 2.848779907000007286e-02 2.199803467000001692e-02 3.301405040283998671e-02 3.018427553999997182e-02 3.202127379000007518e-02 2.379706116999995985e-02 2.563908793333332520e-02 2.764810994666647842e-02 3.424866925284016095e-02 2.732539418000000039e-02 2.635293375999996079e-02 2.650239867999989660e-02 8.825140380000083898e-03 2.667388917000025617e-02 3.480847074283956177e-02 3.101310043000032532e-02
1.703013922029999705e+01 1.548753358000030944e-02 2.728779601999979307e-02 2.896097107000004944e-02 2.625236512999963578e-02 3.476255093284016939e-02 2.655551376000039529e-02 3.201093443999982607e-02 2.848753051999992902e-02 2.195759887999993235e-02 3.300438597283996550e-02 3.024247816000003725e-02 3.202080690000002478e-02 2.378519285999991517e-02 2.583859864000005377e-02 2.738919677999983662e-02 3.421349965284011668e-02 2.729856833999999566e-02 2.649639891999995556e-02 2.650806885999991078e-02 8.786462400000163292e-03 2.669693604000021939e-02 3.479506361284002286e-02 3.120756530999981362e-02
1.803013922029999705e+01 1.550280153999992680e-02 2.724269712999978152e-02 2.883643492999999475e-02 2.660516356999996848e-02 3.439560034284004642e-02 2.675446510000001679e-02 3.200592957999999488e-02 2.848777159000001266e-02 2.203620300999991830e-02 3.300524959284009685e-02 3.011887436999999279e-02 3.223570098999998385e-02 2.362320252000008752e-02 2.600493163999999593e-02 2.738016356000007312e-02 3.404074004283986349e-02 2.747369613000000613e-02 2.631923217999992612e-02 2.649525756000002674e-02 8.803509529999973757e-03 2.667988891000004636e-02 3.482440321284011736e-02 3.139286803999986886e-02
1.903013922029999705e+01 1.551849976000048599e-02 2.723603361999978392e-02 2.875716247999989678e-02 2.673443298000020146e-02 3.426328986283988520e-02 2.727859076999986782e-02 3.174201660000008224e-02 2.848887024000014076e-02 2.201303709999956337e-02 3.324994562484030053e-02 3.011606830800002410e-02 3.190217589999980868e-02 2.399266724000008108e-02 2.582323852000008649e-02 2.719143066000033124e-02 3.399659559283966376e-02 2.751500246000005215e-02 2.631199644999996853e-02 2.643580017000003723e-02 9.246506343999908242e-03 2.623842408599971407e-02 3.501613217284029606e-02 3.126846998999992938e-02
2.003013922029999705e+01 1.550203399999991287e-02 2.696012013333354274e-02 2.904274698666662116e-02 2.661443481999976879e-02 3.439230939284024929e-02 2.752068023000028840e-02 3.130066528999980030e-02 2.848820191999984833e-02 2.201314084000041346e-02 3.368896162283967904e-02 2.980236053000005422e-02 3.177680359999995180e-02 2.443309021000004619e-02 2.563037719000003586e-02 2.694549560999985258e-02 3.399909879284006980e-02 2.758086776999998588e-02 2.642169800000001428e-02 2.644573059000012924e-02 9.499169919999803785e-03 2.580599975000040860e-02 3.500632765283953618e-02 3.126500244000019607e-02
2.103013922029999705e+01 1.549760129999922312e-02 2.679853210000058064e-02 2.920993651999997248e-02 2.673136598000019210e-02 3.427496243284004068e-02 2.751473007999957060e-02 3.124086608000036305e-02 2.849556886000009434e-02 2.201196593999957263e-02 3.374687653284029476e-02 2.974295178000000914e-02 3.177003021999989796e-02 2.450439451999991344e-02 2.579040528000041410e-02 2.670974119999955376e-02 3.400439131284022087e-02 2.776466826999994877e-02 2.640433047000015007e-02 2.634526975999979329e-02 9.497058100000141043e-03 2.575540771999985587e-02 3.498876248283995516e-02 3.145366439000010783e-02
2.203013922029999705e+01 1.549583586999942787e-02 2.651776367200027462e-02 2.946367552799995446e-02 2.689122315999993573e-02 3.414780142283998371e-02 2.750299644000042329e-02 3.143863830999982928e-02 2.840952147999978306e-02 2.205653076000005375e-02 3.360696641284002806e-02 2.985483914000000571e-02 3.162453002000002039e-02 2.452983092999966308e-02 2.572564392000022127e-02 2.677759399000024035e-02 3.400246488283981128e-02 2.785679550999989318e-02 2.636583862000006773e-02 2.629006346999995108e-02 9.498529070000222979e-03 2.584849851999970402e-02 3.499833663284007690e-02 3.151032562000020965e-02
2.303013922029999705e+01 1.547686768999919846e-02 2.599587096000052430e-02 2.974886475000021110e-02 2.713172609000030072e-02 3.414535121283988894e-02 2.750065231999979098e-02 3.152660218000002956e-02 2.830549315000007587e-02 2.205016785000025320e-02 3.341621565950631673e-02 3.007584807333331042e-02 3.138450011999993627e-02 2.491389465000011169e-02 2.536543884999991824e-02 2.700570067999978965e-02 3.398386213284031870e-02 2.776213226999989236e-02 2.624000549000011367e-02 2.650751951999991488e-02 9.501940920000197938e-03 2.574543457999970905e-02 3.509566251284013810e-02 3.149949264000008464e-02
