# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	
2.030139220299999714e+00 2.075120239000000436e-02 3.026539061284001797e-02 3.007539901000000002e-02 2.694781036999998464e-02 3.556545409000000380e-02 3.041403809000000832e-02 2.627687971284001223e-02 2.824038392000000064e-02 3.199439848999999225e-02 2.075917053000000609e-02 3.000172730000000287e-02 3.025659123283999316e-02 2.850487250999999417e-02 1.497703247000000543e-02 3.451490173999999245e-02 2.741789856000000428e-02 3.157490233999998841e-02 2.851602766284001833e-02 2.526409760999999768e-02 3.899740295999998968e-02 1.932466427999997988e-02 2.044497072000003857e-02 2.723910561283999013e-02
3.030139220299999714e+00 2.052839965999996713e-02 3.031006071284002637e-02 3.000096512999999784e-02 2.720264128999996811e-02 3.528966063000002484e-02 3.051083375000000764e-02 2.621482755284000599e-02 2.847407149999998943e-02 3.182703248000000318e-02 2.093287049000000510e-02 2.975902403999998447e-02 3.032487546284001398e-02 2.850239183000000467e-02 1.514906462999999863e-02 3.433316650999999886e-02 2.721022946999998929e-02 3.215900065999997837e-02 2.830759615284001232e-02 2.505010071000000893e-02 3.899180907999998807e-02 1.934336852999999842e-02 2.048325806000002650e-02 2.740890275283998020e-02
4.030139220299998826e+00 2.049807127999997772e-02 3.030679609284000001e-02 2.999913177999996919e-02 2.723559570000002109e-02 3.524980467999998951e-02 3.051752930000002292e-02 2.623342267283999135e-02 2.848910979999998150e-02 3.179620058000002386e-02 2.100487059999998213e-02 2.973282469999997957e-02 3.027850249284002801e-02 2.849633103999999612e-02 1.519413756000001330e-02 3.417159421999997615e-02 2.734120484000002183e-02 3.229339601999997589e-02 2.801049479284001623e-02 2.522063445999999515e-02 3.898187256000001238e-02 1.925743408999996964e-02 2.054949341000001511e-02 2.750151847284000584e-02
5.030139220299998826e+00 2.049793702000001633e-02 3.007276746283994370e-02 3.018069457999998650e-02 2.721306456999998333e-02 3.542848816333334788e-02 3.017974853666667220e-02 2.640107938284002101e-02 2.848751755999999816e-02 3.163013610000000447e-02 2.118923339999998975e-02 2.964713134000001096e-02 3.035798093283999591e-02 2.831824723000002028e-02 1.537303466999996940e-02 3.405546873999999030e-02 2.744242555000000680e-02 3.212910155000000406e-02 2.799343168284000247e-02 2.540716631000000322e-02 3.897830350999999943e-02 1.932109984999999530e-02 2.051773682000002791e-02 2.730302679283997877e-02
6.030139220299998826e+00 2.048680420000000696e-02 3.000612927283994105e-02 3.018486328999999899e-02 2.707640075000001742e-02 3.573406678000005943e-02 3.001153563999996512e-02 2.626982022283998533e-02 2.848667525999998285e-02 3.175770264999999010e-02 2.124979553000000410e-02 2.949966736000001269e-02 3.049966984284001315e-02 2.826232491999999125e-02 1.518629760000001112e-02 3.430983885999996930e-02 2.719113159000003180e-02 3.232587280999996149e-02 2.798405745284003251e-02 2.522066649999999202e-02 3.897910002999997042e-02 1.952669372999998876e-02 2.055460816000004298e-02 2.724921971284000044e-02
7.030139220299998826e+00 2.065257568333333724e-02 2.983935377950667697e-02 2.999939421999999953e-02 2.714123687000001214e-02 3.585226745999998271e-02 3.001789551000001721e-02 2.632708111283998259e-02 2.831088716000001657e-02 3.187943115000000521e-02 2.112456664999999567e-02 2.967970275999996452e-02 3.031104185284002120e-02 2.846361617999999122e-02 1.498913117000001856e-02 3.443177184000005553e-02 2.700583190999996178e-02 3.258359984999998488e-02 2.798549558283997332e-02 2.496035741333337346e-02 3.904790751666664672e-02 1.971427102999998709e-02 2.079524739999999428e-02 2.694484236284001855e-02
8.030139220299998826e+00 2.105629271999996319e-02 2.944163039284003469e-02 2.986991883000000500e-02 2.745657959000002285e-02 3.567513426999994325e-02 3.003420409000000235e-02 2.649321501284005245e-02 2.830424727999999307e-02 3.171759643999993994e-02 2.128599854000005898e-02 2.968704223000000891e-02 3.030468122283999644e-02 2.853980865999997119e-02 1.498512571999999557e-02 3.419500731999997045e-02 2.700773928000000865e-02 3.279946288000003263e-02 2.800365889284000750e-02 2.505607756666665409e-02 3.895392455333342857e-02 1.972100219999993118e-02 2.103726196000007057e-02 2.650447485283994112e-02
9.030139220299998826e+00 2.130598753999984191e-02 2.918813382284017599e-02 2.963235702999997279e-02 2.805122681333331938e-02 3.535441282666664659e-02 3.017177124999998253e-02 2.634416334284007954e-02 2.848993529999998067e-02 3.176672974000002703e-02 2.124132993999994570e-02 2.948370363000001396e-02 3.051140272284003432e-02 2.851043089999998406e-02 1.499012146000000024e-02 3.417191161999999505e-02 2.710023498000002640e-02 3.273759155999996645e-02 2.799123136284001681e-02 2.515900345000000177e-02 3.887629852000004660e-02 1.968086548000001074e-02 2.096027222000002369e-02 2.650050793283992290e-02
1.003013922029999883e+01 2.149639892000013847e-02 2.900153181283997295e-02 2.925442840400000952e-02 2.876023987600001552e-02 3.524399412999992126e-02 3.000240479000003749e-02 2.651640226284002894e-02 2.849606094999996772e-02 3.174289702999994606e-02 2.125440063000007609e-02 2.926123655999999726e-02 3.074354384284000777e-02 2.827664794999997303e-02 1.497312927000002750e-02 3.424173889000003274e-02 2.727479857999999188e-02 3.275210571999997294e-02 2.775842419284002896e-02 2.515677032999997370e-02 3.910302886999997979e-02 1.950073548000000323e-02 2.100166626000000286e-02 2.650261155284001566e-02
1.103013922029999883e+01 2.149449462000011316e-02 2.910276853283983237e-02 2.870926589999994727e-02 2.929186402000004755e-02 3.524139709999990488e-02 3.000454102000003204e-02 2.649381008284008160e-02 2.850258103000003276e-02 3.151430663999994775e-02 2.150196227999997406e-02 2.918013306000002624e-02 3.080429975284001629e-02 2.827969513000001475e-02 1.474073180000000372e-02 3.448336791999995210e-02 2.720336915000004865e-02 3.281266478999997349e-02 2.774165936284001682e-02 2.496180573999999888e-02 3.930672912999998853e-02 1.950617063999998332e-02 2.116600749666674650e-02 2.634549631617328497e-02
1.203013922029999883e+01 2.150063476999984971e-02 2.928302900284004279e-02 2.847206877999992544e-02 2.951706542000010966e-02 3.520359497999998172e-02 2.998900146000014338e-02 2.631833479283984464e-02 2.849946136000003349e-02 3.150719909999998014e-02 2.174493712999999231e-02 2.899706727000000289e-02 3.073853894283998939e-02 2.851658632999998569e-02 1.451659847999999323e-02 3.448793335999998655e-02 2.721973265999997824e-02 3.279814454000006679e-02 2.773515377283999883e-02 2.496316909999998085e-02 3.930606690000004039e-02 1.951820067999997244e-02 2.149892577999999027e-02 2.598185255284002002e-02
1.303013922029999705e+01 2.152212522999980004e-02 2.923500043284018440e-02 2.831226350000001779e-02 2.966159972000004946e-02 3.526217041999989144e-02 2.999183350000002996e-02 2.627271863284002043e-02 2.849307555999998701e-02 3.117861785499994806e-02 2.208511504500004427e-02 2.903199767999999417e-02 3.051030257284001110e-02 2.870669402000003076e-02 1.450747377999996382e-02 3.433299254000003048e-02 2.742510679999998063e-02 3.274883423999999654e-02 2.774695950283998999e-02 2.500616379000007369e-02 3.925840147999997559e-02 1.951472780000003751e-02 2.149086913999999696e-02 2.580477469283994074e-02
1.403013922029999705e+01 2.125421142800005408e-02 2.972748548483998554e-02 2.805639494999995903e-02 2.991899873000011117e-02 3.508343810999985796e-02 2.999769896999987528e-02 2.622044583284018765e-02 2.848684921999999897e-02 3.088769124666663340e-02 2.237537637333341517e-02 2.904393922999993355e-02 3.067992764283999224e-02 2.852552565999999512e-02 1.473994293000005160e-02 3.407322997999990416e-02 2.750966492000008964e-02 3.292077025999994716e-02 2.794037102283999582e-02 2.464665121000001249e-02 3.919750365999988967e-02 1.951006775000014432e-02 2.172539673000010302e-02 2.557840787283987422e-02
1.503013922029999705e+01 2.115883788000046464e-02 3.001879713283963150e-02 2.798793029999997045e-02 3.000307008000017983e-02 3.500593259999986578e-02 2.983789672999992079e-02 2.643566190284009354e-02 2.847657088999996922e-02 3.060473022999994977e-02 2.265661012000002791e-02 2.899586180000005703e-02 3.075982993283999864e-02 2.850372428000001734e-02 1.493475239999993327e-02 3.382075602000022413e-02 2.750426025999988880e-02 3.299874267999991506e-02 2.800372449283997783e-02 2.451133423999999478e-02 3.925743101000007257e-02 1.949643250999997732e-02 2.175126342000003113e-02 2.533669663283997023e-02
1.603013922029999705e+01 2.089738770000003701e-02 3.013891661283998880e-02 2.832658665333328760e-02 2.966891886666671654e-02 3.522872619999998373e-02 2.962107544000027598e-02 2.647669812283973134e-02 2.865408934999991164e-02 3.037700196000005237e-02 2.266316833000003167e-02 2.899246521000000201e-02 3.080858060284001609e-02 2.851375199000001290e-02 1.516649321999998315e-02 3.375937195000006108e-02 2.749573668999994586e-02 3.298966064999997450e-02 2.779106351283996967e-02 2.450516434000001020e-02 3.931750335000006036e-02 1.953609925999990130e-02 2.188563231000025672e-02 2.525455496283982373e-02
1.703013922029999705e+01 2.079133301999972969e-02 3.020759869284013466e-02 2.851313323999984245e-02 2.948727112000015110e-02 3.528673095999983883e-02 2.941553345000029462e-02 2.661587048283984083e-02 2.869945984000005570e-02 3.020139770999994561e-02 2.281260681000005577e-02 2.898413086000000555e-02 3.080581191283995532e-02 2.851724851999993052e-02 1.518959962000008060e-02 3.368926390000014787e-02 2.761453859999985633e-02 3.287933347999996703e-02 2.784019299284000090e-02 2.449432983999995372e-02 3.931120606000004097e-02 1.945419311000005230e-02 2.203907470999984242e-02 2.522615625284013383e-02
