# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	
2.030139220299999714e+00 6.056780090499999005e+02 7.094340209999999161e+02 1.044286613999999815e+02 2.548056564499999865e+02 3.895447082999999111e+02 5.673719787499999256e+02 7.194421691999999666e+02 9.449425509999998951e+01 2.356961746999999718e+02 3.956681671499999311e+02 -2.568682928641999865e+02 -1.068596563641999637e+02 4.442329979999999523e+01 1.869476623499999732e+02 2.618328247000000033e+02 4.344073333999999704e+02 -1.848354864642000450e+02 -2.696097476420010253e+01 1.156191635499999961e+02 2.419396515999999906e+02 4.369266663999999309e+02 5.335499877999998262e+02 6.357748414000000139e+02 1.563805679999999754e+01
3.030139220299999714e+00 6.063200073000000430e+02 7.089620055999998840e+02 1.041799964999999872e+02 2.541848221499999738e+02 3.901980285999998159e+02 5.666463317499999448e+02 7.192005004999999755e+02 9.394232560000000376e+01 2.363126830999999584e+02 3.954478454999999713e+02 -2.562201147142000082e+02 -1.074249945142000797e+02 4.419938279999999509e+01 1.867113419500000191e+02 2.624566651000000093e+02 4.341224976500000139e+02 -1.861586676641999816e+02 -2.536366436420011539e+01 1.161743163999999524e+02 2.414248199499999998e+02 4.363838653499999509e+02 5.331007079999999405e+02 6.355169983000000684e+02 1.622919939999999883e+01
4.030139220299998826e+00 6.067516480000001593e+02 7.092420044000000416e+02 1.044436722000000373e+02 2.544393310999998903e+02 3.906173095999999987e+02 5.668663329999999405e+02 7.194539795000000595e+02 9.428878020000001925e+01 2.367343291999999337e+02 3.957153321000000687e+02 -2.555926275642000292e+02 -1.069285040642001263e+02 4.446400840000001153e+01 1.869456635999999889e+02 2.629163514000000532e+02 4.337743224999999256e+02 -1.858519659641999624e+02 -2.438498586420007541e+01 1.156674881000000141e+02 2.417706603999999970e+02 4.366800232000000506e+02 5.329671936499998992e+02 6.357146606999999676e+02 1.688994040000000041e+01
5.030139220299998826e+00 6.073883056500001203e+02 7.098779907500002082e+02 1.039095153999999752e+02 2.548129882999999154e+02 3.908783111499998313e+02 5.680207519666665803e+02 7.189194946499999332e+02 9.459257890000000657e+01 2.370301666999999952e+02 3.951808472000000165e+02 -2.552052984642000411e+02 -1.069696417641999915e+02 4.482026289999998880e+01 1.864114990500000886e+02 2.632766723999999385e+02 4.335540160999998989e+02 -1.855661688142000685e+02 -2.492066106420003280e+01 1.150464973499999815e+02 2.420823288999999932e+02 4.369738464499999964e+02 5.335793456999999762e+02 6.361680298000001130e+02 1.635085109999999986e+01
6.030139220299998826e+00 6.080759888000002320e+02 7.105100098000002617e+02 1.042083434999999554e+02 2.551326599499999475e+02 3.905146637000000283e+02 5.691849976000003153e+02 7.192426758000001428e+02 9.425946425000000772e+01 2.366928405499999144e+02 3.954813537999998516e+02 -2.546019812142001228e+02 -1.071036444142000619e+02 4.539470479999999952e+01 1.867063293999999587e+02 2.626378174000000172e+02 4.341870116999998572e+02 -1.861896430141999872e+02 -2.456027896420016532e+01 1.153600083000000041e+02 2.414633407999999690e+02 4.363588409499998306e+02 5.339923095999997713e+02 6.367653503999999884e+02 1.667913629999999614e+01
7.030139220299998826e+00 6.083770141499999227e+02 7.116398925666666173e+02 1.045043488000000025e+02 2.545013198999999986e+02 3.902075042500000563e+02 5.694688415499999792e+02 7.195583191000000625e+02 9.486141199999997298e+01 2.364158478000000514e+02 3.958130035500000758e+02 -2.548964758641999424e+02 -1.064979620642001237e+02 4.505724719999997774e+01 1.873753280999999333e+02 2.623209839500000271e+02 4.344798431500003062e+02 -1.868233099641998933e+02 -2.390531071419997033e+01 1.160221671999998989e+02 2.408239542666667603e+02 4.360634918499999912e+02 5.346348469999999224e+02 6.386110839999998916e+02 1.700298315000000571e+01
8.030139220299998826e+00 6.077211913999999524e+02 7.130026549999997769e+02 1.038784942999999430e+02 2.532280884499999729e+02 3.905109864000000925e+02 5.688866577499998129e+02 7.190576781999998275e+02 9.519144060000002128e+01 2.367126769999999851e+02 3.953006591999996999e+02 -2.546016607642000054e+02 -1.061664496141999621e+02 4.535695650000002388e+01 1.880559997999998814e+02 2.629816283999998632e+02 4.339566649999997026e+02 -1.873369512642002519e+02 -2.333963686420008798e+01 1.166786575999999513e+02 2.419590454333332161e+02 4.367286682000003566e+02 5.353336792000000059e+02 6.405199890000003506e+02 1.671005060000000242e+01
9.030139220299998826e+00 6.070903625999999349e+02 7.136203002999991440e+02 1.032286567500000274e+02 2.513904418999998995e+02 3.916465759666664894e+02 5.684186400999997204e+02 7.192774963499996375e+02 9.466600040000002991e+01 2.371156768999999258e+02 3.959493256000000656e+02 -2.541763373642002080e+02 -1.067578192142001399e+02 4.579919440000003306e+01 1.883513488999999481e+02 2.633019561999999496e+02 4.341615142999999080e+02 -1.866696234641999581e+02 -2.298166566420013623e+01 1.169744911499999489e+02 2.427695083999999497e+02 4.371510010000001785e+02 5.355553284000002350e+02 6.403566895000003569e+02 1.652691649999999868e+01
1.003013922029999883e+01 6.065723266999993939e+02 7.140543213000000833e+02 1.027296676999999363e+02 2.490018097199999829e+02 3.928030091000000539e+02 5.690229797499996494e+02 7.190350036999998338e+02 9.528470234999997501e+01 2.377650070999998206e+02 3.964794922499995664e+02 -2.535808172642000500e+02 -1.072746344642000622e+02 4.644308474999996861e+01 1.878263244999998278e+02 2.626919708499999615e+02 4.339006653000001279e+02 -1.860576544641999135e+02 -2.229712586420004072e+01 1.164949951000000965e+02 2.422788467499999570e+02 4.377939910999998574e+02 5.352976684999998724e+02 6.403059997999998814e+02 1.648674490000000503e+01
1.103013922029999883e+01 6.067636719000001904e+02 7.142361450000007608e+02 1.034176749999999174e+02 2.469640044999996462e+02 3.934233245999998871e+02 5.696303100999994058e+02 7.196530151999995724e+02 9.578975294999997914e+01 2.383026581000001443e+02 3.958741912999998931e+02 -2.529483099642002344e+02 -1.070476446642001065e+02 4.697385409999998274e+01 1.883723297500000626e+02 2.620759887500000787e+02 4.344928283499998543e+02 -1.858226385641999059e+02 -2.175931461420003643e+01 1.169489822000000459e+02 2.417580109000000448e+02 4.382916565499999706e+02 5.358225097499998810e+02 6.416525472333336211e+02 1.704771614999999940e+01
