# r	stdNi	stdCo	stdCr
5.334264270796764151e+01 8.674865021488028724e-03 7.686128575123908103e-03 7.705225206817848879e-03
3.556176180531176101e+01 1.281324254735031337e-02 1.099032535374141681e-02 1.203551006603038008e-02
2.667132135398382076e+01 1.537191598803382478e-02 1.531065116516036086e-02 1.436623787999011768e-02
2.133705708318705518e+01 2.188115701829188020e-02 2.111719149568767190e-02 2.039950617507012287e-02
1.778088090265588050e+01 2.679193212481920799e-02 2.637029168779720517e-02 2.555913850802719184e-02
1.524075505941932640e+01 3.231710137159810731e-02 3.323364450643639945e-02 3.217441470426884997e-02
1.333566067699191038e+01 3.771019132326561968e-02 3.910780332710673407e-02 3.683530907281824113e-02
1.185392060177058760e+01 4.576962208181648700e-02 4.450176572458159480e-02 4.133719605404909819e-02
1.066852854159352759e+01 5.231988422712335191e-02 5.310791904683268005e-02 5.130068417578374090e-02
9.698662310539571507e+00 6.003860014545797652e-02 5.655816579637579222e-02 5.487752927070540382e-02
8.206560416610406250e+00 7.411212239412526270e-02 7.402719965701565208e-02 7.327416466768058023e-02
7.620377529709663200e+00 8.403457713917218685e-02 7.839524402308224726e-02 7.785115879351831025e-02
6.667830338495955189e+00 1.020403908621290434e-01 1.011001016221816234e-01 1.009196157747490746e-01
5.926960300885293798e+00 1.191459826649846343e-01 1.178383230032824525e-01 1.152885279715211986e-01
5.334264270796763796e+00 1.480201886458075433e-01 1.369481254549432259e-01 1.378265410288605775e-01
4.638490670258056170e+00 1.771429963568013355e-01 1.635565032151398146e-01 1.658940110753327202e-01
4.103280208305203125e+00 2.030420491760072388e-01 1.933874952903696098e-01 2.048208918385452104e-01
3.678802945377078526e+00 2.667448990662774633e-01 2.322497306687678897e-01 2.414212152269373801e-01
3.333915169247977595e+00 3.248259003767334785e-01 3.220297104995817894e-01 3.152215376172411432e-01
