# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	
2.030139220299999714e+00 2.373853759999999227e+02 1.050858153500000753e+02 -1.686823577499999942e+02 2.455486602999999945e+02 -1.345701598000000558e+02 -4.212885780999999383e+02
3.030139220299999714e+00 2.386480254999997896e+02 1.045213012750000416e+02 -1.687606810749998658e+02 2.442149961999998595e+02 -1.337897796499999004e+02 -4.201546496999999363e+02
4.030139220299998826e+00 2.397406464000000597e+02 1.039550170999998500e+02 -1.684581756999997992e+02 2.443661957000001053e+02 -1.338003235000001041e+02 -4.197900810000000433e+02
5.030139220299998826e+00 2.404203338499997926e+02 1.033233795499999133e+02 -1.677896880999999212e+02 2.443541412500001115e+02 -1.337922973999999385e+02 -4.206229839499999912e+02
6.030139220299998826e+00 2.406568298500000083e+02 1.031298523999996632e+02 -1.675138397999994595e+02 2.440119933499995568e+02 -1.337838286999999582e+02 -4.196796989499998176e+02
7.030139220299998826e+00 2.409638213499999893e+02 1.037386780000001636e+02 -1.684315033000002586e+02 2.439943237500001487e+02 -1.334455108500001188e+02 -4.190605029500000001e+02
8.030139220299998826e+00 2.418871384500001795e+02 1.031296691000002284e+02 -1.687616271000001689e+02 2.441163329999994858e+02 -1.322666931999992812e+02 -4.200186366000003773e+02
9.030139220299998826e+00 2.426994019166665453e+02 1.016785735833338435e+02 -1.687249603500001740e+02 2.450624999999993179e+02 -1.325116881999992984e+02 -4.206241150000001880e+02
1.003013922029999883e+01 2.441733246000001145e+02 1.010580138999994233e+02 -1.686489970666661975e+02 2.450626322666666965e+02 -1.324806671000001188e+02 -4.213072671499998592e+02
1.103013922029999883e+01 2.451231536499999493e+02 9.980766300000004776e+01 -1.676082458999999290e+02 2.448869323999997505e+02 -1.322180175499997858e+02 -4.212439670499999806e+02
1.203013922029999883e+01 2.451428450500000054e+02 9.855764780000026803e+01 -1.675276489500001844e+02 2.450003051499998037e+02 -1.323196410999998989e+02 -4.213374309500001118e+02
1.303013922029999705e+01 2.448519820500005153e+02 9.770898439999928087e+01 -1.676996154999997088e+02 2.463164977999995244e+02 -1.325305175999992571e+02 -4.222804269000002364e+02
1.403013922029999705e+01 2.448934784000002765e+02 9.760301204999950642e+01 -1.685984802499997386e+02 2.464494934499989540e+02 -1.328058318999997027e+02 -4.222629384999994500e+02
1.503013922029999705e+01 2.460076752000004490e+02 9.761482234999948560e+01 -1.698939972499997566e+02 2.472974853999999141e+02 -1.324761505500000567e+02 -4.234103374000001168e+02
1.603013922029999705e+01 2.443756968333333646e+02 9.874546809999992547e+01 -1.702441406500001904e+02 2.476198425500006124e+02 -1.333153534000002765e+02 -4.229508772000000931e+02
1.703013922029999705e+01 2.445066833999999290e+02 9.818698120000044582e+01 -1.702059631000010995e+02 2.485153198999996675e+02 -1.337070007999991503e+02 -4.227351798999999346e+02
1.803013922029999705e+01 2.461534322000005091e+02 9.666857404999944947e+01 -1.693521728499999881e+02 2.484171600000017861e+02 -1.346771544500024902e+02 -4.218860497999992276e+02
1.903013922029999705e+01 2.482154769500002658e+02 9.554667670000071666e+01 -1.699261780000015278e+02 2.493544922000019142e+02 -1.350378113000006124e+02 -4.224894571000004362e+02
2.003013922029999705e+01 2.484919967999994697e+02 9.428167720000055851e+01 -1.699260100999999850e+02 2.506296844000007695e+02 -1.350878600500009270e+02 -4.233981485999998426e+02
2.103013922029999705e+01 2.493773499000008087e+02 9.310816959999920073e+01 -1.699731903000001694e+02 2.518771972000013193e+02 -1.359973602000009123e+02 -4.227986840999999458e+02
2.203013922029999705e+01 2.503186722500004180e+02 9.268637080000007700e+01 -1.706180420000000595e+02 2.521539916999990965e+02 -1.367434844999997949e+02 -4.215879181999994216e+02
2.303013922029999705e+01 2.501333465500006241e+02 9.269151314999908209e+01 -1.716986847500002114e+02 2.527471618999998100e+02 -1.375510254000000714e+02 -4.212724570999993148e+02
2.403013922029999705e+01 2.500811614499998541e+02 9.265902714999992895e+01 -1.728058624499990401e+02 2.538136749499990401e+02 -1.381730855666664866e+02 -4.209805399333333185e+02
2.503013922029999350e+01 2.501749878000000535e+02 9.246069339999849035e+01 -1.727170104999986506e+02 2.528140258000003087e+02 -1.387926635000003444e+02 -4.201129608500002064e+02
2.603013922029999350e+01 2.510260009999992690e+02 9.137734980000095675e+01 -1.724413756000012654e+02 2.536553344000021752e+02 -1.396549683000030200e+02 -4.191357945999983485e+02
2.703013922029999350e+01 2.499696503000004668e+02 9.218299864999971760e+01 -1.747153411700001016e+02 2.562373290699997597e+02 -1.409011535499994352e+02 -4.190228663000001461e+02
2.803013922029999350e+01 2.497993622499989215e+02 9.226696775000164052e+01 -1.769561462000001484e+02 2.585376587000009749e+02 -1.421163330500021402e+02 -4.187512383499992552e+02
2.903013922029999350e+01 2.508183110666661264e+02 9.127436318333394638e+01 -1.782806396500000119e+02 2.598421325500003150e+02 -1.434021759000006568e+02 -4.188032383499997309e+02
3.003013922029999350e+01 2.520963440000014089e+02 9.015234369999961928e+01 -1.786893310000014026e+02 2.611052855999987514e+02 -1.455014648249980382e+02 -4.177065744750003660e+02
3.103013922029999350e+01 2.507566680600000950e+02 9.036468509999940579e+01 -1.777975006499991650e+02 2.600336456499999258e+02 -1.466243439000008948e+02 -4.166037831499993445e+02
3.203013922029999350e+01 2.489653472999998485e+02 8.948765565000030620e+01 -1.775346222499993019e+02 2.606009216999991622e+02 -1.512271201454545348e+02 -4.128980181545456958e+02
3.303013922029999350e+01 2.487163314999993418e+02 8.944534299999941140e+01 -1.781584777499992924e+02 2.621019591999998966e+02 -1.568028259499993737e+02 -4.091225638000003073e+02
3.403013922029999350e+01 2.468990974749990528e+02 9.047601320000103442e+01 -1.781453552999992098e+02 2.629324951499984309e+02 -1.591484985999995843e+02 -4.086761845499996753e+02
3.503013922029999350e+01 2.457055281999992076e+02 9.061232000000018161e+01 -1.791405028999997739e+02 2.634101867500012304e+02 -1.596028595000025234e+02 -4.074117632499987280e+02
3.603013922029999350e+01 2.451283492499987915e+02 9.111314400000264868e+01 -1.806595306833339123e+02 2.646220702833331302e+02 -1.600636901000016223e+02 -4.062671318499988047e+02
3.703013922029999350e+01 2.471808929999994575e+02 8.916908265000103029e+01 -1.812689666499991290e+02 2.671517740666653253e+02 -1.620509287666658338e+02 -4.054384527000007665e+02
3.803013922029999350e+01 2.489518432999993820e+02 8.856063840000206255e+01 -1.820099792500022886e+02 2.685283203499984666e+02 -1.637499694999969506e+02 -4.051719184500008168e+02
3.903013922029999350e+01 2.499020156999986284e+02 8.767864990000089165e+01 -1.811689759000000777e+02 2.686953430499997921e+02 -1.638476867499957734e+02 -4.049467249000035736e+02
4.003013922029999350e+01 2.500176696499984246e+02 8.645700070000020787e+01 -1.800346679499998572e+02 2.687280120999985229e+02 -1.649961852999949770e+02 -4.048278546500025641e+02
4.103013922029999350e+01 2.510723419000023569e+02 8.522265629999674275e+01 -1.799718475499994383e+02 2.696605072500042297e+02 -1.648478241000048001e+02 -4.051106843999982630e+02
4.203013922029999350e+01 2.511623153500013359e+02 8.507518009999694186e+01 -1.802313537499976519e+02 2.714824645599994710e+02 -1.662309691599978123e+02 -4.051258469500016872e+02
4.303013922029999350e+01 2.522911682000012661e+02 8.416333010000016657e+01 -1.801976929000011296e+02 2.734609987000003457e+02 -1.675546571000013500e+02 -4.054687136999987160e+02
4.403013922029999350e+01 2.517836456999993970e+02 8.432649225000204751e+01 -1.790354919000019436e+02 2.738037770499977341e+02 -1.684849446999978682e+02 -4.063193373499990457e+02
4.503013922029999350e+01 2.515981368500015378e+02 8.433601379999890924e+01 -1.787148285500006750e+02 2.743081970499988529e+02 -1.699051665999977558e+02 -4.063204532000004292e+02
4.603013922029999350e+01 2.512729721000005156e+02 8.339901735000057670e+01 -1.774350128000005498e+02 2.742933502000014414e+02 -1.699456482000023243e+02 -4.072216343999989476e+02
4.703013922029999350e+01 2.490370940800013955e+02 8.341197210000063933e+01 -1.751929855500011399e+02 2.733413620500023171e+02 -1.702406922000009217e+02 -4.072951640000023872e+02
4.803013922029999350e+01 2.468205185000015263e+02 8.342549134999899252e+01 -1.731304932000002736e+02 2.722274780499992630e+02 -1.699468078499994590e+02 -4.075996365999998261e+02
4.903013922029998639e+01 2.456968384499996318e+02 8.298970031666794966e+01 -1.718275451666686422e+02 2.714850159000034182e+02 -1.688306580000062240e+02 -4.088596748999970032e+02
5.003013922029998639e+01 2.447078093999998600e+02 8.244650275000094553e+01 -1.712104950000011740e+02 2.737078399400012358e+02 -1.700693054399977200e+02 -4.098417740000031699e+02
5.103013922029998639e+01 2.434221496499976638e+02 8.203887938333599550e+01 -1.696041869333336649e+02 2.751193235999999160e+02 -1.725808104999996431e+02 -4.086618137000000388e+02
5.203013922029998639e+01 2.425186769000010827e+02 8.121997060000285273e+01 -1.687023011000019324e+02 2.759373474999993050e+02 -1.724165192000000388e+02 -4.086693291500002942e+02
5.303013922029998639e+01 2.423611526500026230e+02 8.018786624999847845e+01 -1.675383453500016913e+02 2.760924834999987070e+02 -1.733511504499983857e+02 -4.089606523499999184e+02
5.403013922029998639e+01 2.435124739999982921e+02 7.896206674999848474e+01 -1.674583740999969450e+02 2.772540282999998453e+02 -1.737233580000029178e+02 -4.090579403333303503e+02
5.503013922029998639e+01 2.439443206999985705e+02 7.855268860000433051e+01 -1.674610290000018722e+02 2.785003356499983056e+02 -1.748623046499997145e+02 -4.077010835333323939e+02
5.603013922029998639e+01 2.429741897999983848e+02 7.831066889999783598e+01 -1.662661895499968523e+02 2.786175079500007996e+02 -1.752443236999970395e+02 -4.073067437000033806e+02
5.703013922029998639e+01 2.430550231500001246e+02 7.909999084999799379e+01 -1.661838225999981660e+02 2.783938293000010162e+02 -1.745331217333344398e+02 -4.089507568166673650e+02
5.803013922029998639e+01 2.442756729000002451e+02 7.811935429999721237e+01 -1.661610412999980326e+02 2.790455017500025860e+02 -1.734768372000035015e+02 -4.100286512499985747e+02
5.903013922029998639e+01 2.443249969500020597e+02 7.750170894999973825e+01 -1.661818695000019943e+02 2.787144775500000833e+02 -1.722136229500029003e+02 -4.103659506999969153e+02
6.003013922029998639e+01 2.440140075999970577e+02 7.875686645000314456e+01 -1.664720458499996312e+02 2.778405303999988973e+02 -1.711811981999999261e+02 -4.112462081499996884e+02
6.103013922029998639e+01 2.438442000999993979e+02 7.986198425000111456e+01 -1.669413298499966913e+02 2.783453367999973125e+02 -1.715164184500026749e+02 -4.101947815833314621e+02
6.203013922029998639e+01 2.434821776999997383e+02 8.097290037499988102e+01 -1.681955566249998810e+02 2.789481811500008916e+02 -1.713146973000038997e+02 -4.098453196999971624e+02
6.303013922029998639e+01 2.430991515999976400e+02 8.308834840000054101e+01 -1.701971435499981453e+02 2.801234893499968166e+02 -1.717438506499966024e+02 -4.097699900000008029e+02
6.403013922029998639e+01 2.422156372499994177e+02 8.397654719999991357e+01 -1.699136656499977107e+02 2.802082823000018834e+02 -1.725882873000009567e+02 -4.100899887000023227e+02
6.503013922029998639e+01 2.424529876000051445e+02 8.379423514999871259e+01 -1.697985076500008290e+02 2.810173034999970696e+02 -1.722976684999957797e+02 -4.109765140750027967e+02
6.603013922029998639e+01 2.423068542500004696e+02 8.490919494999980088e+01 -1.698828735499992035e+02 2.799668578999990132e+02 -1.721873625999978685e+02 -4.114284306500012462e+02
6.703013922029998639e+01 2.423596878499993181e+02 8.469999695000296924e+01 -1.707300110500000301e+02 2.810036621499966714e+02 -1.724418335500013200e+02 -4.120836877499970115e+02
6.803013922029998639e+01 2.415233153999979550e+02 8.565119935000257101e+01 -1.711563568000019586e+02 2.807111918000022115e+02 -1.732496744500034538e+02 -4.111083326499976920e+02
6.903013922029998639e+01 2.414239807000012661e+02 8.577667240000300808e+01 -1.705866699000034714e+02 2.817976226749997295e+02 -1.753012848250000388e+02 -4.100960378499994476e+02
7.003013922029998639e+01 2.415918044499976531e+02 8.685583495000173571e+01 -1.706063079499981541e+02 2.816995391499949619e+02 -1.751512145999950008e+02 -4.104292227666682606e+02
7.103013922029998639e+01 2.420018158999992011e+02 8.775198359999922104e+01 -1.709141235499992035e+02 2.818133545499986212e+02 -1.749633789500003331e+02 -4.103598317999983465e+02
7.203013922029998639e+01 2.422473067999981140e+02 8.870115665000048466e+01 -1.712408294999986538e+02 2.818458557500016468e+02 -1.746276856000040425e+02 -4.101045493499989334e+02
7.303013922029998639e+01 2.431032868000002054e+02 8.819369490000099177e+01 -1.712816467000011471e+02 2.814217733000017461e+02 -1.734924520000034818e+02 -4.098431070999972690e+02
7.403013922029998639e+01 2.446108423500020876e+02 8.652132159999990790e+01 -1.711006469500025560e+02 2.812258301000001666e+02 -1.728154907499992987e+02 -4.097295007499992607e+02
7.503013922029998639e+01 2.452533415999969293e+02 8.515733345000262489e+01 -1.704173431499984872e+02 2.802049865999942995e+02 -1.725336304499978723e+02 -4.100836409999990337e+02
7.603013922029998639e+01 2.464228210000001127e+02 8.517733769999904325e+01 -1.716233520999958273e+02 2.811081543000000238e+02 -1.722726440500046010e+02 -4.112050199499988139e+02
7.703013922029998639e+01 2.476559904999994615e+02 8.483866884999952163e+01 -1.724699859499996819e+02 2.814364929000003031e+02 -1.725224913999991259e+02 -4.113721924000013814e+02
7.803013922029998639e+01 2.487656707500009361e+02 8.385316469999816036e+01 -1.723158417000013287e+02 2.823634948999970220e+02 -1.725688171999936458e+02 -4.124057197000026918e+02
7.903013922029998639e+01 2.488753204000022379e+02 8.491137689999959548e+01 -1.723270111000019824e+02 2.813096771999989869e+02 -1.714486847499974829e+02 -4.125951785500010374e+02
8.003013922029998639e+01 2.498769835999992210e+02 8.388572700000077020e+01 -1.724761963499986450e+02 2.815088195999924210e+02 -1.712503051499952562e+02 -4.117602500999981885e+02
8.103013922029998639e+01 2.490389939000015147e+02 8.471134949999759556e+01 -1.727881775000023481e+02 2.814448546999956307e+02 -1.719063415999917197e+02 -4.115113105000011728e+02
8.203013922029998639e+01 2.497903443500017602e+02 8.396301259999745525e+01 -1.724973449000026449e+02 2.826096699333332936e+02 -1.730380146833280151e+02 -4.110925235500017152e+02
8.303013922029998639e+01 2.492475128000005498e+02 8.452682499999718857e+01 -1.730003357999958098e+02 2.835638428000020212e+02 -1.729488220000057481e+02 -4.105423787666648536e+02
8.403013922029998639e+01 2.494056929999969725e+02 8.562089846000014859e+01 -1.750287658599976339e+02 2.844205321999979788e+02 -1.725879974499985110e+02 -4.099990157499996712e+02
8.503013922029998639e+01 2.494271698499997001e+02 8.687281799999618670e+01 -1.772036590999996406e+02 2.853151550000038696e+02 -1.714814758000017605e+02 -4.110872135499994897e+02
8.603013922029998639e+01 2.492223357999973814e+02 8.706631470000866102e+01 -1.771978302000097756e+02 2.850234833000031358e+02 -1.696386414000007790e+02 -4.129142912999993769e+02
8.703013922029998639e+01 2.504501571500004502e+02 8.617184445000020787e+01 -1.762464904500011471e+02 2.837388152999992599e+02 -1.687044982500046899e+02 -4.138736019499942813e+02
8.803013922029998639e+01 2.517036590999996406e+02 8.621769710000080522e+01 -1.762916716999970959e+02 2.825368346499963081e+02 -1.686990355999951134e+02 -4.139050169000042843e+02
8.903013922029998639e+01 2.526213532000019768e+02 8.618367004999527126e+01 -1.771560058999966714e+02 2.822153472999998485e+02 -1.687498473999949056e+02 -4.138970356500049093e+02
9.003013922029998639e+01 2.527080077999999048e+02 8.605398560000321595e+01 -1.774390106500031834e+02 2.806638488999997207e+02 -1.679608306500012986e+02 -4.138662338999993153e+02
9.103013922029998639e+01 2.534468155499980639e+02 8.514434809999511344e+01 -1.777016905999917071e+02 2.800883482999925036e+02 -1.662950133999984246e+02 -4.137838020999952278e+02
9.203013922029998639e+01 2.524583129499987990e+02 8.628335570000126609e+01 -1.778043670000006387e+02 2.789843749499959813e+02 -1.662208556999976281e+02 -4.143740942999990580e+02
9.303013922029998639e+01 2.535976714999978867e+02 8.525584405000336119e+01 -1.758091735500038340e+02 2.768523407000011503e+02 -1.650326690500005498e+02 -4.159063286999992215e+02
9.403013922029998639e+01 2.539568480999987514e+02 8.579002380000019912e+01 -1.741387532333295098e+02 2.737588907666674345e+02 -1.641633198833345659e+02 -4.162973404000015307e+02
