# r	p	err_p
2.625245035596894816e+00 3.387580853816299920e-01 1.237416613883538267e-03
3.533940718328255848e+00 3.324540139740482236e-01 2.061397644803461895e-03
3.849293862359551177e+00 3.404854027435807451e-01 4.557892443853597993e-03
4.463313781256045942e+00 3.412030970815961850e-01 8.384129528654500315e-04
4.999724650353443600e+00 3.478828015251856365e-01 2.423454412854415384e-03
5.193346845062085215e+00 3.482885217579095305e-01 1.777216172939175215e-03
5.750139172914929375e+00 3.381834925751122101e-01 8.256575433158683556e-04
6.209373423330200481e+00 3.474991255683805291e-01 3.200205935383450620e-03
6.781177187077206625e+00 3.435679748116496346e-01 5.751930068795436946e-04
7.589421558319282113e+00 3.414455131919496012e-01 7.548053762879903443e-04
8.057608681191492650e+00 3.409228450392225995e-01 8.210041680400382257e-04
8.356633342854975055e+00 3.369173609547398973e-01 1.292005485433614462e-03
8.512941937433401662e+00 3.359044538442398364e-01 1.452749788557635346e-03
9.164637509664682824e+00 3.398165999937715065e-01 4.090743206055205325e-04
9.952617911145608787e+00 3.373792165483213146e-01 6.846181941201382685e-04
1.021981892240385470e+01 3.401138100900288896e-01 1.584055379132972207e-03
1.120432711252375668e+01 3.399520325234219320e-01 2.739245983321896092e-04
1.213653483254496024e+01 3.426700367647058654e-01 1.163438973587557507e-03
1.223200556778053105e+01 3.368542568542568505e-01 1.308319185604457429e-03
1.232284075487175734e+01 3.414386780784643416e-01 1.208028611294801767e-03
1.316034300741024055e+01 3.382130915418471995e-01 2.512765536348569645e-04
1.460420797562390405e+01 3.385538515840298412e-01 2.587787846278269931e-04
1.564178166185790531e+01 3.362137142658809252e-01 2.712445996372679202e-04
1.684071156770169608e+01 3.358007006692289576e-01 2.182350134353537683e-04
1.748507400346301921e+01 3.360018574413745074e-01 7.425360735665324438e-04
1.757863453436762313e+01 3.356777335541766827e-01 8.567904794037832332e-04
1.767153378928534480e+01 3.344258033368304739e-01 7.430808257529159357e-04
1.795679091495292923e+01 3.360635847659784736e-01 3.493949867473343908e-04
1.848635162307429880e+01 3.362563578945371723e-01 3.062818170041682478e-04
1.881592767258194954e+01 3.376424260030341240e-01 6.914999991220675650e-04
1.897277110755564067e+01 3.361103869638811803e-01 4.668570406301187823e-04
1.913027925265929952e+01 3.368583217855124490e-01 6.776078872023132355e-04
1.922963935674527747e+01 3.372209446034949432e-01 6.809854213315539011e-04
1.932760847567681139e+01 3.371474040183011778e-01 6.868602275842736584e-04
1.945121584582773622e+01 3.372330622220441332e-01 5.448952281064408472e-04
1.972246808477364866e+01 3.361330507686732805e-01 3.355875258818923784e-04
1.992110013329680385e+01 3.280423280423280241e-01 2.400131160093120844e-03
