# r	stdNi	stdCo	stdCr
5.437067275211220618e+01 3.998608091026241949e-03 3.983489820162727443e-03 1.941454504442602282e-03
3.624711516807480649e+01 8.697882334589877168e-03 6.953875359293221897e-03 4.740834899847297564e-03
2.718533637605610309e+01 1.359543003064951454e-02 1.077386984536670388e-02 7.814865015929739131e-03
2.174826910084488318e+01 1.931703198945928374e-02 1.473661691395720605e-02 1.136895291688905241e-02
1.812355758403740325e+01 2.571961796853236212e-02 1.950445660402590903e-02 1.494642500403896117e-02
1.553447792917491554e+01 3.261726226498426473e-02 2.391921244258626497e-02 2.046330929148324970e-02
1.359266818802805155e+01 4.134697494087676700e-02 2.996450820833400017e-02 2.517684771273163633e-02
1.208237172269160098e+01 4.938780572338991037e-02 3.552416563324835297e-02 3.067455425702509883e-02
1.087413455042244159e+01 5.785607272571707121e-02 4.145909857497373507e-02 3.665729235978067851e-02
9.885576864020400478e+00 6.948497981314812055e-02 4.809296546509849585e-02 4.492411164973943161e-02
8.364718884940339549e+00 8.939840955977527981e-02 6.169151993755784408e-02 5.915506859210722945e-02
7.767238964587457772e+00 9.771427626754934648e-02 6.759594498060608747e-02 6.341325999532615443e-02
6.796334094014025773e+00 1.227136482364094144e-01 8.611809883445482872e-02 8.025998680110732475e-02
6.041185861345800490e+00 1.448483616981792732e-01 1.023497077526046017e-01 9.872432939732701807e-02
5.437067275211220796e+00 1.651770275800777954e-01 1.199429162192370418e-01 1.134191442465504324e-01
4.727884587140191996e+00 1.980370620317315478e-01 1.481926948621534457e-01 1.413768584723772148e-01
4.182359442470169775e+00 2.299659853995403569e-01 1.772343880365533642e-01 1.643057261119914014e-01
3.749701569111186572e+00 2.627634404574996640e-01 2.088615878842218498e-01 1.908550708836696808e-01
3.398167047007012886e+00 3.013821592182618359e-01 2.507491958678931820e-01 2.391370284900724286e-01
3.020592930672900245e+00 3.532232958898085529e-01 3.166027603644200328e-01 3.186731316173593287e-01
