# r	p	err_p
2.562670509788413042e+00 2.319489424422686297e-01 2.174997340663703538e-03
3.581475987980480280e+00 3.045111574771901530e-01 1.813254730286886557e-03
4.400803415566406862e+00 3.012800294529481282e-01 1.341540698808063722e-03
5.063160241153457974e+00 3.027576884641822730e-01 1.058683616723418361e-03
5.693346276552755825e+00 3.183050042221956533e-01 1.038134268631455640e-03
6.085350963917813161e+00 3.162846237523744275e-01 4.478900417548095994e-03
6.711576941015085396e+00 3.404492122686567090e-01 1.219754352035270053e-03
7.739072541391418092e+00 3.435412458652766232e-01 1.030830043405190407e-03
8.231705018315594202e+00 3.461738994127416813e-01 1.349583885995849506e-03
8.435516831187429787e+00 3.452894770466489183e-01 1.029152015663342560e-03
9.070772388823231225e+00 3.380663398282712229e-01 1.046996803075558652e-03
9.863149695032269904e+00 3.437475795815280177e-01 8.496090192705564809e-04
1.045281257319258117e+01 3.368060572241241557e-01 8.783347915012272274e-04
1.106096211485226988e+01 3.374660582361367900e-01 5.630725237364642101e-04
1.165899155204828475e+01 3.308427873841682243e-01 1.057297806683759949e-03
1.213268848647900988e+01 3.318408675079174697e-01 7.397546199956391575e-04
1.265366913923219094e+01 3.302019340760013466e-01 3.786220562702180938e-04
1.328151559379289814e+01 3.298787505416612698e-01 5.004708997302469414e-04
1.410065513020124506e+01 3.313333457065786303e-01 9.719495646366349204e-04
1.469220349857300967e+01 3.288180263656357849e-01 3.269513067017779280e-04
1.549732240503817238e+01 3.292056765018517295e-01 5.411211101416892651e-04
1.668469030094559713e+01 3.310200428159976171e-01 6.465095826447256246e-04
1.728423387618049034e+01 3.321956931196393126e-01 6.207711931381288588e-04
1.769809319180270890e+01 3.325242744382778670e-01 7.765648539368461348e-04
1.859505995759335306e+01 3.326114601328694631e-01 6.444275006210829337e-04
1.929532296077087850e+01 3.336635519164432018e-01 5.495949384460923574e-04
1.957280872890100909e+01 3.335136118880667189e-01 9.034650112944901884e-04
1.977532021354118896e+01 3.329478020530503568e-01 3.193148268751389561e-04
