# r	stdNi	stdCo	stdCr
5.372607759571537400e+01 1.133387344286607666e-02 6.808004313440496960e-03 6.230686165675977314e-03
3.581738506381024933e+01 2.102539489483160745e-02 1.214382622778440411e-02 1.087836585634092273e-02
2.686303879785768700e+01 2.828365593216068674e-02 1.554601367078109475e-02 1.571599624812909657e-02
2.149043103828615031e+01 4.148290391165827817e-02 2.350754921761386701e-02 2.143396401391703052e-02
1.790869253190512467e+01 5.009660104068779096e-02 2.952366880489370321e-02 2.538823000705053845e-02
1.535030788449010686e+01 6.303648969481712161e-02 3.757530205740269857e-02 3.108897098199615155e-02
1.343151939892884350e+01 8.224894055023160289e-02 4.835443949755432319e-02 4.067568311591953506e-02
1.193912835460341704e+01 1.011388625862995466e-01 5.828522067913390059e-02 5.044455819406463981e-02
1.074521551914307516e+01 1.217576350013572783e-01 7.008239525983646356e-02 6.077053731865181968e-02
9.768377744675522223e+00 1.439644026989907177e-01 8.379122976952922686e-02 7.066907524507705374e-02
8.265550399340826360e+00 1.808387621090500330e-01 1.056696550420369307e-01 8.696281755002147063e-02
7.675153942245053429e+00 1.946015140568159996e-01 1.130501038410023085e-01 9.674346853970954008e-02
6.715759699464421750e+00 2.277752464841036606e-01 1.344385468101898240e-01 1.160746136168181869e-01
5.969564177301708519e+00 2.551475020452290687e-01 1.528315696014928005e-01 1.361785344682900356e-01
5.372607759571537578e+00 2.790339198673292831e-01 1.715890412340264071e-01 1.547340600230239505e-01
4.671832834410032831e+00 2.979786147268135843e-01 1.860318599991129807e-01 1.712574199633835059e-01
4.132775199670413180e+00 3.276686746241375681e-01 2.080866428333071616e-01 1.852285996863205220e-01
3.705246730738991356e+00 3.509605051164069733e-01 2.338138238698617977e-01 2.197100665107932227e-01
3.357879849732210875e+00 4.027237320061827219e-01 3.274382384040321337e-01 3.243821248652563605e-01
