# r	p	err_p
2.127659574468085124e-01 nan nan
6.382978723404255650e-01 nan nan
1.063829787234042534e+00 nan nan
1.489361702127659726e+00 nan nan
1.914893617021276473e+00 3.440476190476190466e-01 5.645418345819881029e-02
2.340425531914893664e+00 2.978208673607993795e-01 2.156988785273992841e-03
2.765957446808510412e+00 3.097298186023827449e-01 2.073332939062082648e-03
3.191489361702127603e+00 2.926317350522912308e-01 2.134730171828845471e-03
3.617021276595744794e+00 2.810005603041500488e-01 9.355603796858971916e-04
4.042553191489361986e+00 3.028806727705420920e-01 2.791447860357240164e-03
4.468085106382979177e+00 3.013036196374044851e-01 5.228842129799949039e-04
4.893617021276595480e+00 3.363120826335023184e-01 1.590535009712461213e-03
5.319148936170213560e+00 3.556087495374518626e-01 2.196720022601390473e-03
5.744680851063829863e+00 3.425775375974219883e-01 7.105299752400774963e-04
6.170212765957446166e+00 3.584671890235009428e-01 7.148933550627424192e-04
6.595744680851064246e+00 3.351802280773681364e-01 4.599187344939025175e-04
7.021276595744680549e+00 3.388865595984283940e-01 8.220675536171549421e-04
7.446808510638298628e+00 3.392315932184785110e-01 3.264044032615229436e-04
7.872340425531914931e+00 3.392652948643234412e-01 4.946490204476672141e-04
8.297872340425531235e+00 3.364350970358326864e-01 6.115616061046317024e-04
8.723404255319149314e+00 3.430367611736045985e-01 8.117419590958603950e-04
9.148936170212767394e+00 3.411790738908355158e-01 6.960967790584487178e-04
9.574468085106381920e+00 3.427876827659911974e-01 7.082477987500114015e-04
1.000000000000000000e+01 3.349028448713932682e-01 3.711516204336221870e-04
1.042553191489361808e+01 3.352843562227085794e-01 4.912018874344154786e-04
1.085106382978723438e+01 3.323849786699154540e-01 4.793793453611835454e-04
1.127659574468085069e+01 3.330112065669715848e-01 5.034368968405971301e-04
1.170212765957446877e+01 3.345348904603094864e-01 3.533016299651445952e-04
1.212765957446808507e+01 3.332135898344261715e-01 7.063515417862833989e-04
1.255319148936170137e+01 3.338926281173575372e-01 3.180801823630874576e-04
1.297872340425531945e+01 3.324349456483948750e-01 4.096103389578660374e-04
1.340425531914893753e+01 3.314561562279561557e-01 3.887175773694776524e-04
1.382978723404255206e+01 3.354690661969284560e-01 7.355216295232049886e-04
1.425531914893617014e+01 3.316082108166097386e-01 4.992399563674221677e-04
1.468085106382978822e+01 3.320879129091977022e-01 3.740195838761627622e-04
1.510638297872340452e+01 3.341124759295954760e-01 4.883956429903249128e-04
1.553191489361702082e+01 3.322638983145661529e-01 2.684894696749111158e-04
1.595744680851063890e+01 3.344618195527572224e-01 3.950671143601415048e-04
1.638297872340425698e+01 3.339177114203404351e-01 5.830629897499128552e-04
1.680851063829787151e+01 3.330389580003333405e-01 5.180955345801895691e-04
1.723404255319148959e+01 3.339489668675175160e-01 5.231342672543049183e-04
1.765957446808510767e+01 3.334223897126369907e-01 4.945603373683765160e-04
1.808510638297872219e+01 3.343953469632116593e-01 6.124081235553413549e-04
1.851063829787234027e+01 3.340212620967498158e-01 2.473556107053748263e-04
1.893617021276595835e+01 3.341030580672265105e-01 3.669588119203887966e-04
1.936170212765957643e+01 3.339275779012432221e-01 6.338214006921435431e-04
1.978723404255319096e+01 3.338159008776105385e-01 2.221749085791114469e-04
