# r	stdNi	stdCo	stdCr
5.334264270796764151e+01 8.315199617127564877e-03 7.391545000457893505e-03 7.704500775846666837e-03
3.556176180531176101e+01 1.255923143255245969e-02 1.082181015098769052e-02 1.222713435320951260e-02
2.667132135398382076e+01 1.557196276284614558e-02 1.623238019785742253e-02 1.503412557087987524e-02
2.133705708318705518e+01 2.161309051917717494e-02 2.124922193480507579e-02 2.062189177012547017e-02
1.778088090265588050e+01 2.684091987792462317e-02 2.671301323536153308e-02 2.587703851202843505e-02
1.524075505941932640e+01 3.195021019378072036e-02 3.298845700551926441e-02 3.241024582553029415e-02
1.333566067699191038e+01 3.748230457852022579e-02 3.960691234179726516e-02 3.724474155939042769e-02
1.185392060177058760e+01 4.532943420627084247e-02 4.431531410564877593e-02 4.182132526441748044e-02
1.066852854159352759e+01 5.239392799816616070e-02 5.312292047370972825e-02 5.125446730266484258e-02
9.698662310539571507e+00 5.953549990628087540e-02 5.747287883249287133e-02 5.475022618079663367e-02
8.206560416610406250e+00 7.470413387582773568e-02 7.424184233049210824e-02 7.310555049402409078e-02
7.620377529709663200e+00 8.341002675672640199e-02 7.945893118243348152e-02 7.652626020933057938e-02
6.667830338495955189e+00 1.029197702687797977e-01 1.005251215665303594e-01 1.013448785566557486e-01
5.926960300885293798e+00 1.197348002194867228e-01 1.186104174453425225e-01 1.153253298211572853e-01
5.334264270796763796e+00 1.480377135374025266e-01 1.368553405424693947e-01 1.385254229740797149e-01
4.638490670258056170e+00 1.770252687485145693e-01 1.661600443691773621e-01 1.664097011576210761e-01
4.103280208305203125e+00 2.030663751694334884e-01 1.919419303019695433e-01 2.035068653242878278e-01
3.678802945377078526e+00 2.673272469112296656e-01 2.387864057256192385e-01 2.378856095977854579e-01
3.333915169247977595e+00 3.301147237451448890e-01 3.255876631569445956e-01 3.195297411127101528e-01
