# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000444e+00 9.999999999999998890e-01 1.000000000000000222e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000444e+00 1.000000000000000222e+00 9.999999999999998890e-01 9.999999999999996669e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000222e+00 1.000000000000000666e+00 1.000000000000000222e+00 1.000000000000000000e+00 9.999999999999998890e-01 9.999999999999998890e-01 9.999999999999998890e-01 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000222e+00 nan
1.000000000000000000e+00 9.707126636844788381e-01 9.936477213212612236e-01 9.441900551863749991e-01 9.429479500452325746e-01 8.028444924695802287e-01 9.943337814130727148e-01 8.850167016978549572e-01 8.892001055621931993e-01 8.019302777760731749e-01 8.451821116039049953e-01 9.939472517823856323e-01 5.910897914421291421e-01 6.385703105471033370e-01 5.213670935222155522e-01 7.266427400364910971e-01 9.945900843242957423e-01 7.732091106471452591e-01 9.937902438329323518e-01 7.392677093817731082e-01 7.608819631985315191e-01 6.881164568251936231e-01 7.900409756060858824e-01 9.941361128694747862e-01 9.941302940297189750e-01 8.091695217429730747e-01 6.973132458124873256e-01 9.949645208511245231e-01 9.949952991130986968e-01 7.933861693630441803e-01 8.091352502000407343e-01 6.949451547085556680e-01 5.701168233107505312e-01 nan
2.000000000000000000e+00 9.199781865462715036e-01 9.840592564469092807e-01 8.778193405946731476e-01 8.742752518511016646e-01 5.804725514801568620e-01 9.846949201883223868e-01 7.498725510023559471e-01 7.419788909877998995e-01 5.265992172590423515e-01 6.256879105821487874e-01 9.847344283397420073e-01 1.730790171640900488e-01 2.969915488404515358e-01 1.802364371562850121e-01 4.069106606766574874e-01 9.864627680591051551e-01 4.217258918909181920e-01 9.855795629438048877e-01 4.357835135300007212e-01 4.219699983577762659e-01 3.417118596292769150e-01 5.673678142086560072e-01 9.858121529383994108e-01 9.854047543536808007e-01 6.121753957198312612e-01 4.222378843724641229e-01 9.857059029148922402e-01 9.860803310874539651e-01 5.295232341985687263e-01 5.872167174065823225e-01 3.342026395301960773e-01 1.674384767331989488e-01 nan
3.000000000000000000e+00 8.682780370396920855e-01 9.735378001714525276e-01 8.123047322280466664e-01 8.002159657068192988e-01 4.907960597309961592e-01 9.717792265263294205e-01 6.340656482332276411e-01 6.397742597540578835e-01 3.450680831413950878e-01 4.383350085522932926e-01 9.733325411971460728e-01 1.419218581004407995e-02 2.296097278203172998e-01 8.967840845677356454e-02 2.039330092618419632e-01 9.754499338926242435e-01 1.953891544570861838e-01 9.749839414337552190e-01 2.640836527545974977e-01 2.335965188000103387e-01 2.189348638317751838e-01 4.756824783051880612e-01 9.741940551307074481e-01 9.740336554848746387e-01 4.827283774027855134e-01 3.003500611573525214e-01 9.738835187020221662e-01 9.749611941768989709e-01 3.697283255098148813e-01 4.591013879276037990e-01 1.945807693396150451e-01 4.545703722498868615e-02 nan
4.000000000000000000e+00 8.092169445826195018e-01 9.615751448176813598e-01 7.480847478975709564e-01 7.554447739894047942e-01 4.163391963340685731e-01 9.573624020281364944e-01 5.456450261380966227e-01 5.619498269739467977e-01 2.438780001370964290e-01 3.291571967397163290e-01 9.620032205884857524e-01 -9.645219802817263377e-02 1.925751027424026929e-01 2.552912080106193790e-02 1.107851862061797754e-01 9.633212971433967597e-01 1.036046065645807729e-01 9.623567489580671097e-01 1.988004541005530812e-01 2.114751349388448720e-01 2.098352734617712212e-01 4.297256027867698558e-01 9.608376432288620039e-01 9.613682325062531397e-01 4.149565894231094787e-01 2.338514706364545337e-01 9.599218181013502438e-01 9.621827139174865540e-01 2.907268159459940327e-01 3.608907619190412919e-01 1.604525769070444807e-01 5.505228627888025805e-02 nan
5.000000000000000000e+00 7.425645298674025119e-01 9.453703367326750096e-01 6.591672427197862172e-01 6.992573961650848657e-01 3.845350628742493226e-01 9.395612580496282007e-01 4.743442762545147517e-01 4.740448221763739478e-01 1.495247407125150085e-01 2.294242280840866899e-01 9.467186445635336067e-01 -1.720351591798742474e-01 1.117600738576795399e-01 1.389422148259851497e-02 5.061590418365471272e-02 9.472819265271884559e-01 9.128279701617682262e-02 9.454159562863289068e-01 1.571050606854893783e-01 2.432601806934973354e-01 1.882239600348806496e-01 3.364184011438336452e-01 9.433618670449059884e-01 9.445654672835911425e-01 3.590609464633673920e-01 2.073853135600836894e-01 9.432068794834882475e-01 9.462117694299523318e-01 2.380932433715634289e-01 2.906096247108229669e-01 9.937675853390597058e-02 -3.337929633208683300e-02 nan
6.000000000000000000e+00 6.730353173812312351e-01 9.283358758928308418e-01 5.797643331481244777e-01 6.415121000113874761e-01 4.027658263683830397e-01 9.204080126388779481e-01 4.184322675836418259e-01 4.251535950706299416e-01 1.143894488509455964e-01 1.565189120851699645e-01 9.284895510538506702e-01 -6.345081176923912658e-02 4.012466472389254746e-02 4.485896068176450924e-02 1.739239547799124180e-02 9.288855812445571125e-01 1.428788933791450277e-01 9.274971211438508556e-01 1.875078670061383068e-01 2.485973704053619227e-01 1.398935236903981749e-01 2.793553600671683790e-01 9.244749808693419890e-01 9.252059928105774711e-01 3.458437603614467615e-01 1.796481412469749239e-01 9.248562668267037434e-01 9.280639918607405114e-01 1.531812775932843984e-01 2.269771458204074277e-01 3.402024550573064937e-02 -1.060154597323958447e-01 nan
7.000000000000000000e+00 6.072901248283472109e-01 9.112844555698426108e-01 5.090878593925511897e-01 5.722796775660105029e-01 4.613350851158226074e-01 9.005589156322367783e-01 3.851139870949883415e-01 4.155763963286518980e-01 1.390542898738403588e-01 1.213938751128599003e-01 9.076033432817816049e-01 1.144365616359980242e-01 5.260219801157491049e-02 9.268840779548191688e-02 2.803373837655962625e-02 9.090178634524397339e-01 2.626903127434654373e-01 9.085884362307311557e-01 2.510784280735917640e-01 2.149766944603194452e-01 1.278919080080643533e-01 2.977050226724796134e-01 9.046229870808262241e-01 9.039676722517133722e-01 3.274432156238069602e-01 1.404152455552148127e-01 9.047686431283820108e-01 9.078193524168407524e-01 1.095753225453114099e-01 1.842255762822645471e-01 5.198438553242228782e-02 -3.969168039777007384e-02 nan
8.000000000000000000e+00 5.383572407939508642e-01 8.929374430096339577e-01 4.360483533670490019e-01 5.044973319376706566e-01 5.109876520858371851e-01 8.800527782655892528e-01 3.675859845778243207e-01 4.169270786712542809e-01 1.693038084428446499e-01 1.206643995368678751e-01 8.847797124584546591e-01 1.818940946829810945e-01 5.809959353118439307e-02 7.344684996495678964e-02 7.999764920588951778e-03 8.874248166496829793e-01 3.550678422032925163e-01 8.870314180465166398e-01 2.330364183542859846e-01 1.234262021620555622e-01 1.090553477285810813e-01 3.579326169363274968e-01 8.827879860275784640e-01 8.811581867683699887e-01 2.124399264460168635e-01 4.666400413721086271e-02 8.832267744361400608e-01 8.860194030166060886e-01 1.070154798847644528e-01 1.544976206801975671e-01 1.138782505152337726e-01 1.471706054559724676e-02 nan
9.000000000000000000e+00 4.726202701315425636e-01 8.729935276593935312e-01 3.767682515057588777e-01 4.624217817500042571e-01 4.945237796485600912e-01 8.585809940092803405e-01 3.424786575561230006e-01 4.014879689953394504e-01 1.627291486973498902e-01 1.251076649799876539e-01 8.605608824182177097e-01 1.246691958190200983e-01 2.283768879469351074e-02 -8.887899715997880923e-02 -8.581408197647884262e-02 8.650072817502667544e-01 3.519101305497887577e-01 8.642707035981384012e-01 1.906548609671613603e-01 4.875192555838939179e-02 1.476772280730860240e-02 3.462471075802045495e-01 8.594273501684893679e-01 8.574686576698857809e-01 1.164008231592568443e-01 1.707940260486998443e-02 8.600846206710459629e-01 8.631705916208296525e-01 8.640198785547671678e-02 1.151792898599316023e-01 9.493911736404798962e-02 -4.109070634201190259e-02 nan
