# r	p	err_p
2.569590676651360095e+00 3.387610249986952593e-01 1.242698771208853485e-03
3.598150098410850095e+00 3.386852152084096068e-01 1.759355970260524041e-03
4.395952736308172959e+00 3.375526326081005335e-01 8.789484695351351120e-04
5.060264992264159822e+00 3.418453131567885661e-01 1.244644336293517384e-03
5.672108326427080627e+00 3.389504955566368660e-01 8.704291002710988620e-04
6.176466112367192451e+00 3.340885062679353479e-01 1.730680041340386258e-03
6.722248482046909501e+00 3.367699642431465912e-01 5.945524368981982112e-04
7.588429231903842442e+00 3.348064728403924439e-01 6.667375052588301459e-04
8.042227772358367943e+00 3.378085304141278389e-01 9.349201729336875525e-04
8.410209558053768575e+00 3.371483746379143609e-01 8.736790964881731725e-04
9.057063676524380824e+00 3.377682445533644606e-01 4.401470608448582308e-04
9.835639884096661234e+00 3.367372557262382493e-01 5.885044627788639515e-04
1.044181482234893821e+01 3.371937860983867941e-01 5.433206578423038736e-04
1.103494127401692282e+01 3.354479805308578366e-01 4.107223115602720229e-04
1.163313421865876229e+01 3.368271574672396240e-01 5.237851931077277525e-04
1.212208804710394361e+01 3.359827118892388942e-01 5.573569684454145277e-04
1.265723243629415506e+01 3.367918216191824743e-01 4.296370548523738026e-04
1.327309797603107633e+01 3.364117502041301666e-01 3.221065368420837085e-04
1.408873199742640026e+01 3.360070728670502826e-01 4.261647774403068282e-04
1.467910216187841321e+01 3.373515245184660616e-01 3.203004637242940237e-04
1.548497181395754474e+01 3.366720224546369544e-01 2.711940249070728158e-04
1.648450762787918933e+01 3.371262585717699767e-01 2.695741575161529711e-04
1.702812037887380825e+01 3.380150222416685168e-01 3.794461219788844300e-04
1.762885565841998314e+01 3.367203984283887452e-01 2.692886216895044155e-04
1.826843089745300119e+01 3.363081837249129458e-01 3.379307186196796168e-04
1.875298301084482233e+01 3.369385402793786399e-01 2.975644251114403522e-04
1.927395427736270506e+01 3.361510503774963188e-01 2.924170498788379873e-04
