# r	p	err_p
4.347826086956521618e-01 nan nan
1.304347826086956541e+00 nan nan
2.173913043478260754e+00 2.475936832123038778e-01 1.025183724916100929e-03
3.043478260869565410e+00 3.378591338069938388e-01 9.800730367962246295e-04
3.913043478260869179e+00 4.558495885285113181e-01 2.475400582038432204e-03
4.782608695652173836e+00 3.805295721804878295e-01 7.960227354882679074e-04
5.652173913043478493e+00 2.476894711769073720e-01 4.391813531104716249e-03
6.521739130434782261e+00 3.460584151120106311e-01 2.686784649916105962e-03
7.391304347826086918e+00 3.229705744099936049e-01 2.337139861606612676e-03
8.260869565217390686e+00 3.571544781859422590e-01 2.104502368639119079e-03
9.130434782608695343e+00 2.742585108442912589e-01 4.626933523398769378e-03
1.000000000000000000e+01 3.495919523629175130e-01 3.175513556432567157e-03
1.086956521739130466e+01 3.432252878598212043e-01 1.351165246247025683e-03
1.173913043478260931e+01 2.997036108067496762e-01 5.180515564708165765e-03
1.260869565217391219e+01 3.288001113178575241e-01 8.945307775323858498e-04
1.347826086956521685e+01 3.344735558852398594e-01 4.363015265823332349e-04
1.434782608695652151e+01 3.397491487131000243e-01 5.831475588244241321e-04
1.521739130434782616e+01 3.240685210222808976e-01 2.585274901330640585e-03
1.608695652173912904e+01 3.387885153793753767e-01 1.327827693536327283e-03
1.695652173913043370e+01 3.345598817463499297e-01 6.418707672353002542e-04
1.782608695652173836e+01 3.361646308724824950e-01 5.987599373084159186e-04
1.869565217391304301e+01 3.269961192072672884e-01 1.159691364889431191e-03
1.956521739130434767e+01 3.277729999834436692e-01 7.616670281937029576e-04
