# r	p	err_p
4.347826086956521618e-01 nan nan
1.304347826086956541e+00 nan nan
2.173913043478260754e+00 5.085125421666755186e-01 2.294027720886137375e-03
3.043478260869565410e+00 4.439848695307375692e-01 1.272139381665802517e-03
3.913043478260869179e+00 2.850111271948858604e-01 2.343518094835838131e-03
4.782608695652173836e+00 3.203616410233963707e-01 6.436329187534649016e-04
5.652173913043478493e+00 4.090668950250418989e-01 3.905512261893507621e-03
6.521739130434782261e+00 3.083748703178719186e-01 3.121136482529664278e-03
7.391304347826086918e+00 3.194274802812245295e-01 1.295537351735061900e-03
8.260869565217390686e+00 2.918186714701511142e-01 2.967352386849786069e-03
9.130434782608695343e+00 3.570381673505964026e-01 2.919498793328604604e-03
1.000000000000000000e+01 2.974716062267102612e-01 4.217251482220580293e-03
1.086956521739130466e+01 3.084823173125531004e-01 2.409058013969824375e-03
1.173913043478260931e+01 3.489513338480486615e-01 2.574917115707373288e-03
1.260869565217391219e+01 3.333848031766162290e-01 1.167492324099839423e-03
1.347826086956521685e+01 3.302896823489772093e-01 1.436289441924963519e-03
1.434782608695652151e+01 3.263552793752707015e-01 1.596555247138878092e-03
1.521739130434782616e+01 3.415727045683196739e-01 1.014531333353311257e-03
1.608695652173912904e+01 3.312515873855391146e-01 1.942361355930301162e-03
1.695652173913043370e+01 3.314418373557893593e-01 8.143420784321458864e-04
1.782608695652173836e+01 3.294404444002462240e-01 9.035243726694448417e-04
1.869565217391304301e+01 3.347027556102944446e-01 7.698598598075635964e-04
1.956521739130434767e+01 3.324495021604575440e-01 8.231048363647442377e-04
