# r	p	err_p
2.569590676651360095e+00 3.376911434685037072e-01 1.243465335813351324e-03
3.598150098410850095e+00 3.394173944877360016e-01 1.758607750380519362e-03
4.395952736308172959e+00 3.421282475785741295e-01 8.765976006484815916e-04
5.060264992264159822e+00 3.425283732660781566e-01 1.244135799946702791e-03
5.672108326427080627e+00 3.387584193407944255e-01 8.705260541320821105e-04
6.176466112367192451e+00 3.416402356139556229e-01 1.723189842752736707e-03
6.722248482046909501e+00 3.431883194278903537e-01 5.923201248149400884e-04
7.588429231903842442e+00 3.434209739172050524e-01 6.634072610594550588e-04
8.042227772358367943e+00 3.381183517504905423e-01 9.347536554481097144e-04
8.410209558053768575e+00 3.394914708722240326e-01 8.724989048215529494e-04
9.057063676524380824e+00 3.392004080685084300e-01 4.397829757973717771e-04
9.835639884096661234e+00 3.390960630105153695e-01 5.877072730283069155e-04
1.044181482234893821e+01 3.393995220075682329e-01 5.426298767516060878e-04
1.103494127401692282e+01 3.407241862063286053e-01 4.094768625476426661e-04
1.163313421865876229e+01 3.390335397865776312e-01 5.231214037836256570e-04
1.212208804710394361e+01 3.406867105497242698e-01 5.558462969747939627e-04
1.265723243629415506e+01 3.389453374204490776e-01 4.291059339944292071e-04
1.327309797603107633e+01 3.379713570852835858e-01 3.218200025183900158e-04
1.408873199742640026e+01 3.384452541123276759e-01 4.255720682226400860e-04
1.467910216187841321e+01 3.379417053630304757e-01 3.201921336914406897e-04
1.548497181395754474e+01 3.366893791749110965e-01 2.711913523330101517e-04
1.648450762787918933e+01 3.357020731580269701e-01 2.697916600670540940e-04
1.702812037887380825e+01 3.353411604560149750e-01 3.800226076783212790e-04
1.762885565841998314e+01 3.361666181752390736e-01 2.693731095549821083e-04
1.826843089745300119e+01 3.364986819065212131e-01 3.378942688767520679e-04
1.875298301084482233e+01 3.362427811255173649e-01 2.976818946494101084e-04
1.927395427736270506e+01 3.366638864039390167e-01 2.923321445954209425e-04
