# r	p	err_p
2.544769695677400634e+00 1.860246287238658813e-01 2.936313995580933957e-03
3.581501989330746039e+00 2.673018364617327225e-01 3.500140153424890956e-03
4.391320029633607014e+00 2.797789161524883439e-01 2.735214967001645559e-03
5.050299244781456309e+00 2.871166239920076579e-01 3.204534546895186457e-03
5.672665932111428333e+00 3.094374519204515783e-01 3.135845787611275630e-03
6.186534271077422709e+00 3.015180097972578466e-01 4.135078330291216617e-03
6.735706375169587368e+00 3.484499721890505497e-01 2.091068447214204217e-03
7.584405770792931989e+00 3.501669640184036925e-01 2.929069352221139264e-03
8.044052552521423038e+00 3.617443155615470696e-01 1.836688056747668362e-03
8.402908369825528467e+00 3.561677682613043627e-01 1.872268596138012501e-03
9.047397755320712776e+00 3.489863013916901235e-01 1.975570284998822562e-03
9.841629830299050141e+00 3.596192605614656479e-01 1.674046287311013520e-03
1.043998718332159115e+01 3.460984765153415355e-01 1.687215688289568508e-03
1.103183519696719728e+01 3.484601326872460714e-01 1.440667248198530164e-03
1.162919830582757363e+01 3.338352806441083898e-01 1.594199102626858103e-03
1.212868059902548801e+01 3.365635595949176273e-01 1.271516984815307958e-03
1.265899892209972322e+01 3.291152741771583012e-01 1.447292695400393065e-03
1.327259478928669623e+01 3.297765842551904081e-01 1.079704008922051373e-03
1.409264108157564088e+01 3.294520309408330294e-01 8.485760726845071504e-04
1.467945812321119803e+01 3.246458380944947097e-01 1.091666099161294227e-03
1.548357497030168695e+01 3.225829480775690428e-01 9.013442053140462498e-04
1.648337099711457299e+01 3.265444246708169018e-01 6.279755048439015098e-04
1.702522609090965844e+01 3.257023471083085875e-01 1.654111927520250701e-03
1.763047392670487667e+01 3.293872148701820768e-01 9.175687094683772837e-04
1.827464445256778802e+01 3.288792147950980183e-01 1.392629241447933524e-03
1.875718504030362155e+01 3.314062739960562110e-01 1.232278803179203547e-03
1.927076073685167401e+01 3.328026881055453634e-01 1.081583765102347907e-03
1.972095007025556868e+01 3.329074342507996609e-01 1.347028557360801506e-03
1.992175530039709130e+01 3.362589952296838325e-01 1.314557658332543913e-03
