# r	p	err_p
2.513510288998610509e+00 2.452116144172133971e-01 1.016208035152821191e-03
3.562803634635418160e+00 2.475836675652574037e-01 1.433390390649970803e-03
4.356528641879533481e+00 2.473318441300570991e-01 7.190652709672470813e-04
5.011861060312043925e+00 2.543889958372410609e-01 1.013998248035445594e-03
5.621678218025456530e+00 2.509987726422787668e-01 7.175145702737713901e-04
6.141008948313603888e+00 2.484372956715051595e-01 1.278513169253685938e-03
6.662293507872459664e+00 2.503005081861207071e-01 4.979396237867960654e-04
7.502532408715131496e+00 2.492561161128598601e-01 5.467973802541311506e-04
7.956407771074140101e+00 2.466657476651618053e-01 7.337773723883288506e-04
8.330743658055997258e+00 2.473245843696818824e-01 7.150711569200599114e-04
8.972460928862972196e+00 2.465868719161906919e-01 3.594911145504427847e-04
9.754024830273998248e+00 2.477511726225239130e-01 4.791206028660292132e-04
1.035504099159837743e+01 2.463981003219467836e-01 4.472088230405617476e-04
1.093121457181591261e+01 2.471680208229775910e-01 3.361020588390503465e-04
1.152394530593561228e+01 2.479002548656163152e-01 4.254481168328832488e-04
1.201580582567017963e+01 2.467698451051708042e-01 4.457451073874504357e-04
1.255815109205325086e+01 2.475440913435416612e-01 3.520364059376493958e-04
1.316182657350914198e+01 2.467354769624319488e-01 2.623898887769992878e-04
1.397532978267817683e+01 2.476986248670207669e-01 3.502418576413080117e-04
1.456261380555425511e+01 2.469669731148743663e-01 2.581422498734592137e-04
1.536119393589491544e+01 2.470492888887826366e-01 2.231649285417982534e-04
1.633307175983555837e+01 2.473867369491118129e-01 2.252645696920582881e-04
1.685359370128142231e+01 2.470369093408438521e-01 3.054144159394915625e-04
1.721609092525146778e+01 2.428335457276927511e-01 3.639647780166615533e-04
1.759924253451724496e+01 2.474741855482139041e-01 2.734385611213826280e-04
1.811838413362935185e+01 2.460914262185252555e-01 2.666122133884629339e-04
1.859453040980927341e+01 2.473935482701058730e-01 2.509191399710093391e-04
1.910358254931370325e+01 2.460626134228866280e-01 2.353771392091630159e-04
1.956913823988854162e+01 2.464481496759181878e-01 2.628902001899859520e-04
