# r	vx_0	vx_1	vx_2	vx_3	vx_4	
2.030139220299999714e+00 -2.380375000007006747e-02 2.259826999999177133e-01 -2.130119999981161527e-02 -1.415101000000049680e-01 -3.051054993000000195e+02
3.030139220299999714e+00 -2.929684999980963767e-02 1.315309999995406542e-02 -1.751714999988962518e-02 -2.089843500001506982e-01 -3.049619750999999042e+02
4.030139220299998826e+00 -2.429199999960474088e-02 6.713999996463826392e-04 -1.702880000016193662e-02 -3.295899999557150295e-03 -3.048638534000002096e+02
5.030139220299998826e+00 -2.880864999997356790e-02 -9.155250000276282663e-03 -1.766969999994216778e-02 2.319400000033056131e-03 -3.048385009999999511e+02
6.030139220299998826e+00 -2.465819999997620471e-02 -1.000980000026174821e-02 -2.435299999979179120e-02 1.037600000017846469e-03 -3.043155212999998867e+02
7.030139220299998826e+00 -2.230830000007699709e-02 -5.828850000398233533e-03 -2.465819999952145736e-02 6.408500000816275133e-04 -3.031318130500001189e+02
8.030139220299998826e+00 -2.081300000008923234e-02 -2.502449999610689702e-03 -2.850340000031792442e-02 6.988550000187387923e-03 -3.031511536499997419e+02
9.030139220299998826e+00 -2.734370000052877003e-02 1.403800000025512418e-02 -3.704829999969661003e-02 1.232909999998810235e-02 -3.040976409499999136e+02
1.003013922029999883e+01 -9.631354999964969466e-02 3.340149000000565138e-01 -2.651969999988068594e-02 5.981400000109715620e-03 -3.034617309750002505e+02
1.103013922029999883e+01 -1.279449300001033407e+00 1.478942800000368152e+00 -1.562500000000000000e-02 -2.685599999495025259e-03 -3.026426848499997959e+02
1.203013922029999883e+01 -1.181121849999726692e+00 1.170105000000603468e+00 -1.797489999989920761e-02 -7.171599999765021494e-03 -3.026583328000006077e+02
1.303013922029999705e+01 -2.529899999990448123e-02 9.764999995240941644e-04 -1.751700000022538006e-02 -2.136249999239225872e-03 -3.025350113500007865e+02
1.403013922029999705e+01 -2.337650000117719173e-02 -3.662099999928614125e-03 -1.928709999992861412e-02 3.052000010939082131e-04 -3.014699860000009721e+02
1.503013922029999705e+01 8.055113999998866348e-01 -7.019000000582309440e-03 -2.032469999903696589e-02 -2.685600000404519960e-03 -3.023316345000002912e+02
1.603013922029999705e+01 1.031494000008024159e-01 -9.826649999922665302e-03 -1.147459999992861412e-02 -9.155250000731030013e-03 -3.024078369499993642e+02
1.703013922029999705e+01 -2.865605000079085585e-02 -7.629399999132147059e-03 -5.859350000719132368e-03 -1.800539999931061175e-02 -3.035809631500005707e+02
1.803013922029999705e+01 -2.166750000014872057e-02 -1.342699999440810643e-03 -1.333620000059454469e-02 -8.300799999233277049e-03 -3.039558486999999332e+02
1.903013922029999705e+01 -1.562500000000000000e-02 -1.068119999945338350e-02 -9.338399999251123518e-03 -2.303467000010641641e-01 -3.040113219999993817e+02
2.003013922029999705e+01 -9.368999999423976988e-03 3.177184999985911418e-01 -1.736444999914965592e-02 1.838378999991618912e-01 -3.046076812999990580e+02
2.103013922029999705e+01 -1.449585000045772176e-02 1.210998499998822808e+00 -9.595031999988350435e-01 9.175109999987398623e-01 -3.055700148999990233e+02
2.203013922029999705e+01 -1.202389999889419414e-02 1.201141400000778958e+00 -1.224151599999458995e+00 1.179016049998608651e+00 -3.067460021499991853e+02
2.303013922029999705e+01 -5.981500002235407010e-03 1.416015700000571087e+00 -1.446045000000594882e+00 1.413696400002663722e+00 -3.079893342000023040e+02
2.403013922029999705e+01 -3.561299666671402520e-01 1.848805716666902299e+00 -1.880503283333951003e+00 1.853312133331769473e+00 -3.080371398999977828e+02
2.503013922029999350e+01 -5.752868833315005759e-01 1.428106669999806400e+00 -1.453100620000668641e+00 2.471344050001789583e+00 -3.069088592500011146e+02
2.603013922029999350e+01 -2.136249999239225872e-03 -9.033150001414469443e-03 -2.099614999860932585e-02 1.437609859999838591e+00 -3.049394485100003749e+02
2.703013922029999350e+01 -2.990699998917989433e-03 -2.099610000004759058e-02 -2.734369999961927533e-02 -7.229615000142075587e-02 -3.026136855999984618e+02
2.803013922029999350e+01 -1.199344999986351468e-02 -1.403804999972635414e-02 -2.230840000083844643e-02 -1.953429999994114041e-01 -3.027759857000000920e+02
2.903013922029999350e+01 -6.500200001028133556e-03 -1.983644999745592941e-02 -1.281735000156913884e-02 8.443602999996073777e-01 -3.032470194666657335e+02
3.003013922029999350e+01 -8.139953999980207300e-01 -1.113890000124229118e-02 -1.586909999969066121e-02 9.041747999999643071e-01 -3.035755004499997085e+02
3.103013922029999350e+01 -1.115111500021157553e-01 -1.568609999958425760e-02 -1.599119999809772708e-02 1.078185999976994935e-01 -3.036028289999994740e+02
