# hist	edges	error
1.167873065015479633e-02 8.450704225352112520e-02 6.742718284660004745e-03
3.114328173374612471e-02 1.101947654305278357e-01 1.101081285116751150e-02
1.673951393188855830e-01 1.358824886075345462e-01 2.552751942675723223e-02
5.333286996904024191e-01 1.615702117845412289e-01 4.556534586606179882e-02
1.027728297213621911e+00 1.872579349615479394e-01 6.325230421283775661e-02
1.880275634674924090e+00 2.129456581385546499e-01 8.555550378831533465e-02
3.055934520123834819e+00 2.386333813155613326e-01 1.090709801689344477e-01
4.391202724458207918e+00 2.643211044925680708e-01 1.307461584511164787e-01
5.010175448916412755e+00 2.900088276695747536e-01 1.396573062630012962e-01
5.376109009287918461e+00 3.156965508465814363e-01 1.446675834057098986e-01
5.045211640866877012e+00 3.413842740235881745e-01 1.401447678018576948e-01
4.247165046439631553e+00 3.670719972005948573e-01 1.285839500146638281e-01
3.410189349845196727e+00 3.927597203776015400e-01 1.152196205555120340e-01
1.962026749226007727e+00 4.184474435546082782e-01 8.739561761058994849e-02
1.362518575851391356e+00 4.441351667316149610e-01 7.282968134215812850e-02
7.474387616099077425e-01 4.698228899086216992e-01 5.394174627728010041e-02
4.165413931888539145e-01 4.955106130856283819e-01 4.026857639935818578e-02
1.673951393188852221e-01 5.211983362626351202e-01 2.552751942675717672e-02
3.892910216718278166e-02 5.468860594396418584e-01 1.231046301136945464e-02
2.725037151702782573e-02 5.725737826166484856e-01 1.029967230973907744e-02
1.167873065015483450e-02 5.982615057936552239e-01 6.742718284660027296e-03
3.892910216718261252e-03 6.239492289706618511e-01 3.892910216718261252e-03
3.892910216718261252e-03 6.496369521476685893e-01 3.892910216718261252e-03
