# r	stdNi	stdCo	stdCr
5.401413538637956435e+01 5.239885541645955200e-03 2.831460293359406698e-03 2.947010903872204855e-03
3.600942359091970957e+01 7.852160008851664583e-03 5.753271454966213047e-03 4.320542797406901059e-03
2.700706769318978218e+01 1.492711996240779666e-02 9.915311275013690209e-03 8.515759968805512725e-03
2.160565415455182503e+01 2.204638380389331229e-02 1.541028326513586323e-02 1.161101607462135255e-02
1.800471179545985478e+01 2.938094870100332878e-02 2.043962154660087377e-02 1.553533657444564932e-02
1.543261011039416175e+01 3.744199898417615441e-02 2.577942767307254621e-02 2.029629058042622253e-02
1.350353384659489109e+01 4.653783406594896171e-02 3.185670398864214742e-02 2.510873824969662993e-02
1.200314119697323711e+01 5.637861962457014348e-02 3.806524682541626015e-02 3.117773620661101752e-02
1.080282707727591252e+01 6.812967531125650733e-02 4.609752947488512248e-02 3.756342707759628002e-02
9.820751888432647903e+00 8.120196601584303564e-02 5.407122131675023979e-02 4.485985084524032884e-02
8.309866982519933387e+00 1.095616622125128170e-01 7.158816519086307062e-02 6.039543644237534842e-02
7.716305055197080875e+00 1.231381846744795533e-01 7.829733042353360928e-02 6.885200896175130980e-02
6.751766923297445544e+00 1.465062992167960321e-01 9.611433593881396620e-02 8.461353763115608828e-02
6.001570598486618557e+00 1.699700369801847855e-01 1.121482395845347368e-01 1.036838143913839522e-01
5.401413538637956258e+00 1.904467831861264282e-01 1.325945860452055480e-01 1.181976556717588278e-01
4.696881337946049229e+00 2.166630156496505699e-01 1.520854686479392870e-01 1.415353033094859381e-01
4.154933491259966694e+00 2.465636033603363919e-01 1.794732305483874579e-01 1.652100243456976203e-01
3.725112785267556070e+00 2.733318114716936087e-01 2.001959091017160020e-01 1.851935793059280577e-01
3.375883461648722772e+00 3.334873533056610384e-01 2.776664798696628633e-01 2.638180840098292013e-01
3.000785299243309279e+00 3.744029156001279501e-01 3.359569423745096817e-01 3.306732738568539109e-01
