# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	
2.030139220299999714e+00 5.407748108499999944e+02 5.407771606500000416e+02 5.407618407999999590e+02 5.407661438000000089e+02 5.407510070999999243e+02 5.409739990000000489e+02 5.409573363999999174e+02 5.409626465999998572e+02 5.409769897999998420e+02 5.409596557999998367e+02 5.409539796000000251e+02 5.409719850000000179e+02 5.409556886000000304e+02 5.408123474500000611e+02 5.409386597999999822e+02 5.409353028000000450e+02 5.408141785000000255e+02 5.408058166499999970e+02 5.408161621499998546e+02 5.408151550999999699e+02
3.030139220299999714e+00 5.405266418499998053e+02 5.405303039499999613e+02 5.405141601499998387e+02 5.405171508999999332e+02 5.404973449999999957e+02 5.405031738499999392e+02 5.404941406499999630e+02 5.405003357499999765e+02 5.405104980999999498e+02 5.404991760499999600e+02 5.413316650999998956e+02 5.405001525999998648e+02 5.404929809500000601e+02 5.402766723999998248e+02 5.413176270000000159e+02 5.404735107499999458e+02 5.402839965999999094e+02 5.402689818999999716e+02 5.402919922000000952e+02 5.402813109999999597e+02
4.030139220299998826e+00 5.407719726999998784e+02 5.407680054000002201e+02 5.407526855999999498e+02 5.407556762999997773e+02 5.407476807000002736e+02 5.407493286000001262e+02 5.407353516000000582e+02 5.407420044000000416e+02 5.407483520999999200e+02 5.407463379000000714e+02 5.419998474000001352e+02 5.407336425999997118e+02 5.407313232999997581e+02 5.407203368999998929e+02 5.419833068999998886e+02 5.407216796999998678e+02 5.407280274000002009e+02 5.407123413000001619e+02 5.407253418000000238e+02 5.407246703999999227e+02
5.030139220299998826e+00 5.413759766000000582e+02 5.402390136499998334e+02 5.413546753000000535e+02 5.413516540499999792e+02 5.413471679500000846e+02 5.413451537999999346e+02 5.413298339999998916e+02 5.413451843499999541e+02 5.413380126999998083e+02 5.413396301499999481e+02 5.417321776999997383e+02 5.402001648000000387e+02 5.413203429999998662e+02 5.413246764999998959e+02 5.417089843999999630e+02 5.413259888000000046e+02 5.413226623999998992e+02 5.413138427999997475e+02 5.413196716499999184e+02 5.413198242500000106e+02
6.030139220299998826e+00 5.414393310999998903e+02 5.405336913999999524e+02 5.414249877999995988e+02 5.414226685000003272e+02 5.414146728999999141e+02 5.414169922000000952e+02 5.413946532999998453e+02 5.414083252000000357e+02 5.414046630999996523e+02 5.414006347999998070e+02 5.413953246999999465e+02 5.404923705999999584e+02 5.413803100999998605e+02 5.413943481999999676e+02 5.413776855999999498e+02 5.413836670000000595e+02 5.413813476999998784e+02 5.413706664999999703e+02 5.413803100999998605e+02 5.411546630999998797e+02
7.030139220299998826e+00 5.408453064000000268e+02 5.408371581999999762e+02 5.408369751000000178e+02 5.408385009499997977e+02 5.408229980999999498e+02 5.408233338000000003e+02 5.408066711999999825e+02 5.408074951500000225e+02 5.408171692499995515e+02 5.408088073999997505e+02 5.408088379000000714e+02 5.407968445000001338e+02 5.407925110500000301e+02 5.407936707000001206e+02 5.407883300999997118e+02 5.407906494500000463e+02 5.407931519000001117e+02 5.410953369500000463e+02 5.407926635499998156e+02 5.406653442999995605e+02
8.030139220299998826e+00 5.405279846499997802e+02 5.405164795000000595e+02 5.405281677500001933e+02 5.405186767999998665e+02 5.405071716499996910e+02 5.405115051500001755e+02 5.404890137000002142e+02 5.404998169499995129e+02 5.405046692000000803e+02 5.404869690499995158e+02 5.405000000000000000e+02 5.404793396499994742e+02 5.404761657999997624e+02 5.404744873499998903e+02 5.404821472500002528e+02 5.404791565000000446e+02 5.404831543499999498e+02 5.417089844000001904e+02 5.404706421500000033e+02 5.404724731500000416e+02
9.030139220299998826e+00 5.411206664999999703e+02 5.411049805000002380e+02 5.411110230000003867e+02 5.411096802000001844e+02 5.410933227999994415e+02 5.411073607999996966e+02 5.410880127000000357e+02 5.411022948999998334e+02 5.411073607999996966e+02 5.410839844000001904e+02 5.410956421000000773e+02 5.410743407999998453e+02 5.410703125000000000e+02 5.410806885000001785e+02 5.410843506000001071e+02 5.410749512000002142e+02 5.410826415999999881e+02 5.419939880500000982e+02 5.410689696999997977e+02 5.410713501000000178e+02
1.003013922029999883e+01 5.415233154999996259e+02 5.415123290999999881e+02 5.415153197999998156e+02 5.414478455000003123e+02 5.414270019499999762e+02 5.415166626000000178e+02 5.414986572999996497e+02 5.415070190999995248e+02 5.417610168500000327e+02 5.414973145000003569e+02 5.417533265000001848e+02 5.414154662999999346e+02 5.417344971500001520e+02 5.417408446999997977e+02 5.417369994999999108e+02 5.417248230000000149e+02 5.417404785500002617e+02 5.417294922500000212e+02 5.417216492500001550e+02 5.417171631000001071e+02
1.103013922029999883e+01 5.422104797000001781e+02 5.422056580500002383e+02 5.422195129500000803e+02 5.409420165999999881e+02 5.409310303999991447e+02 5.421963195999996969e+02 5.421933289499997954e+02 5.421904908000001342e+02 5.424099731999995129e+02 5.420660807666669143e+02 5.424056397000003926e+02 5.409276733999995486e+02 5.423943481999995129e+02 5.423900147000003926e+02 5.423833617999998751e+02 5.423716431000002558e+02 5.423916626000000178e+02 5.423793335000000297e+02 5.423676758000001428e+02 5.423659668000000238e+02
1.203013922029999883e+01 5.427634887999993225e+02 5.427613220499997624e+02 5.427641601499999524e+02 5.415868225499998516e+02 5.415823669499995958e+02 5.427396545999999944e+02 5.427393493999998100e+02 5.427348022999999557e+02 5.427524719500001993e+02 5.427420349499998338e+02 5.427414856499999587e+02 5.415761719000001904e+02 5.427344970500003001e+02 5.427265015000002677e+02 5.427256775000005291e+02 5.427151795000004313e+02 5.427273254500005351e+02 5.427188415499995244e+02 5.427084961499999736e+02 5.427123108000005232e+02
1.303013922029999705e+01 5.421363220000002912e+02 5.421374816999996256e+02 5.421211548499995843e+02 5.416779785500002617e+02 5.420666911333337339e+02 5.421091613999997207e+02 5.420968322999997326e+02 5.420979919999999765e+02 5.421119994999999108e+02 5.421040344000002733e+02 5.421028442000006180e+02 5.420983276999995724e+02 5.420944824999996854e+02 5.420868530499992630e+02 5.420826721000003090e+02 5.420813599499997508e+02 5.420923462500004462e+02 5.420930176499996378e+02 5.420726317999997264e+02 5.420729980500000238e+02
1.403013922029999705e+01 5.416153565000004164e+02 5.416136475000002974e+02 5.415926514000002499e+02 5.417663269499998933e+02 5.416679382499996791e+02 5.415853272000003926e+02 5.415816651000004640e+02 5.415856934000003093e+02 5.415883178999993106e+02 5.415796508999992511e+02 5.415863647999995010e+02 5.415843506000001071e+02 5.415690307999993820e+02 5.415590209999991202e+02 5.415636596999993344e+02 5.415620116999998572e+02 5.415693360000004759e+02 5.415776977999994415e+02 5.415503540000008798e+02 5.415496825999998691e+02
1.503013922029999705e+01 5.412231750999999349e+02 5.420363159000007727e+02 5.420150145999996312e+02 5.420186768000003212e+02 5.420286864999998215e+02 5.420113524999997026e+02 5.420170288000008441e+02 5.420206909000007727e+02 5.420216674999992392e+02 5.420100098000002617e+02 5.420223389000002499e+02 5.420113524999997026e+02 5.420013428000002023e+02 5.419923096000002261e+02 5.419973145999992994e+02 5.419926758000001428e+02 5.419986571999997977e+02 5.420096436000003450e+02 5.419803467999990971e+02 5.417776794999999765e+02
1.603013922029999705e+01 5.413843383999992511e+02 5.414941406499992809e+02 5.414816283999998632e+02 5.414871521499999290e+02 5.414874878000000535e+02 5.414671936499998992e+02 5.414813537499994709e+02 5.414736633499996969e+02 5.414776611500001309e+02 5.414633483999996315e+02 5.414758301000001666e+02 5.414689941500000714e+02 5.414661865500002023e+02 5.414543151999996553e+02 5.414598389000002499e+02 5.414518432999993820e+02 5.414570312999994712e+02 5.414646606499991321e+02 5.414486694500001249e+02 5.413116454999999405e+02
1.703013922029999705e+01 5.420578003500004343e+02 5.420328369500002736e+02 5.420245056499998100e+02 5.420333252500004164e+02 5.420291442999996434e+02 5.420149841499996910e+02 5.420236816499991619e+02 5.420239868499993463e+02 5.420215149000005113e+02 5.420086975499998516e+02 5.420151978000003510e+02 5.420148315500000535e+02 5.420156555499997921e+02 5.419998474499998338e+02 5.419963378999991619e+02 5.419890136499998334e+02 5.419976501500004815e+02 5.419921569999996791e+02 5.419945068500001071e+02 5.419848327499994411e+02
1.803013922029999705e+01 5.417571716499996910e+02 5.417371520999995482e+02 5.417401734000004581e+02 5.417451477000004161e+02 5.417355041499995423e+02 5.417286681999994471e+02 5.417350158999997802e+02 5.417271729000003688e+02 5.417341614500001015e+02 5.417180176499996378e+02 5.417251892500007671e+02 5.417201538499994058e+02 5.417208252499995069e+02 5.417153320500001428e+02 5.417038269499998933e+02 5.416934814499991262e+02 5.417125244500002736e+02 5.417043456999999762e+02 5.417099915500002680e+02 5.416940003500003513e+02
1.903013922029999705e+01 5.414099731999995129e+02 5.414030151000006299e+02 5.413943481999995129e+02 5.414006957999990846e+02 5.413943482000013319e+02 5.413823241999998572e+02 5.413850098000002617e+02 5.413839721999993344e+02 5.413836670000000595e+02 5.413820190999995248e+02 5.413906860000006418e+02 5.413753661999999167e+02 5.413743286000008084e+02 5.413699950999998691e+02 5.413606567999995605e+02 5.413489989999998215e+02 5.411439818999997442e+02 5.413623657000007370e+02 5.411446838999991087e+02 5.411313172000000122e+02
2.003013922029999705e+01 5.408438416500002859e+02 5.408396607000004224e+02 5.408336792500003867e+02 5.411571655499992630e+02 5.408344726499999524e+02 5.408219909500003268e+02 5.408230285999998159e+02 5.408136596999993344e+02 5.411521911499994530e+02 5.408151551000000836e+02 5.412191365999993877e+02 5.408166809499998635e+02 5.411348267000003034e+02 5.411164856000004875e+02 5.408049927500005651e+02 5.407883301000001666e+02 5.413186645999994653e+02 5.408171387000002142e+02 5.406779784999998810e+02 5.406660155999998096e+02
2.103013922029999705e+01 5.405281677500006481e+02 5.405243530500010820e+02 5.405191955999998754e+02 5.407846680000002380e+02 5.405136719000001904e+02 5.404946594000002733e+02 5.405046691999996256e+02 5.405004882999992333e+02 5.417246703999990132e+02 5.404950256499996613e+02 5.419317627000000357e+02 5.405023498999998992e+02 5.407651672000001781e+02 5.416966552999983833e+02 5.404798279000006005e+02 5.404773254999990968e+02 5.416826781999989180e+02 5.404926757999992333e+02 5.404830017500007671e+02 5.404706421000000773e+02
2.203013922029999705e+01 5.411160277999988466e+02 5.411076659999998810e+02 5.411149901999997383e+02 5.411066895000003569e+02 5.411040038999999524e+02 5.418141072666670652e+02 5.410939940999996907e+02 5.418185425333334706e+02 5.423051453000007314e+02 5.410877074999989418e+02 5.422973327999989124e+02 5.410896605999987514e+02 5.410809937000012724e+02 5.419796753000009630e+02 5.410753173999983119e+02 5.410723266999993939e+02 5.422600097499998810e+02 5.419406585749993610e+02 5.410706787000017357e+02 5.410666504000000714e+02
