# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	
2.030139220299999714e+00 1.624778230000003968e-03 1.431279999997059355e-06 -2.559967100000051115e-04 2.528961300000048601e-04 6.347599999969588350e-07 -1.632700000016029624e-07 -4.223479999999995009e-05 -3.134159999990515509e-06 -2.082672000000059128e-04 2.037323000000014917e-04 2.667220000000725249e-06 -2.094665399999996616e-04 2.067352199999959413e-04 1.663220000000365005e-06 -2.095306400000026821e-04 -1.934819999996762015e-06 2.050689600000055244e-04 -2.086669800000095121e-04 2.092651400000079343e-04
3.030139220299999714e+00 1.329295339999998727e-03 9.338400000160618652e-07 -2.653045000000702299e-05 2.366181000001006448e-05 1.400739999996858389e-06 1.269539999987046032e-06 -6.652799999926628804e-07 -3.268440000010741817e-06 -2.470092999999451259e-05 2.090149000001133569e-05 1.864639999985229174e-06 -2.559662999999545678e-05 2.373199000000454528e-05 2.130139999985658450e-06 -2.673187999998276722e-05 -1.898200000005090341e-06 2.216950000000110632e-05 -2.286987000000522175e-05 2.340087000001176304e-05
4.030139220299998826e+00 1.331895450000024480e-03 -2.096540000002278100e-06 1.800539999987904583e-06 -1.934839999978521712e-06 -1.303080000013778836e-06 1.168819999986681102e-06 -9.338499999785199469e-07 -6.652900000062800581e-07 -2.232350000008409662e-06 -3.636169999992944250e-06 4.202270000001817734e-06 -2.635200000003124055e-06 1.358200000026954520e-07 2.864069999998264267e-06 -4.434200000002874659e-06 -1.567079999995257754e-06 3.036399999928107925e-07 -2.233880000005683369e-06 1.130670000009104174e-06
5.030139220299998826e+00 1.368164070000011702e-03 -3.930660000014541088e-06 2.397150000024339487e-06 -2.029420000008030849e-06 -9.368900000026769620e-07 1.327499999888459468e-07 -1.100159999987226981e-06 1.170349999983955020e-06 -3.633109999987027537e-06 -2.470399999992878245e-06 3.036500000007436168e-06 -2.767950000020391795e-06 1.332090000005337008e-06 1.069649999999455781e-06 -2.836610000008477040e-06 -2.465829999982815976e-06 5.340599999954064931e-07 -1.667780000002494534e-06 -3.356999999368781337e-08
6.030139220299998826e+00 1.194704904000008089e-03 -5.230729999993854922e-06 2.697760000000926215e-06 -7.980400000178633602e-07 -1.269520000005286334e-06 1.766960000009021259e-06 -2.166739999984201762e-06 -3.631700000141791087e-07 -1.434319999998479042e-06 -3.002930000002379379e-06 -1.297000000022307970e-07 -4.028299999845330341e-07 1.400759999978618087e-06 5.355799999961163362e-07 -5.035399999997025536e-07 -3.533940000011171093e-06 -8.987399999796252706e-07 3.357000002779386631e-08 -8.010900000272158919e-07
7.030139220299998826e+00 9.394988999999895557e-04 -5.596930000001520554e-06 1.797489999989920821e-06 -3.648369999973510843e-06 1.313789999994696687e-06 1.667780000025231863e-06 -1.133740000022953626e-06 -5.310100000087913963e-07 -1.232899999990877331e-06 -4.969789999995555176e-06 2.435299999979179297e-06 -2.014099999996687852e-07 -1.632689999996728114e-06 2.700800000025083230e-06 -1.235960000008162709e-06 -2.833559999999124614e-06 -1.364130000024488331e-06 3.005999999686537244e-07 -8.346599999640602705e-07
8.030139220299998826e+00 5.019317520000016056e-04 -2.532960000007733296e-06 2.600100000017846451e-06 7.838440000000445999e-05 -8.272093999999015292e-05 1.870719999988068547e-06 -7.324199999857228261e-07 -2.600100000017846451e-06 1.199339999948279048e-06 -5.068959999971411621e-06 2.069080000001122421e-06 1.132200000029115421e-06 -3.131100000064179659e-06 3.463740000006510102e-06 -8.667000000059488168e-07 -3.335559999959514411e-06 -1.864620000014838353e-06 8.026000000427302185e-07 1.062019999972108135e-06
9.030139220299998826e+00 1.212677200000143783e-04 -1.133740000022953626e-06 1.357999999981984784e-07 -7.926426666671204996e-06 5.788666666666131428e-06 3.036600000086764305e-07 -4.333400000177789448e-07 -2.536030000010214296e-06 5.676400000538705735e-07 -2.767960000028324535e-06 1.301589999957286561e-06 6.347700000333134475e-07 -3.266919999987294222e-06 2.499390000002676931e-06 -1.635750000014013491e-06 -1.699819999976170988e-06 -1.498410000021976887e-06 3.661999999167164750e-08 2.127079999991110613e-06
1.003013922029999883e+01 4.456733700000540871e-04 -5.523649999986446248e-07 -1.557807850000244860e-04 1.853332000000591461e-05 1.371986350000270309e-04 1.198579999982030120e-06 -1.483920000009675250e-06 -2.983849999964149993e-06 -4.158100000267950029e-07 -8.651699999745687994e-07 9.139949999962481995e-07 -5.353062333330740544e-05 5.339787333331855607e-05 -1.992011999999931623e-04 1.956207299999732584e-04 -1.992813099999693710e-04 1.972961399999803751e-04 -1.985672000000249758e-04 1.993850750000319852e-04
1.103013922029999883e+01 8.011703500000294216e-04 -1.698310000028868754e-06 -4.187815199999931660e-04 1.147471099999165692e-04 3.042999200000849657e-04 2.746000000115600382e-08 3.356999991410702980e-08 -1.995839999881354676e-06 -2.297980000093957700e-06 -6.347599999116937456e-07 1.467889999912586091e-06 -1.673879999952987399e-06 3.334029999950871405e-06 -3.609329199999592504e-04 3.559723100000155931e-04 -3.594986100000369523e-04 3.585586599999714824e-04 -3.587295599999834107e-04 3.563690200000110223e-04
