# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	
2.030139220299999714e+00 4.699600000094506188e-07 -3.063970000016525010e-06 8.606000000099811883e-07 -3.027340000016920385e-06 4.459838000002491808e-05 -3.332520000026306711e-06 1.062039999987973614e-06 2.868639999996958083e-06 -3.466800000001057938e-06 -1.135239999962323121e-06 3.601079999998546494e-06 -3.259279999997488706e-06 -2.866822999999385372e-05 2.526246999998420662e-05 -6.713999999874432032e-07 -2.422486000000389941e-05 -1.672370000005685165e-06 2.069099999971513242e-06 -2.014099999769314298e-07
3.030139220299999714e+00 7.324200000311975898e-07 -3.228760000024522095e-06 5.981500000189044446e-07 -3.961179999987507698e-06 1.165769999988697340e-06 -1.806639999995240982e-06 1.239020000002710757e-06 2.032469999994645946e-06 -2.264409999997951595e-06 1.664978099999871023e-04 -1.663025000000061416e-04 -1.434329999960937123e-06 -4.326171000004706135e-05 2.081909200000381984e-04 -1.688232500000140101e-04 -3.790283000000727205e-05 -3.002939999987574789e-06 4.602060000024721620e-06 -2.136240000027101054e-06
4.030139220299998826e+00 -7.934599999316560474e-07 -3.063960000054066929e-06 5.981399999654968354e-07 -1.599119999900722221e-06 3.295799999705195647e-07 -2.795400000013614735e-06 1.330559999996694425e-06 1.269539999975677367e-06 -4.028399999697284977e-07 2.507019000000127590e-04 -2.532409600000846430e-04 -4.638599999907455554e-07 -2.197279999973034275e-06 2.525939999999991608e-04 -2.523254400000041718e-04 1.269540000066626895e-06 -3.137220000007801098e-06 2.600099999972371793e-06 -1.342800000202259907e-07
5.030139220299998826e+00 -2.273925900000449483e-04 2.231323300000440189e-04 -6.042500000148720731e-07 -8.972199999789154275e-07 -4.028300000300077978e-07 -3.063960000008591847e-06 3.070070000012492533e-06 -1.434330000029149322e-06 3.234900000279594924e-07 7.850950999995802621e-05 -3.064025799999398926e-04 2.240356399999654914e-04 8.667000000059488168e-07 7.686158000001342523e-05 -7.659911999999167661e-05 -6.652800000210845415e-07 -1.763920000030338902e-06 1.165770000034171998e-06 3.052000001844134787e-08
6.030139220299998826e+00 -1.811279399999875727e-04 1.782592799999292775e-04 -4.638599998543213702e-07 -1.599120000082621065e-06 4.638600000362203192e-07 -4.467780000049969969e-06 2.734380000038072335e-06 -7.324200000766722477e-07 -8.056599999690660682e-07 -1.062019999972108135e-06 -1.805908199999976219e-04 1.775878999999804312e-04 2.807620000021415683e-06 -3.332520000003569383e-06 1.196280000021943198e-06 -4.638600000362203192e-07 -2.136239999981625973e-06 1.928719999978056740e-06 -4.512939999999616660e-05
7.030139220299998826e+00 -1.629640000010113017e-06 -3.661999999167164750e-08 3.051699999559787173e-07 -3.100569999969593664e-06 6.714000001011299536e-08 -3.332520000003569383e-06 1.647900000079971377e-07 1.934819999905812276e-06 -1.672369999960210507e-06 6.100000064179766678e-09 -2.398679999987507412e-06 -8.666900000207534062e-07 2.319300000181101596e-07 -1.068120000081762514e-06 4.638700000668904935e-07 5.004900000130874567e-07 6.043700999998691324e-05 -6.053468000004613985e-05 -2.546385000005102372e-05
8.030139220299998826e+00 -2.301029999944148400e-06 2.337650000026769601e-06 -1.898190000065369588e-06 -2.301030000035098139e-06 8.667000000968983443e-07 -4.498289999992266511e-06 2.160649999859743005e-06 9.704500001134875500e-07 -3.540030000112892520e-06 2.606190000096830973e-06 -4.132070000105159374e-06 -6.347699999423639200e-07 -3.356899999744200387e-07 1.531980000072508122e-06 -5.981500000416417735e-07 7.995699999810312851e-07 2.451660100000481023e-04 -2.476684500000373833e-04 3.662000000076659495e-07
9.030139220299998826e+00 -3.137199999946460537e-06 1.208500000029744146e-06 -2.685600000404519815e-07 -3.271480000148585477e-06 2.807600000051024862e-06 -3.869619999932183046e-06 2.856439999959547957e-06 1.013179999972635513e-06 -4.675279999901249749e-06 2.331539999977394681e-06 -4.260260000046400736e-06 -8.056599999690660682e-07 2.075200000035692751e-06 7.324199999857228261e-07 -1.879879999978584330e-06 1.538079999954789000e-06 1.822692900000220018e-04 -1.850036700000600885e-04 4.760800000440212672e-07
1.003013922029999883e+01 -2.197279999927559194e-06 5.981399999654968354e-07 -1.349485999990065396e-05 -4.168710000067221657e-06 1.793213000000832739e-05 -3.601060000073630331e-06 1.672359999975014885e-06 5.079955000010158688e-05 -5.274046999993515681e-05 5.120239999996556597e-05 -6.757204000005003484e-05 6.380617000004349380e-05 1.269509999929141396e-06 -7.690399999773945001e-07 -2.435299999979179297e-06 3.131110000049375070e-06 -2.197260000048118112e-06 -1.568599999973230269e-06 -8.972300000095856019e-07
1.103013922029999883e+01 -9.643299999879672683e-07 2.770979999968403661e-06 -2.554992700000184515e-04 -2.197240000168676606e-06 2.530578400001104304e-04 -5.981299999803013188e-07 -5.676299999322509776e-07 4.389647999987573778e-05 -6.877848666651971681e-05 6.791178666669565943e-05 -2.955932600001688290e-04 2.933349599999928782e-04 -8.666999998240498679e-07 -1.330580000103509432e-06 -2.343739999923855068e-06 4.003899999952409354e-06 -2.465819999997620566e-06 -2.331539999977394681e-06 -3.418000000237952765e-07
1.203013922029999883e+01 -4.333499999120249339e-07 5.676200000380049885e-07 -2.354675200000201488e-04 -8.911200000511598916e-07 2.314575300000797022e-04 -6.104000003688269574e-08 -9.094199999708507904e-07 3.533930000048713011e-06 -2.087400000073102878e-06 -1.098599999750149425e-07 -2.330627499999536612e-04 2.316650300000219558e-04 -1.599110000006476126e-06 -1.647999999477178906e-07 -2.099600000019563689e-06 2.429190000020753269e-06 -1.696780000202125015e-06 -2.069079999910172681e-06 7.629300001099182113e-07
1.303013922029999705e+01 2.319399998668814114e-07 -3.265370000008260818e-06 -8.863525999986450064e-05 7.774251666669442884e-05 8.494053333197371100e-06 -2.465819999997620566e-06 2.319400000487803604e-07 2.801499999986844929e-06 -1.593019999927491816e-06 -2.380399999310611856e-07 -9.033000002091285126e-07 -7.690399999773945001e-07 -1.525890000084473339e-06 -8.361899997908040101e-07 -2.624300001116352910e-07 2.197260000139067427e-06 1.342799998383270682e-07 -4.077169999982288673e-06 7.325000005948823310e-08
1.403013922029999705e+01 -3.418000000237952765e-07 -4.199220000009518199e-06 3.473510999992867937e-05 -1.967774000004283183e-05 -1.652220999985729510e-05 -7.324199999857228261e-07 8.056599999690660682e-07 5.248999998002545385e-07 -1.733400000011897634e-06 1.342780000049970031e-06 -4.028399998787790761e-07 -3.063960000145016244e-06 -2.001960000052349827e-06 9.277400000428315655e-07 -3.295999998954357811e-07 1.464860000123735528e-06 1.672359999793116042e-06 -5.468759999712347408e-06 -1.342800002021249397e-07
1.503013922029999705e+01 1.626281600001675497e-04 -4.260260000228299368e-06 7.324400001380127023e-07 2.001939999900059951e-06 -3.466800000023795267e-06 1.135260000228299853e-06 7.324199999857228261e-07 1.953199996933108149e-07 -2.331539999795495626e-06 2.465819999997620566e-06 -2.197280000109458249e-06 -2.001939999900059951e-06 -1.806639999995240982e-06 1.000999999814666892e-06 -9.277599998313235437e-07 1.196279999930993671e-06 2.197280000109458249e-06 -5.859360000249580719e-06 -4.053345999982412007e-05
