# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	
1.203013922029999883e+01 2.363993225000003804e+02 2.401091689999998380e+02 2.401200027499999123e+02 2.389380036000002292e+02 2.389325027999998383e+02 2.401166763500000343e+02 2.401128311500001473e+02 2.401186600500000168e+02 2.401001740000001519e+02 2.400939941999999974e+02 2.400835037500000908e+02 2.400996703999999227e+02 2.400811615500001608e+02 2.401029969000001074e+02 2.389229889000002913e+02 2.400806655999999748e+02 2.388991776000002574e+02 2.400731582499997785e+02 2.388975067000001218e+02 2.400690002999999706e+02
1.303013922029999705e+01 2.359809875999999349e+02 2.395984954999998990e+02 2.396139908499999365e+02 2.396018372000003183e+02 2.395928421499997967e+02 2.396006698999999571e+02 2.396003418499999498e+02 2.396080094000003555e+02 2.395958252499999617e+02 2.395924912000000404e+02 2.395755081500001324e+02 2.395844879500000388e+02 2.395691681000002973e+02 2.395845031999997445e+02 2.394459190749998925e+02 2.395663376000002245e+02 2.395606689500000357e+02 2.395610046500000863e+02 2.395493392999997013e+02 2.395573348999996597e+02
1.403013922029999705e+01 2.364674835000000712e+02 2.401510010000001785e+02 2.401599883999997473e+02 2.401466827000003832e+02 2.401529999000003954e+02 2.401483306999998604e+02 2.401360168999999587e+02 2.401530150999997204e+02 2.401413269000004220e+02 2.401339873999995689e+02 2.401236724999998842e+02 2.401316527999997561e+02 2.401206818000000567e+02 2.401323547000001781e+02 2.401289978000004339e+02 2.401163329999999405e+02 2.401166686999995363e+02 2.401216887999999017e+02 2.400903472999998485e+02 2.400993347000003268e+02
1.503013922029999705e+01 2.359286575500000254e+02 2.404963226499999109e+02 2.397173156999997445e+02 2.397176818999996613e+02 2.404958267499996509e+02 2.397033386000002793e+02 2.397046813999995720e+02 2.397086792000000059e+02 2.397029876999995395e+02 2.397086486999996850e+02 2.396849976000003153e+02 2.396899872000003597e+02 2.396830139000003328e+02 2.396986846999998306e+02 2.396900024999995367e+02 2.396873322000001281e+02 2.396823272999999972e+02 2.396780091000000539e+02 2.396650238000001991e+02 2.396670075000001816e+02
1.603013922029999705e+01 2.361530151500001011e+02 2.403273163000003478e+02 2.402079849500000819e+02 2.390886841000001368e+02 2.403259888000002320e+02 2.401935043000003134e+02 2.390271861000001081e+02 2.390825195500001428e+02 2.401898193500001071e+02 2.390826569000000745e+02 2.401664962999998352e+02 2.401721496499999375e+02 2.390611877500000446e+02 2.401876830999999584e+02 2.390664901999998619e+02 2.390539856000000327e+02 2.390451507499997206e+02 2.401513519000000088e+02 2.390461883499997384e+02 2.390491638499997862e+02
1.703013922029999705e+01 2.359156800000000658e+02 2.397294922000000952e+02 2.397303237999999510e+02 2.384550171000000773e+02 2.397258224499996686e+02 2.397244949999999335e+02 2.384379883000001428e+02 2.384563446000001932e+02 2.391309865666662517e+02 2.384359893999999258e+02 2.391138967000000264e+02 2.396931534000000283e+02 2.384283599999998842e+02 2.397145157499999186e+02 2.384326629999995930e+02 2.384209899999996196e+02 2.384093169999996462e+02 2.390888926333333586e+02 2.384083557000003566e+02 2.384166564999995899e+02
1.803013922029999705e+01 2.353063431000000492e+02 2.384298171999998885e+02 2.384373169000000416e+02 2.372608999000000551e+02 2.384228210500000387e+02 2.381364441333334980e+02 2.372396596333334458e+02 2.378006744499998604e+02 2.377893295499998203e+02 2.377846603499997400e+02 2.377796783499998128e+02 2.381119843333332540e+02 2.377701798500002042e+02 2.381212311000002444e+02 2.377781601500000761e+02 2.372203318666667258e+02 2.377608261000000311e+02 2.377599869000000581e+02 2.372095642666663480e+02 2.377566605000001800e+02
1.903013922029999705e+01 2.347156830000003538e+02 2.373891677999999956e+02 2.373906707999999526e+02 2.361299896000000444e+02 2.373830032500000016e+02 2.371583405000001221e+02 2.361200103999999556e+02 2.371786498999999822e+02 2.371580047999996168e+02 2.371576691000000210e+02 2.371416626000000178e+02 2.371423340000001190e+02 2.371333160000003772e+02 2.371699828999999227e+02 2.371496735000000626e+02 2.360839996000004248e+02 2.371363373000003776e+02 2.371346740999997564e+02 2.356419271333334109e+02 2.371326751999995395e+02
2.003013922029999705e+01 2.352411651499996879e+02 2.367543334999991202e+02 2.367653350999999020e+02 2.358378219499995794e+02 2.367596587999996700e+02 2.367373505000005025e+02 2.356577504999998780e+02 2.367503205000002708e+02 2.367416839999996228e+02 2.367389984000001277e+02 2.367263184000003093e+02 2.367263335999996343e+02 2.367116546999995990e+02 2.367473145000003569e+02 2.367263488999997207e+02 2.357965011500000401e+02 2.367136841000001368e+02 2.367089997000002768e+02 2.359273223999998663e+02 2.367110137999998187e+02
2.103013922029999705e+01 2.349673309999998310e+02 2.361551666000004843e+02 2.361669922000000952e+02 2.361639939000001505e+02 2.361579971000001024e+02 2.361428451499996299e+02 2.348219788199999982e+02 2.361503296000000773e+02 2.361500092000001132e+02 2.361416626000000178e+02 2.361448288000001412e+02 2.361349945000001753e+02 2.361179962000005617e+02 2.361418304999997417e+02 2.361273498999998992e+02 2.361206818000000567e+02 2.361140136999997594e+02 2.361145019999999022e+02 2.361174851000000672e+02 2.361126785500000551e+02
2.203013922029999705e+01 2.343051605499995276e+02 2.355650024999995367e+02 2.355609894000008353e+02 2.355633393000007345e+02 2.355569916000004014e+02 2.355473328000007314e+02 2.341283263999994233e+02 2.355543365999992602e+02 2.355616608000000269e+02 2.355456543000000238e+02 2.355603332999999111e+02 2.355410004000004847e+02 2.355243377999995573e+02 2.355420075000001816e+02 2.355313262999998187e+02 2.355296631000001071e+02 2.355216675000001487e+02 2.355243224999994709e+02 2.355073394999999437e+02 2.355139922999996998e+02
2.303013922029999705e+01 2.345806732000000920e+02 2.351940002999999706e+02 2.349493408000007548e+02 2.349448318999993717e+02 2.349478378499998144e+02 2.349331589000003078e+02 2.346478348000000551e+02 2.349411773499996343e+02 2.349541549999994459e+02 2.349333344000006036e+02 2.349390029999995022e+02 2.349231720500001757e+02 2.349093322999997326e+02 2.349370041000001947e+02 2.349203185999995185e+02 2.349183197000002110e+02 2.349128188999998201e+02 2.349068374999997104e+02 2.348930054000002201e+02 2.349073180999994293e+02
2.403013922029999705e+01 2.348840027000005648e+02 2.348965072499995586e+02 2.350766753999996581e+02 2.350696716000002198e+02 2.350803374999995867e+02 2.350656586000004609e+02 2.350700073000007251e+02 2.350633391999999731e+02 2.350803223000002617e+02 2.350550079000004189e+02 2.350550079000004189e+02 2.350496674000005441e+02 2.350363312000008591e+02 2.350666657000001578e+02 2.350549926999992749e+02 2.350423279000006005e+02 2.350449829000008322e+02 2.350373383000005560e+02 2.350279998999994859e+02 2.351791458000006969e+02
2.503013922029999350e+01 2.351173477999991519e+02 2.355541839500001515e+02 2.355485153500003435e+02 2.351095124000003125e+02 2.355526810000001205e+02 2.355459899999996196e+02 2.355550079499998901e+02 2.355425033500005156e+02 2.355449829500003034e+02 2.357594248333334690e+02 2.355148315500000535e+02 2.355090179500002705e+02 2.355193328999994264e+02 2.355356674499998917e+02 2.355296478500004014e+02 2.355228118999993967e+02 2.355171508999992511e+02 2.355105133500001102e+02 2.355091705499999080e+02 2.357153168000004371e+02
2.603013922029999350e+01 2.345566711499996018e+02 2.360798339499997383e+02 2.360718308000004981e+02 2.345480117500001143e+02 2.360773315500000535e+02 2.360748520000006465e+02 2.360761566500004847e+02 2.360691528999996081e+02 2.360775146500000119e+02 2.360750045499999032e+02 2.360429764000000432e+02 2.360333328499991694e+02 2.360449829500003034e+02 2.360498200500005623e+02 2.360545120500000849e+02 2.360426864999999452e+02 2.360458527500004493e+02 2.360459900500000003e+02 2.360258178999993106e+02 2.360401840499998798e+02
2.703013922029999350e+01 2.350813292999991972e+02 2.363361664000003657e+02 2.363359909000000698e+02 2.351601867999997921e+02 2.363354949999993551e+02 2.363313446000001932e+02 2.363454971499995736e+02 2.363339996499998961e+02 2.363255081500001324e+02 2.363208313000004637e+02 2.363031616500002201e+02 2.362966613999997207e+02 2.363048248499999318e+02 2.363056640499999048e+02 2.363033371000001353e+02 2.363185119999998278e+02 2.363061752499997965e+02 2.363036575500000254e+02 2.362833252500004164e+02 2.362976760999999897e+02
2.803013922029999350e+01 2.354791565000004994e+02 2.357026519999999437e+02 2.356906586000004609e+02 2.357056732000000920e+02 2.357023162999994383e+02 2.356956635000005917e+02 2.357020111000001634e+02 2.356916808999994828e+02 2.356836700999992900e+02 2.356826629999995930e+02 2.356699981999990996e+02 2.356636505000005855e+02 2.356670075000001816e+02 2.356750030999992305e+02 2.356740112999996200e+02 2.356790008999996644e+02 2.356556701999998040e+02 2.356699829000008322e+02 2.356536713000004966e+02 2.356583405000001221e+02
2.903013922029999350e+01 2.353433380000005855e+02 2.353410034000007727e+02 2.353236694000006537e+02 2.353399964000000182e+02 2.353356628999990789e+02 2.356707535000005009e+02 2.355652618666669298e+02 2.359510040499999377e+02 2.353126678999997239e+02 2.359548390666671764e+02 2.353110046999991027e+02 2.353033295000004728e+02 2.353056641000002855e+02 2.353086700999992900e+02 2.353163299999996525e+02 2.353113403000006656e+02 2.352906646999999793e+02 2.353099975999994058e+02 2.359108810500001709e+02 2.357330067999997993e+02
3.003013922029999350e+01 2.347338333499992586e+02 2.347366714500003582e+02 2.347253418499994950e+02 2.347258376999998291e+02 2.347233428999998068e+02 2.349767456749996200e+02 2.347164994000004299e+02 2.349672279999999773e+02 2.346959915500001443e+02 2.346906738500001666e+02 2.346983413999996628e+02 2.346910018999997192e+02 2.346938324500006274e+02 2.346903381499996613e+02 2.347001571999999214e+02 2.346899948999998742e+02 2.346878204500007996e+02 2.346951675999998770e+02 2.349315948749999734e+02 2.346843338999997286e+02
3.103013922029999350e+01 2.341006775000005291e+02 2.341090088000000833e+02 2.341056671000005736e+02 2.340953368999998929e+02 2.340933380000005855e+02 2.340833282999992662e+02 2.340839995999995153e+02 2.340859832999994978e+02 2.340596619000007195e+02 2.340576782000007370e+02 2.340696716000002198e+02 2.340550079000004189e+02 2.340623321999992186e+02 2.340603332999999111e+02 2.340686492999993789e+02 2.340486603000008472e+02 2.340533295000004728e+02 2.340603332999999111e+02 2.340459900000005291e+02 2.340513305999993463e+02
3.203013922029999350e+01 2.336786651999991591e+02 2.336746674000005441e+02 2.336776733999995486e+02 2.336686707000008028e+02 2.336660004000004847e+02 2.336576690999991115e+02 2.336673279000006005e+02 2.332667770500002007e+02 2.336456603999995423e+02 2.336513367000006838e+02 2.336520080999998754e+02 2.336296691999996256e+02 2.334565048499998738e+02 2.336426697000006243e+02 2.334560013000000254e+02 2.334404983499998707e+02 2.334341659499996240e+02 2.334514999499997430e+02 2.334436722000000373e+02 2.334313354500000059e+02
3.303013922029999350e+01 2.330971603499992852e+02 2.334124984999998560e+02 2.334164963000002899e+02 2.334066695999999865e+02 2.334026641999998901e+02 2.333926620499996716e+02 2.334058380500000567e+02 2.333913268999995125e+02 2.333886642500001471e+02 2.333926696999997148e+02 2.333875046000002840e+02 2.333751602000002094e+02 2.334949950999998691e+02 2.333843384000001606e+02 2.334953308000003744e+02 2.334843292000005022e+02 2.334850005999996938e+02 2.334969939999991766e+02 2.334759978999991290e+02 2.334756622999993851e+02
3.403013922029999350e+01 2.333888321499998710e+02 2.340154953000001115e+02 2.340213317500001722e+02 2.336976700499999424e+02 2.340071563999999853e+02 2.339984970000004978e+02 2.336793289500001265e+02 2.339893265499995323e+02 2.339916610499994931e+02 2.336744919500006290e+02 2.336698304000001372e+02 2.339813309000001027e+02 2.336614914500005398e+02 2.339820098999998663e+02 2.339754944000005707e+02 2.336563340000002427e+02 2.339700013000001491e+02 2.339823303500006659e+02 2.336476670000001832e+02 2.339660110999993776e+02
3.503013922029999350e+01 2.340068283499995232e+02 2.346404953000001115e+02 2.343286666999993031e+02 2.340178299500003050e+02 2.346406631500003641e+02 2.346244964500001515e+02 2.339905013999996299e+02 2.346188278500003435e+02 2.346116638000003150e+02 2.339943314000001919e+02 2.339786605999997846e+02 2.342931595000000016e+02 2.339768295499998203e+02 2.346015014499998870e+02 2.342896576000002824e+02 2.339703446000003169e+02 2.345931701500003328e+02 2.345909958500005814e+02 2.339723434500001531e+02 2.342770157000004474e+02
3.603013922029999350e+01 2.345326690999991115e+02 2.351486664000003657e+02 2.345270080999998754e+02 2.345423432000006869e+02 2.351549988000006124e+02 2.351336670000000595e+02 2.345260010000001785e+02 2.351329955999990489e+02 2.351199950999998691e+02 2.345223389000002499e+02 2.345143432999993820e+02 2.345003357000005053e+02 2.345130004999991797e+02 2.351130066000005172e+02 2.344963379000000714e+02 2.344936524000004283e+02 2.348680038499996954e+02 2.348638305499998751e+02 2.345023345999998128e+02 2.345651626999997461e+02
3.703013922029999350e+01 2.348605041999999230e+02 2.348708343500002229e+02 2.348614959999995335e+02 2.348678283999997802e+02 2.348813400500002899e+02 2.348568267999999080e+02 2.348536682499998278e+02 2.348591537500005870e+02 2.348428268500001650e+02 2.348568344499999512e+02 2.348479996000005485e+02 2.348395004499998322e+02 2.348453292999993209e+02 2.348391724000002796e+02 2.348328475999996954e+02 2.348268280000002051e+02 2.350049896000000444e+02 2.350056762999993225e+02 2.344291686999995363e+02 2.350019988999993075e+02
3.803013922029999350e+01 2.351298218000001725e+02 2.351226883500003169e+02 2.351288223500005188e+02 2.351364899000000150e+02 2.351288529000003109e+02 2.351091537500005870e+02 2.351286545499997374e+02 2.351116562499992142e+02 2.350994949500000075e+02 2.351191558999998961e+02 2.351144866999993610e+02 2.355451584000002185e+02 2.351071548999998413e+02 2.350946579000001293e+02 2.350911865500002023e+02 2.350861511000002793e+02 2.350806579999998576e+02 2.350800247000006493e+02 2.338150024999995367e+02 2.350758285499996418e+02
3.903013922029999350e+01 2.344739838000004966e+02 2.345958557499998278e+02 2.346039887000006274e+02 2.344813233000004402e+02 2.344730225000002974e+02 2.345908279499999480e+02 2.344733277000013913e+02 2.345799942000003284e+02 2.345783386499997505e+02 2.344626618000002054e+02 2.344626618000002054e+02 2.356871490499997890e+02 2.344586639999997715e+02 2.345574798500001634e+02 2.344450226000008115e+02 2.344313201999993908e+02 2.345478286999996271e+02 2.345610199000002467e+02 2.335668259000003673e+02 2.344189910999994026e+02
4.003013922029999350e+01 2.340860138000007282e+02 2.351276703000003181e+02 2.351316681000007520e+02 2.342966766500003359e+02 2.342890090999999302e+02 2.351283264000012423e+02 2.342850113000004058e+02 2.351176605000000563e+02 2.351206665000008798e+02 2.342881775000005291e+02 2.342805099500001234e+02 2.351056671000005736e+02 2.342775116000002527e+02 2.350953368999998929e+02 2.342613449000000401e+02 2.337973251499997787e+02 2.350679932000002736e+02 2.350989989999998215e+02 2.337951431000001321e+02 2.342303237999994963e+02
4.103013922029999350e+01 2.333743438999990758e+02 2.346469878999996581e+02 2.346476746000007552e+02 2.346333312999995542e+02 2.346386719000001904e+02 2.346510009999983595e+02 2.346246796000014001e+02 2.346320037999994383e+02 2.346363373000003776e+02 2.346356658999993670e+02 2.346233367999993789e+02 2.346226654000001872e+02 2.346196746999994502e+02 2.346043396000004577e+02 2.346023406999993313e+02 2.332588348500003121e+02 2.345753327000002173e+02 2.346136626999996224e+02 2.332496642999994947e+02 2.345803223000002617e+02
4.203013922029999350e+01 2.336553421500011609e+02 2.352218322499993519e+02 2.352198257500003820e+02 2.351921691999996256e+02 2.352034988499999599e+02 2.352183380000005855e+02 2.351835021999995661e+02 2.352024993999993967e+02 2.352001647999995839e+02 2.351996612499997354e+02 2.351871643000004042e+02 2.351948394999999437e+02 2.340361709499993594e+02 2.351763382000008278e+02 2.351705017000003863e+02 2.338209991999992781e+02 2.351448364999996556e+02 2.351773300499999095e+02 2.338170013999988441e+02 2.351460036999997101e+02
4.303013922029999350e+01 2.334746703999990132e+02 2.358865052000001015e+02 2.358871689000006882e+02 2.347095032500001253e+02 2.347188339999993332e+02 2.358754960000005667e+02 2.347043305000006512e+02 2.358828354000015679e+02 2.358775025500008269e+02 2.358788376000011340e+02 2.358618317500004196e+02 2.358616714999998294e+02 2.334493255999987014e+02 2.358590011500000401e+02 2.358585052500002348e+02 2.334416657000001578e+02 2.346568299000000479e+02 2.358473358499995811e+02 2.342483368499997596e+02 2.346741790999985824e+02
4.403013922029999350e+01 2.340051651499998115e+02 2.370826568999994777e+02 2.370871277333341425e+02 2.341203156000010495e+02 2.349775085499986744e+02 2.370869954333320493e+02 2.341246490999983507e+02 2.370736643333329994e+02 2.364843368500005454e+02 2.370548858666673766e+02 2.370617726666665988e+02 2.370603281666662951e+02 2.339818191499998647e+02 2.364650039999996807e+02 2.370495656333326622e+02 2.339729843499990238e+02 2.340696564000008948e+02 2.370534312333341802e+02 2.341116790999985824e+02 2.340923461999991559e+02
4.503013922029999350e+01 2.336706696000001102e+02 2.371823273000009067e+02 2.377856902999992599e+02 2.346089935499985586e+02 2.353330077999999048e+02 2.389104271250007514e+02 2.346021576000002824e+02 2.371656647000017983e+02 2.370569992000000639e+02 2.371543273999996018e+02 2.377750091999987490e+02 2.377543335000009392e+02 2.345899887499999750e+02 2.370543365499997890e+02 2.379660110500008159e+02 2.345704880000012054e+02 2.345674972500000877e+02 2.378454475750004349e+02 2.345828400000009424e+02 2.345655136500008666e+02
4.603013922029999350e+01 2.333481673999995110e+02 2.377108307500002411e+02 2.383398437500000000e+02 2.352123336999993626e+02 2.358515014500007965e+02 2.402028427000004740e+02 2.352119980000006763e+02 2.376916504000000714e+02 2.376809845000007044e+02 2.376984863500001666e+02 2.380034942999991472e+02 2.392473296999996819e+02 2.352149963499996375e+02 2.376760177500000282e+02 2.384430084000014176e+02 2.351955032000005303e+02 2.351801681499982806e+02 2.384400176999988616e+02 2.351996688500003074e+02 2.351735000999997283e+02
4.703013922029999350e+01 2.336533355999999912e+02 2.373900146999985736e+02 2.386563492500008579e+02 2.358565063999994891e+02 2.361796723000006750e+02 2.407881699000008666e+02 2.358568344499999512e+02 2.373696593999993638e+02 2.373603211000008741e+02 2.373896636999998009e+02 2.373693390000007639e+02 2.398590087999982643e+02 2.358513336500000150e+02 2.373633269999991171e+02 2.386330185000006168e+02 2.358476715500000864e+02 2.358181686499992793e+02 2.386171646500006318e+02 2.358351670000010927e+02 2.358131714499995724e+02
4.803013922029999350e+01 2.339958267000001797e+02 2.370940093999997771e+02 2.380296783000012510e+02 2.364638366999988648e+02 2.364640044999996462e+02 2.404553374999995867e+02 2.364663391499998397e+02 2.370701599999993050e+02 2.370709915999996156e+02 2.367553253999994922e+02 2.367348480500004371e+02 2.391976776499996049e+02 2.364438400499984709e+02 2.367206573499988735e+02 2.389038467999998829e+02 2.364386749000004784e+02 2.364243317000000388e+02 2.388841553000002023e+02 2.364293366000001697e+02 2.364183426500003407e+02
4.903013922029998639e+01 2.345686645999994653e+02 2.376196593999993638e+02 2.376133422999992035e+02 2.369956665999998222e+02 2.370023346000016318e+02 2.400570068000015453e+02 2.370073394999999437e+02 2.375900116000011622e+02 2.375986785999994026e+02 2.369756621999986237e+02 2.369596710000005260e+02 2.385926819000014802e+02 2.369770050000006449e+02 2.370793000000000177e+02 2.385930023000000801e+02 2.369786682000012661e+02 2.369573363999988942e+02 2.385909882000014477e+02 2.369696656000014627e+02 2.369596710000005260e+02
5.003013922029998639e+01 2.348766708500006644e+02 2.374013214500009781e+02 2.373938445999992837e+02 2.373641509999997652e+02 2.373776626999988366e+02 2.394616699499983952e+02 2.373706512500011740e+02 2.373670044499995129e+02 2.373800201499998366e+02 2.373664855999995780e+02 2.373478317500012054e+02 2.381703339000014239e+02 2.373424835000005260e+02 2.373519897499991202e+02 2.381693420000010519e+02 2.373366546500001277e+02 2.373256607000002987e+02 2.381739960000013525e+02 2.373356628500005172e+02 2.373313293499995780e+02
5.103013922029998639e+01 2.355696716500006005e+02 2.376624909000001935e+02 2.376221771500004252e+02 2.376499939000004815e+02 2.376625060999995185e+02 2.388660125999995216e+02 2.376489944500008278e+02 2.376279983999993419e+02 2.376140137000002142e+02 2.376174850499992317e+02 2.376141738999995141e+02 2.375458221500011859e+02 2.376231613500003732e+02 2.376198272999990877e+02 2.375518417499988573e+02 2.376309891500004596e+02 2.376084900000005291e+02 2.375470046999998885e+02 2.376166687499990076e+02 2.376181717500003288e+02
5.203013922029998639e+01 2.360856628999990789e+02 2.371134948500002793e+02 2.370806656000004295e+02 2.369673309999998310e+02 2.369606628000001365e+02 2.382058258500001102e+02 2.369430084000014176e+02 2.370771637500001816e+02 2.370788345000000845e+02 2.370616608000000269e+02 2.369373321999992186e+02 2.370353317999997671e+02 2.369366760000011709e+02 2.369276734000013676e+02 2.370345002000012755e+02 2.369196626000011747e+02 2.369100037999996857e+02 2.370135117000008904e+02 2.369130096000008052e+02 2.369306642000010470e+02
5.303013922029998639e+01 2.363821563999990758e+02 2.376490020999990520e+02 2.376099853999985498e+02 2.363530120999985229e+02 2.363396606499991321e+02 2.375736542000013287e+02 2.363223419499990996e+02 2.376103211000008741e+02 2.376026611999986926e+02 2.375876769999995304e+02 2.363151626500002749e+02 2.375796661999993376e+02 2.363215103500006080e+02 2.363093414499999199e+02 2.375809937000012724e+02 2.363041763500004890e+02 2.362920074499998009e+02 2.375493317000000388e+02 2.362916565000014089e+02 2.363091506999990088e+02
5.403013922029998639e+01 2.357663269000004220e+02 2.372326659999998810e+02 2.372099914999998873e+02 2.357726746000007552e+02 2.357656554999994114e+02 2.371926574999997683e+02 2.357579956000008679e+02 2.371943358999997145e+02 2.371909942999991472e+02 2.371843262000002142e+02 2.357423248999984935e+02 2.371883392000017921e+02 2.357456664999990608e+02 2.357393340999988141e+02 2.371816710999992210e+02 2.357230071999983920e+02 2.357180023000000801e+02 2.371516570999992837e+02 2.357123261000015191e+02 2.357149811000017507e+02
5.503013922029998639e+01 2.353736572000016167e+02 2.366109924499996850e+02 2.377426681499982806e+02 2.353663177999987965e+02 2.353606567999995605e+02 2.377218399000012141e+02 2.353509979000009480e+02 2.365840072999999393e+02 2.377311706499986030e+02 2.365798263500000758e+02 2.353396606999995129e+02 2.377116699999987759e+02 2.353383331000004546e+02 2.353313293999999587e+02 2.377008362500000658e+02 2.353176574999997683e+02 2.353103332999999111e+02 2.376773300499990000e+02 2.353079986999982793e+02 2.353093262000002142e+02
