# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	
2.030139220299999714e+00 2.278612772999999834e+02 2.359851684500000033e+02 2.359923248499999886e+02 2.347123412999999630e+02 2.359768219499999873e+02 2.359799957499999721e+02 2.359791793999999641e+02 2.357680053999999643e+02 2.357523346000000117e+02 2.347109985999999822e+02 2.357296600999999896e+02 2.357429961999999932e+02 2.346956634999999949e+02 2.357293395999999746e+02 2.357376556999999764e+02 2.346900024999999630e+02 2.346803283999999792e+02 2.357056732000000068e+02 2.346623382999999592e+02 2.357086639999999989e+02
3.030139220299999714e+00 2.287295150999999578e+02 2.353759917999999516e+02 2.353806610000000319e+02 2.352480087499999968e+02 2.353663178000000471e+02 2.353733215000000314e+02 2.353796691999999666e+02 2.353763428000000033e+02 2.353600005999999496e+02 2.352364959499999770e+02 2.353410034000000337e+02 2.353503265999999599e+02 2.352223434499999826e+02 2.353410034000000053e+02 2.353516540999999336e+02 2.352179947000000197e+02 2.352085036999999943e+02 2.353193511999999998e+02 2.352050018499999737e+02 2.353220062000000325e+02
4.030139220299998826e+00 2.292650146499998982e+02 2.359244919000000209e+02 2.359140092000000095e+02 2.359230118999999490e+02 2.359133377000000564e+02 2.359068222999999875e+02 2.359126663999999209e+02 2.359079971500000283e+02 2.359046706999999969e+02 2.358935089499999549e+02 2.358753280999999902e+02 2.358963394499999993e+02 2.358831634499999836e+02 2.358838425499999971e+02 2.358981628999999884e+02 2.358759918999999741e+02 2.358681564999999978e+02 2.358696746999999618e+02 2.358585052999999334e+02 2.358641586499999789e+02
5.030139220299998826e+00 2.297143401999999242e+02 2.365551605499999823e+02 2.365355072499999096e+02 2.365474930000000313e+02 2.365373458999999912e+02 2.365326614499999778e+02 2.365333251999999220e+02 2.365278243999999859e+02 2.365336761499999056e+02 2.365155105999999705e+02 2.365031586000000061e+02 2.365183411000000433e+02 2.365045013499999413e+02 2.365111617999999680e+02 2.365165100499999653e+02 2.365023269999999229e+02 2.364899978500000088e+02 2.364926681499999859e+02 2.364843292499999734e+02 2.364841614000000050e+02
6.030139220299998826e+00 2.311628051799999923e+02 2.371363297000000330e+02 2.371101760500000637e+02 2.371236648500000683e+02 2.371196746499999790e+02 2.371133270499999526e+02 2.371221618499999977e+02 2.371113281500000767e+02 2.371095123000000058e+02 2.371023407000000134e+02 2.370873260500000015e+02 2.370866775499999903e+02 2.370846634000000677e+02 2.370916671999999608e+02 2.370943450999999413e+02 2.370918273999999428e+02 2.370741576999998870e+02 2.370696639999999888e+02 2.370698318500001278e+02 2.370658263999999917e+02
7.030139220299998826e+00 2.330388336500000150e+02 2.377363281499999630e+02 2.377083434999999554e+02 2.377173309499999050e+02 2.376990891000000374e+02 2.377056580500000109e+02 2.377139969500001371e+02 2.377083282500000223e+02 2.377056731999999784e+02 2.376995087000000240e+02 2.376746597500000462e+02 2.376868362499999421e+02 2.376858291999999437e+02 2.376776657499999601e+02 2.376911697500000855e+02 2.376849899500000447e+02 2.376708221500000491e+02 2.376640014999999266e+02 2.376655044999997699e+02 2.376613311999999496e+02
8.030139220299998826e+00 2.348736725400000012e+02 2.373833313000000089e+02 2.373706664999999703e+02 2.373836670000000595e+02 2.377755890000000818e+02 2.373619843000001310e+02 2.373713379000000714e+02 2.373676758000001428e+02 2.373546753000000535e+02 2.373606719999997949e+02 2.373353271999999379e+02 2.373456725999999435e+02 2.373513336000000891e+02 2.373356780999997682e+02 2.373529967999998007e+02 2.373486632999997710e+02 2.373319854999999734e+02 2.373226623999998992e+02 2.373266754000001129e+02 2.373319854999999734e+02
9.030139220299998826e+00 2.364261627000000772e+02 2.370325013000001491e+02 2.370268326000000343e+02 2.370275116000000253e+02 2.369878794666666693e+02 2.370168227999999999e+02 2.370183411000000433e+02 2.370161743999999544e+02 2.370034942499999033e+02 2.370063324500001727e+02 2.369924926500000311e+02 2.369990005999998175e+02 2.370021744499999841e+02 2.369858398500000476e+02 2.369983368000000610e+02 2.369901580499999909e+02 2.369816589500001101e+02 2.369741669000000002e+02 2.369743499999999585e+02 2.369849853999999141e+02
1.003013922029999883e+01 2.360959777999996732e+02 2.383243446499999436e+02 2.383215828249999504e+02 2.375426788999998280e+02 2.376353454999998576e+02 2.383213386749999927e+02 2.383273315749999028e+02 2.383199119749998545e+02 2.383049927250000337e+02 2.383029136749998997e+02 2.382985878250000269e+02 2.383031578000000081e+02 2.380355046833334711e+02 2.383024940500000639e+02 2.373064880500000982e+02 2.382845916999999645e+02 2.372881851500001176e+02 2.382746658500000194e+02 2.372818298499998946e+02 2.382787552250000545e+02
1.103013922029999883e+01 2.358003235000001041e+02 2.398061752500002513e+02 2.397976837000001069e+02 2.377037761000001410e+02 2.382775116499997239e+02 2.397990112500001487e+02 2.397991485500001545e+02 2.397993163999997250e+02 2.397893372000003183e+02 2.397778472999998485e+02 2.397746735000002900e+02 2.397820129499998529e+02 2.397736435500000880e+02 2.397903136999998424e+02 2.379856491000000460e+02 2.397655106500001239e+02 2.379680175999999392e+02 2.397608108999997967e+02 2.379671630999998797e+02 2.397490081999999347e+02
