# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	
5.000000000000000000e-01 5.724978546900000298e-02 6.070664824500000833e-02 5.484163207999998707e-02 5.885203004399999077e-02 5.683940122999999595e-02 5.732798371400001786e-02 5.938697661999999683e-02 5.463500366000000746e-02 5.550389161399998245e-02 5.837490844000000484e-02 5.804879457000000631e-02 5.882389586399998371e-02 5.938689574999999471e-02 5.762697052400000963e-02 5.705735625999999727e-02 5.813173827999997684e-02 5.682543701400002284e-02 5.887185976000000598e-02 5.429825021400000451e-02 5.508212147999998892e-02 5.879888915999998550e-02 5.750180191400001972e-02 6.025086897999999691e-02 5.634212951000001912e-02 5.759332948399997071e-02 5.760263671000000196e-02 5.732435060400000587e-02 5.736520688999999923e-02 5.724738160000000797e-02 5.669281982399999170e-02 5.808906554999999916e-02 5.710099486999997698e-02
1.500000000000000000e+00 5.703353027400002995e-02 6.085660094999998521e-02 5.483292847999998720e-02 5.885387023400003026e-02 5.683900146999996961e-02 5.734457076400001352e-02 5.936475295999998902e-02 5.462186584999997180e-02 5.553803161400004684e-02 5.835313720999997511e-02 5.830200196000001611e-02 5.875702574399999795e-02 5.927479858999997603e-02 5.756913438400002025e-02 5.729056470999996376e-02 5.811229250000003732e-02 5.661777098399999042e-02 5.885726013000000534e-02 5.430625109399999512e-02 5.546025344000000967e-02 5.860013426999997888e-02 5.729275726400000907e-02 6.038446502000001381e-02 5.630313720999997884e-02 5.754019531400001580e-02 5.782846984999998746e-02 5.731279357400000107e-02 5.723893433999997782e-02 5.699459839000003275e-02 5.685166076399998658e-02 5.831300657999997916e-02 5.710242920999999278e-02
2.500000000000000000e+00 5.715426697399998701e-02 6.087092895999999392e-02 5.482773435999999806e-02 5.885819763399997850e-02 5.683779907999996633e-02 5.733980469400005303e-02 5.936725767999998654e-02 5.449207153999995751e-02 5.566425537400002815e-02 5.835767515999998323e-02 5.836466064999999703e-02 5.857489685400005253e-02 5.926810303000001889e-02 5.771146453399995935e-02 5.711729583999998472e-02 5.834096680000004642e-02 5.654973511399996600e-02 5.885359191999998268e-02 5.431227057400001001e-02 5.559669610000000928e-02 5.808791260399995965e-02 5.765631713000002323e-02 6.030133057999999269e-02 5.638080748000002390e-02 5.755379395400000292e-02 5.785453185999995390e-02 5.730939545400003804e-02 5.712336881999999921e-02 5.708656005999998562e-02 5.685759643400000590e-02 5.832694397999999697e-02 5.715712280000002227e-02
3.500000000000000000e+00 5.732943024400003612e-02 6.086153410999997626e-02 5.482503357000000771e-02 5.886602844399999729e-02 5.683246460999998723e-02 5.734259627400004056e-02 5.942683486999997267e-02 5.425896300999998034e-02 5.590236420400003514e-02 5.835093537000000247e-02 5.835859678999991140e-02 5.839893250400009228e-02 5.921943358999997437e-02 5.788399414400002829e-02 5.693599855000001930e-02 5.835887145000003690e-02 5.670456145399992848e-02 5.885976716000001357e-02 5.432216725399998530e-02 5.564332712999998931e-02 5.760413207999995344e-02 5.810593781400005126e-02 6.015122833000000058e-02 5.633983154999994136e-02 5.772009642400005580e-02 5.785966796999998663e-02 5.726989464733335533e-02 5.703473242666664417e-02 5.721363220000000305e-02 5.685739655400002396e-02 5.831780853999998793e-02 5.699949646000000009e-02
4.500000000000000000e+00 5.734276491399998427e-02 6.078639830000004407e-02 5.489663695999995319e-02 5.884882874400002711e-02 5.683716429999999264e-02 5.735086273399998824e-02 5.960877534000000311e-02 5.382091551599996887e-02 5.635327941800000878e-02 5.813716432000005929e-02 5.851983033999999528e-02 5.838326475399994997e-02 5.904826659999998922e-02 5.786139358400001903e-02 5.712306747000001073e-02 5.836394044000008108e-02 5.657095702399990433e-02 5.880767211999998051e-02 5.438601117400002072e-02 5.582828081999997166e-02 5.728846435000000542e-02 5.841553330400001826e-02 6.008446730999999347e-02 5.634873047999990059e-02 5.760132660400010818e-02 5.779283598999997856e-02 5.735548056066668010e-02 5.713321329333330423e-02 5.708703614000005394e-02 5.687389663399997075e-02 5.824337081000000721e-02 5.717463379000000540e-02
5.500000000000000000e+00 5.734412901399991991e-02 6.053633424000004482e-02 5.488946532999997019e-02 5.891352906399998507e-02 5.683627013999998506e-02 5.735286391400001155e-02 5.972640304999998762e-02 5.338526000999995608e-02 5.679066833400004538e-02 5.799006347999995786e-02 5.866883545000009526e-02 5.838722900399993809e-02 5.911023254000001559e-02 5.760319732399999532e-02 5.732130282000001686e-02 5.835453489999995608e-02 5.645209411400003291e-02 5.876403199000008321e-02 5.461706317399991906e-02 5.563373088999998967e-02 5.722442625999997479e-02 5.847373642400002791e-02 6.021920242999999340e-02 5.635083006999998256e-02 5.767559571400002194e-02 5.753377076000006085e-02 5.743121436399994950e-02 5.730628013000002574e-02 5.689910583999999161e-02 5.686329102399997892e-02 5.821353452999994404e-02 5.733812867000005753e-02
6.500000000000000000e+00 5.732766175400004494e-02 6.034506836000002455e-02 5.483880615999994768e-02 5.914639343400001498e-02 5.683746947999988863e-02 5.734541533400008828e-02 5.957284087999999145e-02 5.332153929999994962e-02 5.684426331400004723e-02 5.808769530999997877e-02 5.862633058000001063e-02 5.833516908400001449e-02 5.933873289999992001e-02 5.737646391400007956e-02 5.732379914000002713e-02 5.832390137999991786e-02 5.664849303400001229e-02 5.882200012000003003e-02 5.457935433400001868e-02 5.560523795999999103e-02 5.706633300000003156e-02 5.846653121399997266e-02 6.021760635999992561e-02 5.633889771000003682e-02 5.788929504400002618e-02 5.733426514000006941e-02 5.760945685399993660e-02 5.720746880000000117e-02 5.700040893999985120e-02 5.685486053400013590e-02 5.827299651999996721e-02 5.711700440000008760e-02
7.500000000000000000e+00 5.716146148399994104e-02 6.035183258000002132e-02 5.501870728000000238e-02 5.918062805400003262e-02 5.681366576999998669e-02 5.735247711399997506e-02 5.955051422000001704e-02 5.331906738999996065e-02 5.685266784400003215e-02 5.814136351999998203e-02 5.864696655000015829e-02 5.832563233399987168e-02 5.925972594999998067e-02 5.737430328400000556e-02 5.733350067999999633e-02 5.815060118999981764e-02 5.683939575400018263e-02 5.886473083999994860e-02 5.451036647400003127e-02 5.565386145000000145e-02 5.702553708999994614e-02 5.823312744400004765e-02 6.045566712000000065e-02 5.616096800999985372e-02 5.804842895400015579e-02 5.735173340000005587e-02 5.763329739399994378e-02 5.706806431000002039e-02 5.713033140999987380e-02 5.684900193400010265e-02 5.832109451999997751e-02 5.714213561000006103e-02
8.500000000000000000e+00 5.710322326400005255e-02 6.034826659999989462e-02 5.499300538000003596e-02 5.944462950400001416e-02 5.656990357000004493e-02 5.736721557399996479e-02 5.960070800999996837e-02 5.331963196000015504e-02 5.685246948399987760e-02 5.808402403999995967e-02 5.882330321999997697e-02 5.838257507400007595e-02 5.909019165999988832e-02 5.728489594400007490e-02 5.741889495000000038e-02 5.810460816000004303e-02 5.683119263399998705e-02 5.886853331999991612e-02 5.455878270400005281e-02 5.583301172999997897e-02 5.684467467999984591e-02 5.811358703400014425e-02 6.057680360000004122e-02 5.608973082999991339e-02 5.811376709400006141e-02 5.735790100000003749e-02 5.758473266399996571e-02 5.711205748999995807e-02 5.692303772499990311e-02 5.698899749900013245e-02 5.831806489000002786e-02 5.738576355000004486e-02
9.500000000000000000e+00 5.703306336400005422e-02 6.022053527999996630e-02 5.499483336000005052e-02 5.962049623400000886e-02 5.634420164999982827e-02 5.763300537400016521e-02 5.957001952999996935e-02 5.334680481999994062e-02 5.700005858400004205e-02 5.788499450999998186e-02 5.862500609999988371e-02 5.853916687400023688e-02 5.918883667999984971e-02 5.706091979400007563e-02 5.761186830000001452e-02 5.819670713999985229e-02 5.676032470400014379e-02 5.882063292999996362e-02 5.459830223400003596e-02 5.598282632000000508e-02 5.671673583999987944e-02 5.801579116400012309e-02 6.066427536999990239e-02 5.582302856000005697e-02 5.835549834400003549e-02 5.737746735000000958e-02 5.757803978399999439e-02 5.711041908999998223e-02 5.649563597999986142e-02 5.716649307400013813e-02 5.833033369999995887e-02 5.754920044999999040e-02
1.050000000000000000e+01 5.705173095400009609e-02 6.036226501999999300e-02 5.484799803999999140e-02 5.962066711399993668e-02 5.633026734000013552e-02 5.787495177399992058e-02 5.934111327999998936e-02 5.353459474000010071e-02 5.702979491399991913e-02 5.766693421999993796e-02 5.876300048000011877e-02 5.840686095399991867e-02 5.918843384999999957e-02 5.706109755400000372e-02 5.760653611000005059e-02 5.841286620999999041e-02 5.676992858399994291e-02 5.858959961999998800e-02 5.459111255400003054e-02 5.633881969999997297e-02 5.637982787000000995e-02 5.802689728400000496e-02 6.065770416999998610e-02 5.581803589000010335e-02 5.833772339399988932e-02 5.740663451000009576e-02 5.778837646399993117e-02 5.706871947999998113e-02 5.632066652000012469e-02 5.714846251399990223e-02 5.852686768000003176e-02 5.741060179999985663e-02
1.150000000000000000e+01 5.727159637399999864e-02 6.034679717999984205e-02 5.483567201000013464e-02 5.960059263400004081e-02 5.631886598000000743e-02 5.787802947399996178e-02 5.933997039999990009e-02 5.357373047000019151e-02 5.710826172399988826e-02 5.756946716000001935e-02 5.858886717999994137e-02 5.862075868400010853e-02 5.892593994000008134e-02 5.727289261399984982e-02 5.760200422999998959e-02 5.859385987999994605e-02 5.657860167400008411e-02 5.861549986999998324e-02 5.441100010399999021e-02 5.648642787999998832e-02 5.619073487000005029e-02 5.827272705399993979e-02 6.040980529000000709e-02 5.602700196000005156e-02 5.817409119399994527e-02 5.753449707999989254e-02 5.782541257400011792e-02 5.709955444999995772e-02 5.631606140000012389e-02 5.695443558399988088e-02 5.873445969000003902e-02 5.742446593000013338e-02
