# r	stdNi	stdCo	stdCr
5.334264270796764151e+01 8.793967766298801947e-03 7.637409822510787295e-03 7.617705777417451384e-03
3.556176180531176101e+01 1.225839207945896708e-02 1.102213975135432275e-02 1.220222657881035386e-02
2.667132135398382076e+01 1.543477988044977475e-02 1.628429284090609705e-02 1.462735930099710695e-02
2.133705708318705518e+01 2.214648137975451167e-02 2.122778062663936705e-02 2.080904750979445036e-02
1.778088090265588050e+01 2.683888233856905267e-02 2.648475699556113519e-02 2.577732052111525105e-02
1.524075505941932640e+01 3.232698270176431049e-02 3.278026594296352958e-02 3.236823141658271702e-02
1.333566067699191038e+01 3.769040036195132198e-02 3.915575254186839244e-02 3.691314670998477321e-02
1.185392060177058760e+01 4.604573518274845956e-02 4.506627424267345416e-02 4.159303511709715878e-02
1.066852854159352759e+01 5.178503359768766440e-02 5.278236190589952193e-02 5.023888539439136380e-02
9.698662310539571507e+00 5.971693378887584641e-02 5.679026522756953910e-02 5.452268868554428771e-02
8.206560416610406250e+00 7.424935483630880351e-02 7.425784361027583380e-02 7.308534188613802218e-02
7.620377529709663200e+00 8.276746125990300240e-02 7.960056590084907402e-02 7.721312534307508968e-02
6.667830338495955189e+00 1.025466236800921804e-01 9.960323972372539525e-02 1.016414774280838679e-01
5.926960300885293798e+00 1.184339555375146236e-01 1.168727487389041725e-01 1.137500375935975444e-01
5.334264270796763796e+00 1.468145761277951655e-01 1.351345064274195873e-01 1.372246968068993322e-01
4.638490670258056170e+00 1.769911587721196555e-01 1.665259246897463075e-01 1.634176923084178779e-01
4.103280208305203125e+00 2.029614567963585747e-01 1.923659844435260391e-01 2.010778913310271865e-01
3.678802945377078526e+00 2.576057488510388183e-01 2.365934986245972760e-01 2.346193316331259549e-01
3.333915169247977595e+00 3.300159911950396041e-01 3.192350018229343500e-01 3.171062628590681776e-01
