# z	h(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 2.718957084925457825e-17
1.000000000000000000e+00 9.955285178352868414e-01 1.630776823789942091e-04
2.000000000000000000e+00 9.863970687737840803e-01 4.750530283749716093e-04
3.000000000000000000e+00 9.732430564081523405e-01 9.981764707307455402e-04
4.000000000000000000e+00 9.567001153667806790e-01 1.648782651788233957e-03
5.000000000000000000e+00 9.364338401661674860e-01 2.374083369252483547e-03
6.000000000000000000e+00 9.133116135530831015e-01 3.130790066890014409e-03
7.000000000000000000e+00 8.876159971322629127e-01 3.958895490873476884e-03
8.000000000000000000e+00 8.594991273402404763e-01 4.849154346470231462e-03
9.000000000000000000e+00 8.293786737204912329e-01 5.727091957272553886e-03
1.000000000000000000e+01 7.970522925152707661e-01 6.594709771039109110e-03
1.100000000000000000e+01 7.633913519228132660e-01 7.426555601890775550e-03
1.200000000000000000e+01 7.282248692079591468e-01 8.238614337687823891e-03
1.300000000000000000e+01 6.920098575839446209e-01 8.999247214289261831e-03
1.400000000000000000e+01 6.542739878058065894e-01 9.721496394142355515e-03
1.500000000000000000e+01 6.153992032159124603e-01 1.041718722657806670e-02
1.600000000000000000e+01 5.750648619999599864e-01 1.112201949837013717e-02
1.700000000000000000e+01 5.337086967818182037e-01 1.178903159292342580e-02
1.800000000000000000e+01 4.910341182750854738e-01 1.243538228365100029e-02
1.900000000000000000e+01 4.476652263932340836e-01 1.302871738062913454e-02
2.000000000000000000e+01 4.033756718970039068e-01 1.357788312622367974e-02
2.100000000000000000e+01 3.585126270423729111e-01 1.403382873822429933e-02
2.200000000000000000e+01 3.135296929489755358e-01 1.439452510495265944e-02
2.300000000000000000e+01 2.680288067335249713e-01 1.470917803575542450e-02
2.400000000000000000e+01 2.227402433153617689e-01 1.489952268277226072e-02
2.500000000000000000e+01 1.775045973492100915e-01 1.495450714325828601e-02
2.600000000000000000e+01 1.334665443461004464e-01 1.482516222409658961e-02
2.700000000000000000e+01 8.997774399713395765e-02 1.460026950329617809e-02
2.800000000000000000e+01 4.799667014980910779e-02 1.420104520710815596e-02
2.900000000000000000e+01 7.004327112566316807e-03 1.363727155846939168e-02
3.000000000000000000e+01 -3.262273639239862688e-02 1.290482517424241561e-02
3.100000000000000000e+01 -7.088154597555683389e-02 1.205261596793842128e-02
3.200000000000000000e+01 -1.076272471544105908e-01 1.108623387641721053e-02
3.300000000000000000e+01 -1.430116157210696848e-01 9.976971707339623782e-03
3.400000000000000000e+01 -1.773109024945283274e-01 8.736982798688083460e-03
3.500000000000000000e+01 -2.103045146012964550e-01 7.440241605390810614e-03
3.600000000000000000e+01 -2.419684374539650962e-01 6.114422454624499070e-03
3.700000000000000000e+01 -2.725468881526896259e-01 4.734840096320660358e-03
3.800000000000000000e+01 -3.026220833847362846e-01 3.331759684264716612e-03
3.900000000000000000e+01 -3.317735023317603393e-01 1.990882157396738680e-03
4.000000000000000000e+01 -3.599325157896401395e-01 9.829012779937931332e-04
4.100000000000000000e+01 -3.870070938082782463e-01 1.374771920667529953e-03
4.200000000000000000e+01 -4.134790496685840644e-01 2.580170318018361331e-03
4.300000000000000000e+01 -4.388182146273386652e-01 3.915147859028860096e-03
4.400000000000000000e+01 -4.633516296108358135e-01 5.235133130702786589e-03
4.500000000000000000e+01 -4.868953564494529207e-01 6.526759678472294872e-03
4.600000000000000000e+01 -5.096993114779667655e-01 7.773094447027729427e-03
4.700000000000000000e+01 -5.316810914988377990e-01 8.996416130273084122e-03
4.800000000000000000e+01 -5.525985375827803248e-01 1.020019332764944206e-02
4.900000000000000000e+01 -5.727457912580812271e-01 1.133456594766583080e-02
5.000000000000000000e+01 -5.917663553400528409e-01 1.242675710752554237e-02
5.100000000000000000e+01 -6.099590488464328164e-01 1.347633143540197427e-02
5.200000000000000000e+01 -6.267311108338572412e-01 1.451503736410001896e-02
5.300000000000000000e+01 -6.426197837412551683e-01 1.549184758148327602e-02
5.400000000000000000e+01 -6.569074011671395263e-01 1.644931703890950558e-02
5.500000000000000000e+01 -6.699723086841468112e-01 1.733540249201629899e-02
5.600000000000000000e+01 -6.814941095066096022e-01 1.817764662140087736e-02
5.700000000000000000e+01 -6.917693489777236859e-01 1.898300057715755079e-02
5.800000000000000000e+01 -7.005224670508251039e-01 1.976612100753472739e-02
5.900000000000000000e+01 -7.078369803496701307e-01 2.047305879713221671e-02
6.000000000000000000e+01 -7.137924556941422916e-01 2.108611209356507990e-02
6.100000000000000000e+01 -7.187028477725809772e-01 2.161350112444008001e-02
6.200000000000000000e+01 -7.227129237175724530e-01 2.204959416059018573e-02
6.300000000000000000e+01 -7.254033204649705802e-01 2.238621907375423076e-02
6.400000000000000000e+01 -7.271866864114070461e-01 2.256525513914810557e-02
