# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	
2.000000000000000000e+01 8.444450935615893661e-02 9.970866375193224163e-02 -7.197419287643359864e-02 -4.793436963309270771e-02 3.384876356907743911e-01 3.393705850238639687e-01 -1.259014602655817716e-01 2.962878127859847610e-01 1.218420475109881565e-02 3.375817459757887162e-01 -1.143449617796228474e-01 3.197308475106794279e-02 2.576489757165860706e-01 3.054467168275613598e-01 -3.391939868613637055e-01 3.281190053695170472e-01 1.459539321532877208e-02 2.078336267686188565e-01 1.395177123964127242e-01 -1.687867969807516910e-01 -1.315353851638455807e-01 3.318488626517742124e-01 3.073692704471224224e-01 3.080194385017869241e-01 3.295942361486665084e-01
2.100000000000000000e+01 1.064204165596177309e-01 6.649831165321556936e-02 -1.366313029663860368e-01 -1.059247350426243683e-01 2.958184587586881187e-01 2.985232282696951844e-01 -6.855307775949257693e-03 2.489365437842912254e-01 2.229844234434660497e-02 2.905644998199690132e-01 -1.662108112096623569e-01 -7.711830589742027509e-02 4.563647630420762658e-02 2.597066683381121233e-01 -3.554970486137487007e-01 2.804385977294794885e-01 -2.667120769267248767e-02 7.528382527324169182e-02 8.203739685115536695e-02 -2.166555793302309962e-01 -1.574403780523870588e-01 2.899969133369344476e-01 2.630102861862098074e-01 2.591824391809001704e-01 2.821817863669551230e-01
2.200000000000000000e+01 9.267699308535885805e-02 4.047070277257671517e-02 -1.431401848869515436e-01 -1.150262165790352648e-01 2.530116523136557438e-01 2.557586530878439013e-01 4.475767894017564780e-02 2.021941401183921794e-01 2.142397392100959391e-02 2.428417567987229964e-01 -1.207443049832821469e-01 -1.579306999531542577e-01 -1.106839925141108322e-01 2.144272607909961936e-01 -2.928946401758779627e-01 2.335309527075819236e-01 -5.750303949857132890e-02 -5.599693878371707345e-02 -1.722784849628365353e-02 -1.881681462656216441e-01 -1.267908402394343215e-01 2.485061503208626787e-01 2.185800406163727061e-01 2.111078558900970070e-01 2.363920032353765410e-01
2.300000000000000000e+01 9.488639058017990513e-02 6.931749351899166994e-03 -1.850530984301080872e-01 -1.934960403313051858e-01 2.097571628450051462e-01 2.131327113349914815e-01 -5.249161792525116514e-04 1.555387522287760560e-01 -6.013923922926366419e-03 1.954581653577904532e-01 -8.389527264466603573e-02 -1.905089080335386209e-01 -1.240195383792436074e-01 1.686246190658773347e-01 -1.981226234241378059e-01 1.872034830285735363e-01 -8.459148090185719671e-02 -1.219125015865798328e-01 -2.925464324796275481e-02 -6.288682538332338035e-02 -1.537875804824985204e-01 2.048273656677061239e-01 1.733506484744616327e-01 1.632209427950671865e-01 1.890248846037557717e-01
2.400000000000000000e+01 8.702308475930865816e-02 -7.951587712945089315e-02 -2.372468637748780806e-01 -2.297071560731204776e-01 1.677718504054569737e-01 1.728587572602098554e-01 -4.003770566187738605e-02 1.106446070050178115e-01 -3.807559388448854970e-02 1.503994593981187733e-01 -9.524331457240911569e-02 -1.619237217853055355e-01 -5.122241955038732419e-02 1.252612711115546895e-01 -1.540149237137008464e-01 1.429754015728648131e-01 -1.328229352901649230e-01 -1.147172824603610031e-01 -2.375345547508065161e-02 -9.171598471809157271e-03 -1.312738221159125140e-01 1.616755120829299341e-01 1.303876373664170918e-01 1.185884377100027559e-01 1.429546822139679263e-01
2.500000000000000000e+01 3.208991250322654892e-02 -1.852342179972293890e-01 -2.334588870129111204e-01 -2.088615324291340503e-01 1.235313951093239687e-01 1.310269017563727156e-01 1.010026239928230041e-02 6.538000369420711444e-02 -5.281755824683870282e-02 1.043696298663736310e-01 -8.121832327408232133e-02 -8.304533118941816172e-02 3.852939602538108660e-02 8.025621721461591307e-02 -1.017573701864686181e-01 9.772968375972181099e-02 -1.703721528487580350e-01 -1.067114462719907786e-01 -2.635956147465104774e-02 -4.231995995531284693e-02 -8.775847490350044411e-02 1.154339048391083838e-01 8.395248810366549852e-02 7.307031384327877799e-02 9.699568129461533239e-02
2.600000000000000000e+01 -4.319897798921971954e-02 -2.763919762115815137e-01 -1.957810778811988894e-01 -1.916555015235561210e-01 8.012488022294489420e-02 8.937214835621684617e-02 7.105202885359498954e-02 2.130434455788816558e-02 -6.247205223521822698e-02 6.030794474641105324e-02 -4.365239953509339466e-02 -2.416146312369308810e-02 9.417452030218539938e-02 3.597325281257090362e-02 -8.721625871273362696e-02 5.418178198327988637e-02 -1.973195224514582846e-01 -1.569925624501238293e-01 -1.899223428692890445e-02 -4.949723393021810032e-03 -1.338612471274801818e-01 7.168244185404654134e-02 3.911295130674940362e-02 3.006420202838660030e-02 5.384287961742163092e-02
2.700000000000000000e+01 -1.434233716979441686e-01 -3.046636700773001083e-01 -1.687368049032571815e-01 -2.181229119543144357e-01 3.665911467368815346e-02 4.732724283274403199e-02 6.957284034985360133e-02 -2.103371359589171347e-02 -4.724518502361273881e-02 1.809682351164204617e-02 -5.257811373386001019e-02 1.183134837036247701e-02 1.220865126854565053e-01 -7.401017638839969826e-03 -1.028398392658141092e-01 1.188809427818799183e-02 -1.988066804597390380e-01 -2.177349828693496414e-01 4.256282408281420078e-03 1.025552909198750029e-01 -1.602859309979307867e-01 3.020855654949967245e-02 -2.883344476411302260e-03 -1.110951219323520582e-02 1.088737043253000872e-02
2.800000000000000000e+01 -2.131450143890839810e-01 -2.512706748103134546e-01 -1.372309047160157058e-01 -2.666180028264308888e-01 -4.716008577516522284e-03 7.187938620729213308e-03 5.786863630856176055e-02 -5.957944524286134386e-02 -4.339847592727044678e-02 -2.110119744795500851e-02 -4.739881630777058319e-02 -2.758095045408893303e-02 7.438224510863440664e-02 -4.754930171015415291e-02 -7.122139893518518450e-02 -2.708463983808833200e-02 -1.628433270400249655e-01 -1.644175094138937421e-01 2.195986630531129857e-02 8.271980725424217529e-02 -1.206088561962679745e-01 -7.973594399626342949e-03 -4.048103237579570024e-02 -4.936224305693639319e-02 -2.974703675379720275e-02
2.900000000000000000e+01 -1.771960611685174658e-01 -1.335271057966472275e-01 -1.676301604160893022e-01 -2.821539917390998853e-01 -4.496811597802861243e-02 -3.259885780543832906e-02 5.389887541871912768e-02 -9.831571850030429438e-02 -5.275752475273366715e-02 -5.992581648059624316e-02 -3.150556587896622546e-02 -1.173713795927917164e-01 -7.383267413600495821e-02 -8.732496920510679494e-02 -1.617482349889137055e-02 -6.542086714279111981e-02 -1.551772362511280035e-01 -9.280461110261559177e-02 3.070405591949270860e-02 -2.262577386314504335e-02 -1.077994594437432785e-01 -4.678980629781679529e-02 -7.856013573410601525e-02 -8.625077061635599840e-02 -6.879890889572122525e-02
3.000000000000000000e+01 -1.077070503739667173e-01 -8.947834144888755503e-02 -2.087111455140072680e-01 -2.521925457939090398e-01 -8.206722835380472758e-02 -7.001492978369698583e-02 7.945581723053742051e-02 -1.352452543107724170e-01 -5.348317958013115020e-02 -9.769585596438924713e-02 -2.772005040222872210e-02 -1.682850393455699867e-01 -1.543896675122397311e-01 -1.257551896221283383e-01 1.740693005936482657e-02 -1.006535215213262280e-01 -1.532614739566774409e-01 -7.003755510326427347e-02 2.253305275392115947e-02 -4.879683666273250398e-02 -1.044864401845053553e-01 -8.535497355782052653e-02 -1.157903042146955358e-01 -1.199443390749590083e-01 -1.052542550297206475e-01
3.100000000000000000e+01 -1.053534475998379877e-01 -9.994657682542881783e-02 -2.186768576767695038e-01 -2.672729298296829814e-01 -1.173854527675126380e-01 -1.042476426994798783e-01 8.815087484134208340e-02 -1.682404371126152154e-01 -5.747845555093501063e-02 -1.331073883969002281e-01 -2.907659175503227861e-02 -1.513469685005328080e-01 -1.568634854049190119e-01 -1.611244389288419843e-01 4.579643393111167138e-02 -1.343135279487602807e-01 -1.009011220768499806e-01 -6.540665468128349647e-02 4.290452627356514982e-03 -3.680629227118673019e-02 -9.558121963744674321e-02 -1.216551353073614533e-01 -1.508881665395356841e-01 -1.505139046402344527e-01 -1.397387738703855797e-01
3.200000000000000000e+01 -1.418482802338287829e-01 -6.892946329388890958e-02 -2.667106106986842362e-01 -3.235151919907559015e-01 -1.505605983915142554e-01 -1.358810632007828589e-01 3.852369989869600109e-02 -1.972837251812096238e-01 -8.253523281389044119e-02 -1.657947740068975162e-01 -6.165492788886577785e-02 -7.343448005971096870e-02 -1.521675817913189788e-01 -1.943647496154082555e-01 9.634567751062660113e-02 -1.656190153034540480e-01 -9.326614415577555439e-02 -9.236576316442784984e-02 -3.276120399874692807e-02 -5.640154481822101662e-02 -8.860001628910529892e-02 -1.563845888764241465e-01 -1.836968114272518882e-01 -1.784771423910043175e-01 -1.718716562943152226e-01
3.300000000000000000e+01 -9.984560202645988147e-02 1.880580601285299774e-02 -2.692008045103080893e-01 -2.946202203629258998e-01 -1.832174382269104729e-01 -1.670966141724004039e-01 -7.062592678200740881e-02 -2.254374417469588443e-01 -9.357000985208191457e-02 -1.988522080143103055e-01 -7.542777146263647536e-02 -4.002468528988891230e-03 -1.186256313776628546e-01 -2.259727072891987987e-01 1.228331022008835455e-01 -1.965897057860848673e-01 -9.512490632211516306e-02 -8.817071653487258687e-02 -1.014055502278494725e-01 -3.468252874786109663e-02 -4.072820740933400657e-02 -1.917065433481585923e-01 -2.160517216940695262e-01 -2.065113533128591083e-01 -2.036016285655017355e-01
3.400000000000000000e+01 -4.817942284970001127e-02 1.159100454116341883e-01 -2.050306542747762917e-01 -2.006343047113182676e-01 -2.151580709972451266e-01 -1.984073722799847284e-01 -1.038077033524362341e-01 -2.535513578817379932e-01 -9.915056257454947508e-02 -2.324665017033482606e-01 -2.690517427009988388e-02 5.743298208986386683e-02 -2.595185169201377068e-02 -2.576247047776894505e-01 1.751135428179850795e-01 -2.287321029071367195e-01 9.654068612406012211e-04 3.693010003261130991e-02 -2.197108242373204678e-01 -7.528691402712943403e-03 -1.994475923806662832e-02 -2.274410769057477189e-01 -2.483070755992113354e-01 -2.343858352764716380e-01 -2.357836959560008772e-01
3.500000000000000000e+01 3.200240675958677082e-03 1.932464087044978018e-01 -1.315065614408918726e-01 -9.022294203237431198e-02 -2.443171629289780655e-01 -2.281012343992414593e-01 -9.918460220268922323e-02 -2.791895199277237283e-01 -1.020585201758365951e-01 -2.635467665744478660e-01 -5.820274477331950636e-02 8.146500840478149152e-02 8.660925809269183484e-02 -2.861803658258488814e-01 2.049555709019528216e-01 -2.593178471013106168e-01 8.511666658285553522e-02 1.590656820565013452e-01 -2.092314692863207481e-01 2.793149088972667754e-02 -6.262854178125036586e-02 -2.596543718136378187e-01 -2.771096795131713364e-01 -2.598814603388686084e-01 -2.656604675881177879e-01
3.600000000000000000e+01 1.262898309015185114e-02 2.684780772081497568e-01 -8.838308130786108607e-02 -5.972497537588589145e-02 -2.720584388985055613e-01 -2.554229319875551130e-01 -6.594392102529529620e-02 -3.029206958572074337e-01 -1.162887731857720625e-01 -2.918271004032854110e-01 -1.175075763466319201e-01 6.011807809667629038e-02 1.301362771336072588e-01 -3.120909721149555671e-01 1.600887109060324942e-01 -2.885289663156637707e-01 7.656407898222315767e-02 1.728296842128467514e-01 -1.123631730637940362e-01 7.074771160629798883e-02 -6.616970276045600063e-02 -2.872811698008996273e-01 -3.019022174974927974e-01 -2.836517496323853194e-01 -2.930736619460563852e-01
3.700000000000000000e+01 2.064436888414629412e-02 2.542737875450855611e-01 -8.979195331755208953e-02 -8.218641543552591966e-02 -3.007373949259535828e-01 -2.828047309662333197e-01 -7.283488317451618232e-02 -3.269572200726315603e-01 -9.047507894708795018e-02 -3.193644685472553646e-01 -1.197357243722893538e-01 -1.787870671870944728e-02 1.260911578314559134e-01 -3.364786682047980482e-01 1.025524816046900767e-01 -3.170668432755344157e-01 1.013269005833644376e-01 1.398671120409555879e-01 -2.325353988563524932e-02 1.220877840000814257e-01 -3.233444643972078342e-02 -3.135969699533266986e-01 -3.262599027513833350e-01 -3.066708155811220804e-01 -3.186864447826758817e-01
3.800000000000000000e+01 1.213361792087012947e-02 1.382030600521710895e-01 -1.261307749525159005e-01 -1.096413663543582134e-01 -3.310451766855166955e-01 -3.117373482526643591e-01 -1.170990401710269441e-01 -3.520158246190719931e-01 -6.902666549474750779e-02 -3.476431802883439004e-01 -1.100037371277889642e-01 -1.246085199500393814e-01 1.202782096269668088e-01 -3.620402836701827054e-01 3.868734876313789650e-02 -3.473793099638836646e-01 5.367432377856706099e-02 1.250988667321056846e-01 8.111162519483235134e-02 1.162072254423957007e-01 9.499732758751074438e-03 -3.408201595042200660e-01 -3.525379961380159521e-01 -3.320827870700217566e-01 -3.452749896599073276e-01
3.900000000000000000e+01 3.568388429514785659e-02 1.051409003958809346e-01 -1.438082770643261399e-01 -1.770284811349869258e-01 -3.587767437862831033e-01 -3.401192573725640433e-01 -1.276709683067631385e-01 -3.731012047850117419e-01 -3.245013162962842590e-02 -3.731301261875550890e-01 -1.297094221472219200e-01 -2.198966123780738136e-01 7.296132945823187443e-02 -3.852620090993672530e-01 -1.676204170096508295e-02 -3.747060084281798598e-01 -7.035911590036944552e-02 7.195646445717228390e-02 1.934968499563383126e-01 6.446088923472320653e-02 5.110941011082896241e-04 -3.664569782281623667e-01 -3.766238082954007638e-01 -3.554084616933883001e-01 -3.692589336695992763e-01
4.000000000000000000e+01 1.003994635979923167e-01 1.613094719673296706e-01 -7.991060687257288409e-02 -1.766537543183861747e-01 -3.821165972275351597e-01 -3.655089285496095908e-01 -1.585199028346118422e-01 -3.909832351081402035e-01 -5.284768402081525818e-02 -3.947125035988121589e-01 -1.602820132552187915e-01 -2.252994245946114416e-01 3.811692295724635523e-03 -4.031897489012392088e-01 -6.176968836500915799e-02 -3.968784814172925390e-01 -1.331937134030158898e-01 -1.912400300323244869e-03 2.465816468079797819e-01 2.558928325141126767e-02 -1.291486697892190172e-01 -3.871427189879867448e-01 -3.949470174713577975e-01 -3.749423407907120365e-01 -3.897006895712654684e-01
4.100000000000000000e+01 1.053334260682139978e-01 1.224815700112236588e-01 -4.363644163318673719e-02 -1.255837292014525819e-01 -4.016317198295030200e-01 -3.871534512737173084e-01 -1.914150463120715406e-01 -4.066028197067027561e-01 -1.051509690584252060e-01 -4.136277559872675313e-01 -1.347708413201478828e-01 -1.338299538909894226e-01 -6.660421246270779860e-02 -4.168249587140815393e-01 -8.105808361038936705e-02 -4.151985255201215974e-01 -1.557515047625665783e-01 -6.992484537824571189e-02 2.368357155676973635e-01 3.279831121422668340e-03 -2.007145925529904840e-01 -4.027397892529203105e-01 -4.083817195546248779e-01 -3.920401815605344953e-01 -4.075516335683002644e-01
