# z	v_x(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 2.175583928816829141e-17
1.000000000000000000e+00 8.274869667898591130e-01 2.784349404016379231e-02
2.000000000000000000e+00 6.196204498295494467e-01 6.134987690411610600e-02
3.000000000000000000e+00 5.207193627566193417e-01 7.543442466280400605e-02
4.000000000000000000e+00 4.597879944294683829e-01 8.188737680800523000e-02
5.000000000000000000e+00 4.076869636454024115e-01 8.553341194652482049e-02
6.000000000000000000e+00 3.762935476618474717e-01 8.475175804995181694e-02
7.000000000000000000e+00 3.526082323850108780e-01 8.297459124462616686e-02
8.000000000000000000e+00 3.390292339755992534e-01 7.963242016686228331e-02
9.000000000000000000e+00 3.278248111637250828e-01 7.553420674544361613e-02
1.000000000000000000e+01 3.059846601468430571e-01 7.249539439952405739e-02
1.100000000000000000e+01 2.796392555345167952e-01 7.025693854548131778e-02
1.200000000000000000e+01 2.530004645017814857e-01 6.810760154489937934e-02
1.300000000000000000e+01 2.289032376595883378e-01 6.582654174836878591e-02
1.400000000000000000e+01 2.078956395640962906e-01 6.271488839719478736e-02
1.500000000000000000e+01 1.905262575528937630e-01 5.899317988413543823e-02
1.600000000000000000e+01 1.833879525094498641e-01 5.413318787553562939e-02
1.700000000000000000e+01 1.823547763560709745e-01 4.856855475823914498e-02
1.800000000000000000e+01 1.762893164718490613e-01 4.416300927707274282e-02
1.900000000000000000e+01 1.597217295889225286e-01 4.199785143115746661e-02
2.000000000000000000e+01 1.228144130627741304e-01 4.016413956078476039e-02
2.100000000000000000e+01 7.670118456703750587e-02 3.826566430172685662e-02
2.200000000000000000e+01 4.518291848891930335e-02 3.419781489447824840e-02
2.300000000000000000e+01 2.111558089546735836e-02 3.013959682541029333e-02
2.400000000000000000e+01 4.725612370761134379e-04 2.662251015375101740e-02
2.500000000000000000e+01 -1.309796101524489734e-02 2.215263608595180109e-02
2.600000000000000000e+01 -2.941806481118444672e-02 2.096419775441630759e-02
2.700000000000000000e+01 -4.765982407501517110e-02 2.179849667450965700e-02
2.800000000000000000e+01 -6.196839747286393002e-02 1.827949707810451116e-02
2.900000000000000000e+01 -8.059629611833708795e-02 1.358019412693514151e-02
3.000000000000000000e+01 -9.427717509070443480e-02 1.389918193668721394e-02
3.100000000000000000e+01 -1.051075083448688857e-01 1.523520029236769338e-02
3.200000000000000000e+01 -1.239702075390464037e-01 1.734627772489980360e-02
3.300000000000000000e+01 -1.303771519235127907e-01 1.927941331389258078e-02
3.400000000000000000e+01 -1.160939866269693060e-01 2.572952295017320520e-02
3.500000000000000000e+01 -1.013761572558025403e-01 3.242879656551358319e-02
3.600000000000000000e+01 -1.025419002513487110e-01 3.562477664464612503e-02
3.700000000000000000e+01 -1.124108245944868967e-01 3.705866401859501946e-02
3.800000000000000000e+01 -1.353677259853003079e-01 3.716046077350104726e-02
3.900000000000000000e+01 -1.618526867963697435e-01 3.794245875802144258e-02
4.000000000000000000e+01 -1.808787424582918857e-01 3.932447265862548669e-02
4.100000000000000000e+01 -1.956904892952955055e-01 3.897131773594190995e-02
4.200000000000000000e+01 -2.174804952328487639e-01 3.581687047759313930e-02
4.300000000000000000e+01 -2.243718304986114798e-01 3.595726494388041400e-02
4.400000000000000000e+01 -2.154526271076442623e-01 3.938599954210784265e-02
4.500000000000000000e+01 -2.209583608118232401e-01 4.047738364340007500e-02
4.600000000000000000e+01 -2.392993426761008680e-01 3.926759895076489815e-02
4.700000000000000000e+01 -2.491447671836231892e-01 4.047817442787097347e-02
4.800000000000000000e+01 -2.541503176826978017e-01 4.152517572290334580e-02
4.900000000000000000e+01 -2.550193360016197452e-01 4.127145126894794791e-02
5.000000000000000000e+01 -2.543926593068460140e-01 4.107666616958959016e-02
5.100000000000000000e+01 -2.432465115563282876e-01 4.372619738734571243e-02
5.200000000000000000e+01 -2.220860555346089449e-01 4.854627853650599068e-02
5.300000000000000000e+01 -1.937443221285500283e-01 5.560152574503650358e-02
5.400000000000000000e+01 -1.857753372131022984e-01 6.015942718387742166e-02
5.500000000000000000e+01 -2.050063921479433338e-01 6.082611928672261581e-02
5.600000000000000000e+01 -2.115666334753593392e-01 6.178826941689238156e-02
5.700000000000000000e+01 -2.029838507014765370e-01 6.300684278834314811e-02
5.800000000000000000e+01 -2.106499499968418898e-01 6.068367937065416440e-02
5.900000000000000000e+01 -2.199259396564739455e-01 5.958876586516921592e-02
6.000000000000000000e+01 -2.223535033834792840e-01 5.993707554217612976e-02
6.100000000000000000e+01 -2.330236852401461611e-01 5.972126984535021388e-02
6.200000000000000000e+01 -2.504559203533832656e-01 5.853988954502951925e-02
6.300000000000000000e+01 -2.573006421226030072e-01 5.935605823980033557e-02
6.400000000000000000e+01 -2.560416316060517006e-01 6.263447568093434559e-02
