# time	ksi
0.000000000000000000e+00 2.850000000000000000e+01
2.000000000000000000e+00 2.750000000000000000e+01
4.000000000000000000e+00 2.350000000000000000e+01
6.000000000000000000e+00 4.500000000000000000e+00
8.000000000000000000e+00 2.750000000000000000e+01
1.000000000000000000e+01 2.750000000000000000e+01
1.200000000000000000e+01 2.750000000000000000e+01
1.400000000000000000e+01 2.750000000000000000e+01
1.600000000000000000e+01 1.050000000000000000e+01
1.800000000000000000e+01 1.550000000000000000e+01
2.000000000000000000e+01 1.550000000000000000e+01
2.200000000000000000e+01 5.500000000000000000e+00
2.400000000000000000e+01 2.250000000000000000e+01
2.600000000000000000e+01 2.050000000000000000e+01
2.800000000000000000e+01 2.850000000000000000e+01
3.000000000000000000e+01 3.150000000000000000e+01
3.200000000000000000e+01 2.850000000000000000e+01
3.400000000000000000e+01 1.850000000000000000e+01
3.600000000000000000e+01 2.850000000000000000e+01
3.800000000000000000e+01 2.950000000000000000e+01
4.000000000000000000e+01 1.350000000000000000e+01
4.200000000000000000e+01 1.150000000000000000e+01
4.400000000000000000e+01 2.850000000000000000e+01
4.600000000000000000e+01 2.850000000000000000e+01
4.800000000000000000e+01 4.500000000000000000e+00
5.000000000000000000e+01 6.500000000000000000e+00
5.200000000000000000e+01 6.500000000000000000e+00
5.400000000000000000e+01 2.050000000000000000e+01
5.600000000000000000e+01 2.050000000000000000e+01
5.800000000000000000e+01 2.850000000000000000e+01
6.000000000000000000e+01 2.950000000000000000e+01
6.200000000000000000e+01 8.500000000000000000e+00
6.400000000000000000e+01 2.750000000000000000e+01
6.600000000000000000e+01 2.350000000000000000e+01
6.800000000000000000e+01 2.850000000000000000e+01
7.000000000000000000e+01 1.850000000000000000e+01
7.200000000000000000e+01 5.500000000000000000e+00
7.400000000000000000e+01 3.500000000000000000e+00
7.600000000000000000e+01 2.750000000000000000e+01
7.800000000000000000e+01 1.150000000000000000e+01
8.000000000000000000e+01 2.850000000000000000e+01
8.200000000000000000e+01 4.500000000000000000e+00
8.400000000000000000e+01 5.500000000000000000e+00
8.600000000000000000e+01 6.500000000000000000e+00
8.800000000000000000e+01 5.500000000000000000e+00
9.000000000000000000e+01 1.150000000000000000e+01
9.200000000000000000e+01 2.850000000000000000e+01
9.400000000000000000e+01 2.750000000000000000e+01
9.600000000000000000e+01 2.750000000000000000e+01
9.800000000000000000e+01 2.850000000000000000e+01
