# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	vx_33	vx_34	vx_35	vx_36	vx_37	vx_38	vx_39	vx_40	vx_41	vx_42	vx_43	vx_44	vx_45	vx_46	vx_47	vx_48	vx_49	vx_50	vx_51	vx_52	vx_53	vx_54	vx_55	vx_56	vx_57	vx_58	vx_59	vx_60	vx_61	vx_62	vx_63	vx_64	vx_65	vx_66	vx_67	vx_68	vx_69	vx_70	vx_71	vx_72	vx_73	vx_74	vx_75	vx_76	vx_77	vx_78	vx_79	vx_80	vx_81	vx_82	vx_83	vx_84	vx_85	vx_86	vx_87	vx_88	vx_89	vx_90	vx_91	vx_92	vx_93	vx_94	vx_95	vx_96	vx_97	vx_98	vx_99	
5.000000000000000000e-01 1.232909999987441618e-06 -2.685499999870444252e-07 -8.559875500001225962e-05 2.749630000005254448e-06 2.061676050000073605e-04 -1.263153100000067837e-04 -2.502439999989292028e-06 1.297332799999935545e-04 -2.373352000000750173e-05 -9.946899999999913862e-05 -1.165769999988697340e-06 1.023986799999988730e-04 -1.041626000000064759e-04 1.531990000012228875e-06 3.369139999983872392e-06 -4.504399999996166773e-06 -1.031489999991208573e-06 -2.319300000181101596e-07 1.434320000021216371e-06 -1.218587233333437268e-04 2.250569633333384550e-04 -1.043334900000104481e-04 5.981399999996028288e-07 1.029357900000036361e-04 -1.028991700000006000e-04 -1.297485299999834676e-04 1.314819299999953593e-04 -2.001950000010310882e-06 2.935790000003635101e-06 -3.833010000005288281e-06 -1.202389999991737467e-06 2.532959999996364844e-06 -1.232910000010178947e-06 -7.966613999999481164e-05 1.842681900000115922e-04 -2.540710500000159283e-04 1.528015200000027091e-04 -3.332520000003569383e-06 -5.916747999998506262e-05 5.933227000000443070e-05 1.336669999989226235e-06 5.310100000087913963e-07 -6.193238000000746959e-05 6.240234999999074426e-05 -2.734379999981229225e-06 3.796389999979510190e-06 -1.196289999984401280e-06 -1.531980000004295924e-06 3.967299999999340700e-07 -2.138367000000016723e-05 1.284794999992300296e-06 -3.963013500000443269e-05 -1.342700000009244808e-07 -3.668219999985922320e-06 1.831059999994977187e-06 3.766784500000994944e-05 2.516784499999857996e-05 -2.163390500002151465e-05 -2.465819999997620566e-06 2.786559499999725491e-05 1.014343300000177818e-04 -1.264160200000105628e-04 1.249450700000124908e-04 -1.280120850000116613e-04 4.214475000003403376e-06 -3.323059000000512211e-05 1.566619900000091594e-04 -1.237152100000002896e-04 -4.516599999999470695e-06 1.252044699999828510e-04 -1.229553249999867253e-04 4.669150000040645098e-07 -3.246459500001037496e-05 3.338317500000016340e-05 1.265991200000143998e-04 -1.563842750000048903e-04 2.683410499998899345e-05 -1.049804999979642221e-06 3.433229999996001573e-06 1.259643549999850582e-04 -1.256774899999925225e-04 -2.532949999931588782e-07 -4.763794999996662368e-06 4.144285000006675548e-06 7.018999999672814518e-08 2.984619999995175195e-06 -2.786254999995208054e-06 2.133179999998447012e-06 -2.932740000005651551e-06 1.264160199999992058e-04 3.234859999986383836e-06 -1.318481449999808286e-04 1.294128450000016654e-04 -1.273986850000028489e-04 1.782224999999470935e-06 9.857199999942167385e-07 -6.195049999973889028e-07 -2.996216000000231387e-05 2.738036999999167288e-05 3.283695000010311432e-06
1.500000000000000000e+00 -1.127166800000054512e-04 1.495349999913742088e-07 -1.387023500001305331e-05 -1.953199999888965938e-07 1.857971200000292785e-04 -8.189697000001388118e-05 -9.455261000001656188e-05 1.792144800000414727e-04 9.271239999975478080e-06 -9.020386000001963357e-05 -8.605999999872437535e-07 9.271240499999748997e-05 -1.864654549999841121e-04 5.157499999768333272e-07 2.850340000009055092e-06 8.828124999999999438e-05 -9.309692499999755520e-05 9.236450499998909028e-05 -9.129639000000225129e-05 -7.534179499998571957e-05 2.625579900000047859e-04 -1.887664850000191920e-04 9.381713999999874919e-05 9.411316000001761423e-05 -9.338074000000914931e-05 -1.080688500000064793e-04 1.097351100000196374e-04 -2.331540000011500462e-06 -9.076843499999541140e-05 -2.514650000011897565e-06 9.154357499999718831e-05 2.001959999995506293e-06 -1.629639999976007024e-06 -1.017028800000389265e-04 1.967865000000188012e-04 -2.188537650000057524e-04 1.274322550000306354e-04 -9.506225500002756900e-05 -4.744669833331727215e-05 1.399759933333257237e-04 7.324199999970914906e-07 4.028300000072704159e-07 -1.257019000000013994e-04 1.259033199999976275e-04 -2.032469999994645946e-06 -8.986816500000713423e-05 9.276733500001909999e-05 -9.390259000001605679e-05 1.525900000160618277e-07 9.404906999997137546e-05 8.972200000130215267e-07 -1.264648450000095128e-04 5.188000000089232143e-08 -4.617299999995338599e-06 2.749620000003005723e-06 3.033143000000109205e-05 9.648436499998069946e-05 -9.191588999995019239e-05 8.992003999996996328e-05 -8.718871499999636312e-05 1.846191399999952279e-04 -9.463501499999438802e-05 9.283447999998771353e-05 -9.650268999998843917e-05 -8.796386499998334137e-05 -3.425293000000237918e-05 2.188354500000059416e-04 -9.144897499999160052e-05 -9.633179000001063617e-05 1.847137549999843030e-04 -9.134827499998436628e-05 2.319300000181101596e-07 -1.258666900000207471e-04 3.429870000000505249e-05 1.869018549999964260e-04 -2.172485299999948373e-04 2.857971000001953004e-05 9.119872499995835971e-05 2.502450000019962520e-06 9.456482000000505613e-05 -9.459534000000075372e-05 -9.085083500002611237e-05 -4.718014999991737794e-06 2.819825000028686186e-06 9.234619499998188694e-05 3.570549999994909815e-06 -3.301999999985128114e-06 2.630620000002181937e-06 -9.409790500001236611e-05 1.852325450000080320e-04 3.048710000007304376e-06 -1.914825500000119857e-04 1.893676799999980060e-04 -9.599915000001146262e-05 -9.031982499998889762e-05 1.632694999989325820e-06 9.138488999999480849e-05 -1.227325500000233792e-04 2.776795000002039215e-05 9.519652999999834433e-05
2.500000000000000000e+00 -1.465332100000182305e-04 4.333500000029744084e-07 -1.342699999895557899e-07 -5.310099999860540673e-07 1.248504699999784969e-04 -2.420050000000628732e-06 -1.263000499999861735e-04 1.310821550000128006e-04 -4.748535000021547939e-06 3.482060000010278573e-06 -2.960300000040661133e-07 -4.363950000197291818e-07 -1.255126949999976164e-04 8.972200000016527564e-07 2.636710000001585173e-06 1.195129450000422384e-04 -1.247802750000118926e-04 1.241455049999785865e-04 -1.220458950000193017e-04 -3.146361999997680092e-05 1.567291249999925716e-04 -1.277313250000133794e-04 1.251312300000108769e-04 1.797480000004725199e-06 -2.166749999901185133e-07 -1.263519250000058418e-04 1.284545949999937875e-04 -2.636724999990747165e-06 -1.228820800000107868e-04 -2.899170000000594762e-06 1.244659400000102658e-04 2.066044999992300440e-06 -2.832039999987045895e-06 -1.196655250000048956e-04 1.215301549999821929e-04 -1.247955349999756364e-04 1.266815249999808689e-04 -1.264862149999999082e-04 -2.287291500003902809e-05 1.482421800000338478e-04 -6.835949999867807549e-07 2.349950000052558602e-07 -1.233215450000216143e-04 1.237365749999980776e-04 -7.171599999878708563e-07 -1.227813750000336863e-04 1.242828400000235050e-04 -1.246856699999852912e-04 -5.981399999882341643e-07 1.266509999999925775e-04 1.232904999983475037e-06 -1.262481649999927014e-04 3.662099999928614131e-07 -4.235840000001189662e-06 1.531980000004295924e-06 -1.635740000006080752e-06 1.272705100000166574e-04 -1.226684600000225956e-04 1.208679200000233273e-04 -1.190673800000070098e-04 1.235504099999957270e-04 -2.331540000000132010e-06 8.331300000008923456e-07 -3.384399999981724150e-06 -1.204681400000254200e-04 -4.638699999873097364e-07 1.031005899999968282e-04 2.265014500001143321e-05 -1.272827150000239147e-04 1.227813750000223021e-04 1.647950000005948748e-06 -3.814700000020821002e-07 -1.236816450000105658e-04 1.342799999974886353e-07 1.042968700000073985e-04 -1.011352499999929971e-04 -4.632570000035229725e-06 1.229827900000145659e-04 2.050785000005817134e-06 -2.053528499998265143e-05 2.098693999998317794e-05 -1.220489499999757746e-04 -4.400630000054661828e-06 2.197260000048118112e-06 1.029357899999922655e-04 3.234869999982947699e-06 -3.137209999988499482e-06 2.899170000000594762e-06 -1.048278800000048230e-04 1.023620600000072075e-04 2.404779999994843810e-06 -1.072387700000035696e-04 1.053711000000021123e-04 -2.136229999996430562e-06 -1.005310099999974293e-04 8.667000000173174813e-07 1.008300799999801734e-04 -9.756469999998671633e-05 -5.731200000025182576e-06 1.045959499999980850e-04
3.500000000000000000e+00 -3.190306999999847616e-05 5.981399999882341643e-07 2.014150000150038989e-07 -1.333615000021382097e-06 3.041686500002924740e-05 2.502499999991414337e-07 -3.457031500001903898e-05 1.301208449999876325e-04 -9.635009499997977689e-05 4.251099999987672967e-06 -1.367190000019036168e-06 -1.467889999958060749e-06 -3.061523500002749838e-05 2.807600000096499626e-07 2.536009999994348817e-06 2.713318000003255145e-05 -3.253174000001308666e-05 3.031310999999732358e-05 -2.756652000000485770e-05 -1.315314999999372900e-06 1.247650150000140506e-04 -1.258972100000164583e-04 3.243101999998998779e-05 9.179993000002468302e-05 -9.088440000001583624e-05 -3.399963499999785323e-05 3.538818499998797219e-05 -1.889034999976502195e-06 -2.891540500002065542e-05 -3.399659999990944784e-06 3.110046500000294333e-05 2.099609999993390223e-06 -1.748660000021118268e-06 -2.866821499997058637e-05 2.906799500001397928e-05 -3.154906999998275150e-05 3.248290999995333289e-05 -3.175048999999035025e-05 1.217650000012326978e-06 3.034973000001173364e-05 -8.026100000051883002e-07 -1.159650000090550798e-07 -2.981566999999358739e-05 3.000182499999937288e-05 1.525999998648330862e-08 -2.926635500000429455e-05 3.117981000000326943e-05 -3.191223500000432825e-05 -9.338399999933244304e-07 3.371887499999957135e-05 1.432800000000042931e-05 -4.674682499999107511e-05 1.315314999988004236e-06 -3.851324999993721717e-06 8.850100000017846538e-07 -1.068109999994248911e-06 3.330077499999788208e-05 -4.953306999996130050e-05 6.056517999994639236e-05 -3.866576999999437871e-05 4.286499000002095530e-05 -2.996829999983674527e-06 1.800539999931061260e-06 -1.606750999994801480e-05 -4.766540000000531874e-05 1.342799999974886353e-07 8.371276499999567009e-05 -1.885071500000776558e-05 -6.719971000002260600e-05 6.213380000003780948e-05 1.165769999988697340e-06 1.104729999951814592e-06 -6.356809999995220576e-05 -4.333599999995385365e-07 8.646545499999547788e-05 -8.306579499999315575e-05 -4.235839999955715004e-06 6.220092999992630621e-05 2.502440000034766686e-06 2.139892000000145428e-05 -2.056885000000647685e-05 -6.196288000002140748e-05 -4.534919999969133384e-06 2.630619999945338403e-06 8.305054000004474693e-05 3.051749999997355186e-06 -3.100579999994579295e-06 2.899164999990944166e-06 -8.569945500000812329e-05 1.234008700000231316e-04 -3.806761999999252842e-05 -8.759764999999788558e-05 8.668211499996231965e-05 -3.268424999987473620e-06 -8.031310999999163392e-05 8.300799999801711495e-07 8.200377500002104783e-05 -7.917175500001575824e-05 -5.999739999981557303e-06 8.593748999999775815e-05
4.500000000000000000e+00 -4.028300000300077978e-07 6.347600000481179309e-07 9.338400000160618652e-07 -2.014200000303389861e-07 -4.669190000004164282e-06 1.068119999945338328e-06 -1.770019999912619780e-06 9.736938499995630885e-05 -9.589843499999233499e-05 4.998779999971248080e-06 -2.801519999957236174e-06 -2.099610000016127552e-06 3.167729999961466093e-06 -4.638699999645723546e-07 2.563479999969331454e-06 -4.364019999957235613e-06 -9.643499999583583014e-07 -2.203370000097493032e-06 5.603030000020226253e-06 -1.239019999957236099e-06 9.263610999996672141e-05 -9.380187999995541134e-05 6.714000001011299536e-08 9.201659999998809669e-05 -9.168091000001368708e-05 -7.324199999857228261e-07 1.800539999976535918e-06 -1.336669999955120241e-06 3.833009999925706994e-06 -3.735359999961929269e-06 -1.531980000015664800e-06 1.635740000006080752e-06 -1.269529999990481957e-06 4.101559999980963353e-06 -3.765860000021348169e-06 1.367180000033840757e-06 3.662099999928614131e-07 9.766000001718566554e-08 2.532960000019102173e-06 -2.929690000019036031e-06 -1.269529999990481957e-06 5.004900000130874567e-07 1.733400000011897634e-06 -2.697760000046400873e-06 -3.051699999900847636e-07 3.802489999941371931e-06 -7.324199999857228261e-07 8.972100000391946746e-07 -1.831049999964307118e-06 1.300049999952079903e-06 -1.883239999996248946e-05 1.823424999997769164e-05 1.629640000010113017e-06 -3.564450000021679622e-06 1.397700000006807368e-06 -6.286599999839382097e-07 6.103999994593323448e-08 -1.794433999993998573e-05 -3.817745000014837970e-06 2.643127499998741017e-05 -2.526245500000641139e-05 -3.875749999679101052e-07 2.014149999922665170e-07 1.894836500000565205e-05 -1.723022500000297294e-05 1.065064999988862855e-06 -2.346800000009352644e-06 6.439199999931588440e-07 -7.324249999783205315e-07 -5.062864999990779556e-06 3.063964999989821100e-06 2.517704999957004586e-06 3.662050000343697540e-07 -9.979249999901185772e-07 9.155300000202260282e-07 2.447509999979047082e-06 -3.930664999984401464e-06 -2.352904999997917872e-06 3.503419999969992072e-06 -9.338399999933244304e-07 5.004900000017186864e-07 2.532959999996364844e-06 -4.635619999999107916e-06 3.219600000011268984e-06 -1.635740000028818081e-06 3.283690000012029288e-06 -3.134155000003602242e-06 2.951050000001487282e-06 -7.324199999629854972e-07 1.125335699999823147e-04 -1.134674099999983784e-04 -2.032469999994645946e-06 1.751704999969661002e-06 -2.169799999990118475e-06 3.152469999997720116e-06 1.748660000043855597e-06 -3.567505000046367082e-06 5.468749999999999944e-06 -5.166629999996530754e-06 7.324250000067422985e-07
5.500000000000000000e+00 -6.164500000068074361e-07 -4.180899999937537213e-07 1.550295000015466901e-06 -1.766970000016954211e-06 -2.233890000024984985e-06 1.217650000035064306e-06 -2.651974999980666184e-06 1.480101999995895359e-05 -1.211851999998998534e-05 3.869620000000395456e-06 1.001891999999315898e-05 -2.233879999994314916e-06 -1.045227499998873088e-05 1.678549999951428648e-07 2.499379999994744191e-06 -3.164669999978286709e-06 -2.334595000002082141e-06 -4.669150000154331743e-07 4.483030000028520958e-06 -3.033450000020821071e-06 1.336365000001933305e-05 -1.313171000001602825e-05 8.331250000082946403e-07 1.030273500000475986e-05 -9.387205000030007858e-06 -2.313235000019631313e-06 3.451540000037311962e-06 -2.087404999997488597e-06 3.332520000003569383e-06 -4.046630000016193489e-06 1.831050000021150388e-07 5.676299999890944058e-07 -1.333620000013979802e-06 2.767945000050531419e-06 1.062926499994318877e-05 -1.378478499996163062e-05 2.935794999984864353e-06 -1.217659999997522388e-06 1.116949999982352869e-06 -3.143299999919691049e-07 -8.178749999842694167e-07 2.472000000125262839e-07 4.669200000080309326e-07 -1.449589999992895087e-06 1.118163499996853667e-05 -9.362784999996164812e-06 8.819499999844992767e-07 5.340649999993729688e-07 -2.548214999967513115e-06 2.181999999970685067e-06 2.236945000026935116e-06 -3.735360000018772379e-06 2.472000000125262839e-07 -2.581785000018044138e-06 1.416015000000925242e-06 -1.007099999924321244e-07 1.147455000000263692e-06 2.569584999992002887e-06 -8.538825000005091030e-06 9.622194999991506414e-06 9.667970000032255896e-06 -1.206665000004249979e-05 1.183470999999371948e-05 -1.416625500000918737e-05 3.582765000055587716e-06 -2.502500000218788156e-07 5.493200000046272333e-07 1.101685000003271858e-05 -1.391602000003331377e-05 8.349610000004759823e-06 -9.286500000007435197e-06 2.383424999970884483e-06 -9.338349999666206258e-07 8.544949999929940874e-07 1.261595499997838480e-05 -1.163634499997670030e-05 -2.697749999981624600e-06 -1.150515000017549069e-06 3.201290000015433252e-06 1.155089999998608645e-05 -1.165160500000297382e-05 9.826700000303389706e-07 -4.885869999998248874e-06 4.104614999960176579e-06 -9.674049999830457614e-07 2.447504999986449377e-06 -2.230829999996330943e-06 2.963254999997388909e-06 -1.013185000010707876e-06 9.317010000017944996e-06 1.898200000027827670e-06 -1.519775000006120521e-05 1.526489000007131964e-05 -1.514893000003212320e-05 2.447509999996100396e-06 2.517704999991110367e-06 9.817505000012260752e-06 -9.750365000002148022e-06 -3.515624999999999904e-06 1.882935000003271790e-06
6.500000000000000000e+00 -1.037600000245220115e-07 -2.264409999952476937e-06 2.630620000036287719e-06 -1.127930000002379543e-05 7.916260000001785203e-06 1.263430000017251551e-06 -3.631590000077267010e-06 1.294494600000234647e-04 -1.252197299999920771e-04 1.837160000025050915e-06 1.244659449999744672e-04 -1.617434999991473850e-06 -1.247528100000067661e-04 3.662000000304033181e-08 2.532959999996364844e-06 -2.398679999987507412e-06 -3.833010000016656310e-06 1.068120000036287856e-06 3.430169999955978655e-06 -1.153258999997888142e-05 1.367492700000184382e-04 -1.282806400000026858e-04 1.794429999972635444e-06 1.238037199999780617e-04 -1.215332099999841346e-04 -4.364009999949303297e-06 4.730219999953533216e-06 -3.497309999954722933e-06 3.228760000001784766e-06 -3.363040000033379527e-06 8.972200000016527564e-07 -1.281800000128896448e-07 -1.202389999980368803e-06 -6.683350000002974073e-06 1.338653549999890065e-04 -1.371673550000195843e-04 1.228638000006867583e-05 -2.001960000040980951e-06 -7.418819999986680978e-06 8.822629999986020155e-06 1.281799999560462431e-07 -1.953199999661592384e-07 -1.037600000017846429e-07 0.000000000000000000e+00 1.245178249999980729e-04 -1.245483350000313374e-04 1.531980000072508122e-06 3.051999997296661724e-08 -2.264409999997951595e-06 2.801519999979973503e-06 2.166740000006939091e-06 -4.235840000001189662e-06 -1.202389999980368803e-06 -1.263430000017251551e-06 -6.951900000001387745e-06 7.751459999997222560e-06 3.033450000020821071e-06 5.310099999405793036e-07 -1.470949999963977462e-06 3.674320000015996047e-06 1.228668199999901765e-04 -1.253021300000000369e-04 1.265533450000020700e-04 -1.280853249999836354e-04 3.631589999986317694e-06 -2.532959999996364844e-06 2.465819999986251689e-06 1.246856700000080324e-04 -1.379486049999741244e-04 1.322296149999601755e-04 -1.223663299999884632e-04 9.033199999635143916e-07 -1.342799999633825890e-07 1.232909999998810283e-06 1.252990750000094523e-04 -1.352661200000056891e-04 7.531744999960210629e-06 -4.333500000029744084e-07 2.368160000060015459e-06 1.039977999999791856e-04 -1.032287600000017828e-04 -1.202389999980368803e-06 -3.668209999977989157e-06 4.736329999923327697e-06 -2.014199999848642488e-07 8.667000000173174813e-07 -1.531980000004295924e-06 3.533930000003237930e-06 -3.436279999993985123e-06 1.033691399999952452e-04 2.367859000000862609e-05 -1.298797599999943419e-04 1.077026400000249880e-04 -1.068054200000460722e-04 1.135250000015730518e-06 2.435309999964374708e-06 1.034667900000386004e-04 -1.039672800000516844e-04 -2.435309999953005832e-06 3.601079999998546494e-06
7.500000000000000000e+00 -5.859449999775279481e-07 -1.913440000043919942e-06 1.898190000065369588e-06 -8.999633499997799070e-05 1.259979200000088803e-04 2.166744999976799467e-06 -4.320068000001811283e-05 1.577331499999218148e-04 -1.535522449999575736e-04 8.514400000080968471e-07 1.528320299999450091e-04 -1.446529999952872380e-06 -1.522186299999930359e-04 1.861649999909786753e-07 2.029414999992695814e-06 3.698425500001576279e-05 -4.351501999999527761e-05 4.166565000000445855e-05 -3.753662499998426969e-05 -8.921508000003087026e-05 2.425994849999824488e-04 -1.552307099999779890e-04 9.490949999872100303e-07 1.519988950000424792e-04 -1.111480650000430681e-04 -4.210205500003212105e-05 4.355163500003982475e-05 -4.220275500006209643e-05 2.349855000056777433e-06 -2.947999999992134857e-06 3.938598500000694327e-05 8.636549999778253260e-07 -4.043275000003632088e-05 -8.593138999999609814e-05 2.399780250000730958e-04 -2.426452650001010647e-04 8.059998250005264776e-05 2.663267750002660202e-05 -1.056335399999966325e-04 1.275512700000035822e-04 -7.995600000413105323e-07 -3.876952999994500804e-05 8.545000000594881911e-08 3.899841499996909707e-05 1.139007500000047861e-04 -1.521148600000401629e-04 3.938293000001067334e-05 -3.811949999997068573e-05 -2.349859999981163152e-06 4.070128999998132673e-05 2.349854999954459241e-06 -4.211729999997260095e-05 1.676941000000624747e-05 -2.060242499999276247e-05 -8.562927500000227870e-05 1.055298000000220776e-04 2.433165499996903220e-05 -2.010193500000241287e-05 -3.198239999983343498e-06 4.968259999998281470e-06 1.322479249999901200e-04 -1.344451850000496129e-04 1.356475800000680446e-04 -1.160644499999307293e-04 -1.768493000017770016e-05 -3.131099999905018357e-06 1.861559999929340778e-06 1.349029550001432597e-04 -2.456329350001396723e-04 2.402313250001043409e-04 -1.315643250000448369e-04 1.196279999930993671e-06 -1.952999999161875277e-07 0.000000000000000000e+00 1.468322600000760813e-04 -2.537353400000938301e-04 1.054015999999137422e-04 -5.676199998561060395e-07 2.563480000026174988e-06 1.251708949999283589e-04 -1.257324149999874540e-04 2.319200000783894332e-07 -4.034420000152750101e-06 3.936760000124195255e-06 -4.808959500005585079e-05 4.898681499998929113e-05 -9.643399999845315552e-07 3.295879999996032018e-06 -3.295879999984663141e-06 1.256469649999871819e-04 2.335204499991050501e-05 -1.516357299999072103e-04 1.291503799999645682e-04 -1.278503399999635852e-04 7.324199999857228261e-07 2.398680000010244740e-06 1.253021249999846883e-04 -2.083801250000078562e-04 7.984924000001001926e-05 2.966319999995903327e-06
8.500000000000000000e+00 -1.300054999956046273e-06 -8.483850000629900382e-07 1.611325000067154239e-06 -4.638650000742927882e-07 1.244354300000850421e-04 -7.168585000090388657e-06 -1.208984349999809622e-04 1.314971900000273266e-04 -1.297668400000134121e-04 2.835079999988465581e-06 1.270355199999357763e-04 -9.033199999180397337e-07 -1.272491450000302264e-04 3.410605131648480593e-17 2.783204999980171190e-06 1.152496349999637513e-04 -1.220977849999144301e-04 1.200805749999744892e-04 -1.163330149999637809e-04 2.014199999507582025e-07 1.274993899999458241e-04 -1.285797149998870728e-04 -5.340550000255462226e-07 1.282775900000160656e-04 5.676199999470554610e-07 -1.286987299999964394e-04 1.306701699999962248e-04 -1.520385800000099172e-04 2.401733999995485721e-05 -3.549194999936844282e-06 1.277313249999963304e-04 1.800540000056116781e-06 -1.520019600000523498e-04 2.651977499999702662e-05 1.264160150000861787e-04 -1.510620099999869070e-04 1.397709999946528120e-06 1.249999499996192781e-05 -1.146850500008440588e-05 1.471679700000095095e-04 2.319299999726354223e-07 -1.287658699999155926e-04 -2.033080999990488760e-05 1.481994699999631922e-04 9.643499999469896369e-07 -1.469299300000670981e-04 1.468322800001260373e-04 -1.472656300000494366e-04 -2.166750000094452693e-06 1.505676300000914256e-04 2.197270000056050851e-06 -1.516662699999869756e-04 1.348266999993938983e-05 -1.798706000001857360e-05 4.040529999997488637e-06 1.239623999995274005e-05 1.380310000001372806e-04 -1.335144000000582185e-04 -4.016110000020489973e-06 4.452509999987341937e-06 1.345123300000295699e-04 -1.376159700000243976e-04 1.374511799999709246e-04 -1.965339999878778886e-06 -1.334533700000974934e-04 -1.867669999978716121e-06 1.169189449999294043e-04 2.123412500013728262e-05 -1.530334400000356299e-04 1.479003899999952333e-04 -1.340850850000379203e-04 2.182009999955880478e-06 -8.300849999614001904e-07 -3.021199999864165642e-07 1.556671150000283927e-04 -1.675659150000228788e-04 9.716789999993124651e-06 -8.148199999595817449e-07 3.878784999960771192e-06 1.557037349999973170e-04 -4.193420500000115479e-05 -1.137695299999904837e-04 -4.132074999961332682e-06 2.969359999951848356e-06 1.158660849999250723e-04 -1.139160149999156552e-04 -1.968379999993885641e-06 1.180511399999886648e-04 -1.166168150000089504e-04 1.545684800000117444e-04 1.412960000038765331e-06 -1.597320550001313699e-04 1.581848200001331859e-04 -4.141846000004534051e-05 -1.142822300000091246e-04 2.465824999944743613e-06 1.546661350000704210e-04 -1.667999300000246900e-04 9.667975000024853178e-06 1.168792749999852303e-04
9.500000000000000000e+00 1.133118499994907282e-05 -1.429443999995783061e-05 1.489867999998750674e-05 -1.465453500004514427e-05 9.511718500007190660e-05 -8.312988000006952822e-05 -1.443481499991321517e-05 1.405822749999970209e-04 -1.262512200000173843e-04 -8.779909999952906089e-06 1.172821000000112755e-04 1.726684999994177041e-05 -1.360839799999666799e-04 -8.819650000305045912e-07 3.283695000050102075e-06 7.815549999941139755e-06 -1.934810000057041262e-06 9.338300000308663486e-07 -9.533684999951219896e-06 -1.632690000019465443e-06 1.199005149999493434e-04 -1.071960499999477127e-04 -5.371100000047590248e-07 1.070678699999916684e-04 -8.420104500000888924e-05 -3.603210999999646703e-05 1.226684650000152031e-04 -1.294220000000223026e-04 2.275085000001126812e-05 -3.332520000003569383e-06 1.057678200000168546e-04 -8.258361500005548500e-05 -4.405212499996196448e-05 1.082153500001368167e-05 1.194152849999227309e-04 -1.292175299999143915e-04 1.681519999965530668e-06 -1.614379999978155054e-06 3.182984999989457898e-06 4.035033999998632041e-05 8.438415499995244535e-05 -1.085327199998573663e-04 -1.901855000014620573e-05 4.176636000001962849e-05 8.535156000006054091e-05 -1.247009249999678118e-04 4.008483999996315296e-05 -4.030457000000069618e-05 -1.696774999970784932e-06 1.278808599999820103e-04 2.099609999936547113e-06 -1.295837399999982180e-04 8.361800000784569699e-07 -5.236815000034767081e-06 4.421995000006972609e-06 -2.136230000019167891e-06 4.578551999993578679e-05 -4.096984499992686218e-05 -3.881834999981492917e-06 3.936764999997421877e-06 1.263275149999344607e-04 -1.296966549999524422e-04 1.290985050000927037e-04 -8.731383500007722893e-05 -3.918762499997683100e-05 -2.600100000017846451e-06 1.299011199999768084e-04 8.361899999727029591e-07 -1.300842299999203510e-04 1.248840299998846487e-04 -1.261016849999236906e-04 1.931765000028917665e-06 -9.307850000141115223e-07 -1.052855000011731976e-06 1.295532200000252480e-04 -1.264495850000230278e-04 -4.071045000023332624e-06 -2.297975000055885337e-06 5.767820000073697572e-06 1.281494150000185171e-04 -8.708495500001162885e-05 -4.064636500002052048e-05 -4.568485000072541783e-06 1.547240000127203626e-06 4.558410999998159247e-05 -4.270019500002035712e-05 -2.130129999989094163e-06 1.307312000000024322e-04 -1.281158399999412839e-04 1.262542699999357810e-04 -8.403625000000829106e-05 -4.743652500001189977e-05 4.685058499999285845e-05 -2.099609999982021771e-06 -4.159850999998866223e-05 2.630610000062461185e-06 4.221801999992748995e-05 -4.090270500000770215e-05 -3.894049999985327284e-06 1.294281050000051995e-04
