# r	stdNi	stdCo	stdCr
5.334264270796764151e+01 9.266524046418492255e-03 7.511998202804214160e-03 8.360264737791814685e-03
3.556176180531176101e+01 1.218011920649839444e-02 1.076804340912757355e-02 1.179334935769297925e-02
2.667132135398382076e+01 1.531523833435547571e-02 1.614884077679439728e-02 1.464523392175097992e-02
2.133705708318705518e+01 2.183204147526003613e-02 2.152732036474403615e-02 2.127173024847157923e-02
1.778088090265588050e+01 2.722308454843399075e-02 2.683191220270286781e-02 2.592831770315549497e-02
1.524075505941932640e+01 3.231481135371866431e-02 3.301387027085912057e-02 3.164425967497555559e-02
1.333566067699191038e+01 3.775667771364437514e-02 3.923319418382271301e-02 3.714408279165007376e-02
1.185392060177058760e+01 4.580641000421905445e-02 4.518474333158958162e-02 4.203001189165738588e-02
1.066852854159352759e+01 5.183120971180699837e-02 5.277244793419373636e-02 5.078867368651136111e-02
9.698662310539571507e+00 5.868446548694196407e-02 5.688745866609690172e-02 5.462455463647057641e-02
8.206560416610406250e+00 7.434432902559695577e-02 7.452272365522637221e-02 7.303642063499825310e-02
7.620377529709663200e+00 8.361604647449119576e-02 8.001483426928711340e-02 7.839667835516868355e-02
6.667830338495955189e+00 1.030117399860180777e-01 9.944896245133200141e-02 1.015631938002621304e-01
5.926960300885293798e+00 1.210537665948765856e-01 1.178373834743859649e-01 1.153694678274915508e-01
5.334264270796763796e+00 1.474038423545140364e-01 1.348897399412621045e-01 1.383757550752294785e-01
4.638490670258056170e+00 1.768910311122923185e-01 1.675299893282874153e-01 1.670991477592842778e-01
4.103280208305203125e+00 2.023435025332181447e-01 1.882532278131395787e-01 2.025832577372393695e-01
3.678802945377078526e+00 2.696466775483585820e-01 2.387648582410405729e-01 2.407529412644458799e-01
3.333915169247977595e+00 3.262987552969415228e-01 3.164658107521253205e-01 3.160644761050434015e-01
