# r	h_0	h_1	h_2	h_3	h_4	h_5	
2.310132385072164141e+01 2.793126559058055136e+02 2.745235991058052605e+02 2.757259345058064355e+02 2.744979491058056738e+02 2.767712845558062327e+02 2.778972870058059925e+02
2.410132385072164141e+01 2.794035201058050006e+02 2.742239308058060487e+02 2.750757337058057601e+02 2.741736674558060258e+02 2.768290744058049313e+02 2.773763575558059529e+02
2.510132385072164141e+01 2.795655074558062552e+02 2.759325801391390200e+02 2.743942809058062267e+02 2.747573027558055401e+02 2.772038521558051798e+02 2.773560614058060310e+02
2.610132385072164141e+01 2.789128528058063239e+02 2.774725527558057365e+02 2.752322192058054497e+02 2.754067501558056392e+02 2.775844035058053123e+02 2.776781726058052300e+02
2.710132385072164141e+01 2.783223519058046804e+02 2.771223254058058956e+02 2.757944722058064144e+02 2.757465186058052495e+02 2.769379554058050417e+02 2.770023646058052691e+02
2.810132385072164141e+01 2.777551761058057309e+02 2.768054757058052928e+02 2.759711032058057754e+02 2.751403155058051198e+02 2.766653886558051454e+02 2.763299260058065556e+02
2.910132385072164141e+01 2.773235984058046597e+02 2.772731833058060147e+02 2.767352948058060065e+02 2.747641120058051456e+02 2.771862998058059020e+02 2.765815864058058651e+02
3.010132385072164141e+01 2.768694014058055473e+02 2.762538619058059339e+02 2.774768748058058918e+02 2.741164183558057630e+02 2.765706687058063835e+02 2.768714423558058115e+02
3.110132385072164141e+01 2.772406732058055354e+02 2.752217338724731235e+02 2.771303381558054753e+02 2.734509807058057049e+02 2.759370284058059042e+02 2.772011389558047085e+02
3.210132385072164141e+01 2.765368867058059550e+02 2.742245745808058928e+02 2.759212292058055027e+02 2.729952807058052713e+02 2.751911826058058068e+02 2.765239291058060189e+02
3.310132385072164141e+01 2.762538151558073878e+02 2.735681968058052007e+02 2.761553359058052592e+02 2.734952664558059041e+02 2.745401874058061367e+02 2.761277976058045169e+02
3.410132385072164141e+01 2.761981724391395687e+02 2.740998539558058837e+02 2.755270056558056240e+02 2.731138015058040764e+02 2.749932189058063159e+02 2.755250001058066118e+02
3.510132385072164141e+01 2.757455768558047566e+02 2.749734120058055851e+02 2.749508815058070468e+02 2.727605310058061150e+02 2.748836112058052095e+02 2.748279490058048395e+02
3.610132385072164141e+01 2.743898622391388926e+02 2.758724724058047286e+02 2.743317189058052463e+02 2.732015929058052279e+02 2.743585982058066293e+02 2.736136756391388190e+02
3.710132385072164141e+01 2.727626929058060341e+02 2.760306531724721140e+02 2.737316813058059779e+02 2.726711841058058781e+02 2.740779995558059454e+02 2.725199275058075727e+02
3.810132385072164141e+01 2.719816718558049615e+02 2.773028979058071855e+02 2.741841197058074613e+02 2.720418696058059140e+02 2.744453158558062569e+02 2.719584541058047762e+02
3.910132385072164141e+01 2.726843696058058413e+02 2.766796431558068434e+02 2.738624358058041253e+02 2.721512732058072288e+02 2.738829398058041988e+02 2.726469740558059129e+02
4.010132385072164141e+01 2.734091868558043643e+02 2.760220256058055384e+02 2.742349982308060135e+02 2.725168671558058122e+02 2.734948783058061963e+02 2.735373015058066812e+02
4.110132385072164141e+01 2.741692728558045928e+02 2.757326598558065598e+02 2.757326264558068942e+02 2.730803161058065598e+02 2.736544750724727351e+02 2.735923673058059649e+02
4.210132385072164141e+01 2.747294269058074860e+02 2.762568707558057213e+02 2.760357394058064529e+02 2.736582351058059430e+02 2.748286968058055209e+02 2.747672305058040365e+02
4.310132385072164141e+01 2.741216426058053912e+02 2.754048886058044445e+02 2.753000655058058328e+02 2.729322247558066010e+02 2.743065562058072828e+02 2.744929948058070295e+02
4.410132385072164141e+01 2.746506515058063087e+02 2.757542491058065934e+02 2.751489072058066085e+02 2.731767163058066217e+02 2.736585088558058487e+02 2.751551504558046872e+02
4.510132385072164141e+01 2.753684926058049314e+02 2.772862696558058815e+02 2.755052905058073520e+02 2.746759443308055779e+02 2.730739856058062287e+02 2.762006443391389325e+02
4.610132385072164141e+01 2.759494376058064518e+02 2.786819186558059300e+02 2.760962863058048242e+02 2.760613103058058186e+02 2.724992108058049780e+02 2.767490173058067739e+02
4.710132385072164141e+01 2.756057754058056162e+02 2.783869205058072112e+02 2.757183738058047311e+02 2.757766871058047400e+02 2.718618866058059211e+02 2.765180821558060416e+02
4.810132385072164141e+01 2.752211661558067135e+02 2.781343054558055883e+02 2.754145436058061023e+02 2.750069842558041273e+02 2.722396607558057440e+02 2.763011317058044369e+02
4.910132385072164141e+01 2.755649390058042627e+02 2.785658965058064496e+02 2.760413546558047528e+02 2.735576402058056260e+02 2.727191138058042270e+02 2.756953063558066788e+02
5.010132385072164141e+01 2.757149234058051661e+02 2.782787089058056154e+02 2.763016428558057669e+02 2.725426269058043545e+02 2.730655894058054400e+02 2.758757796058052918e+02
5.110132385072164141e+01 2.757855954058068164e+02 2.784039435058075469e+02 2.752047610058052669e+02 2.721147380058064300e+02 2.733968510558061098e+02 2.756781497058073001e+02
5.210132385072164141e+01 2.750561290058067243e+02 2.779072452058062481e+02 2.739466967558055330e+02 2.719760494558067876e+02 2.727844462058073987e+02 2.754201912558055483e+02
5.310132385072164141e+01 2.748054003558045224e+02 2.774815173058050277e+02 2.733711200058060058e+02 2.726945967558058328e+02 2.734475245058056316e+02 2.758881030058073520e+02
5.410132385072164141e+01 2.755236583058049291e+02 2.765044658724715987e+02 2.731087384058064345e+02 2.730369410058046924e+02 2.730560221058076422e+02 2.754768729058050667e+02
5.510132385072164141e+01 2.757850118058049702e+02 2.765251203058069223e+02 2.733127942058054032e+02 2.736013712558051338e+02 2.742727167058049531e+02 2.760596766558046511e+02
5.610132385072164141e+01 2.753171687058056705e+02 2.761016994058045384e+02 2.726776538058074948e+02 2.729797120058046858e+02 2.749133830058053718e+02 2.756381078558060835e+02
5.710132385072164141e+01 2.746936316058054217e+02 2.751776194558060524e+02 2.731541457558068942e+02 2.731690878558056284e+02 2.753924317558066832e+02 2.750689368058046966e+02
5.810132385072164141e+01 2.753838858558046923e+02 2.754247384058053285e+02 2.737423482058056834e+02 2.729764285058045061e+02 2.759742026058047486e+02 2.758432068558067840e+02
5.910132385072164141e+01 2.737701456858048914e+02 2.760096602058056305e+02 2.735611987058073282e+02 2.725607886058060103e+02 2.762299981058058620e+02 2.760395572724725639e+02
6.010132385072164141e+01 2.725882868558073824e+02 2.757104964058053156e+02 2.730230708058043092e+02 2.718898096058055671e+02 2.755934482058073627e+02 2.758882538058060163e+02
6.110132385072164141e+01 2.726341414058042574e+02 2.754062304558083270e+02 2.726774421058071312e+02 2.725512804558056814e+02 2.752441840058054368e+02 2.751111951058064733e+02
6.210132385072164141e+01 2.724321208308065252e+02 2.759721045058031450e+02 2.733208775558050547e+02 2.734389520058048220e+02 2.746210017058056110e+02 2.744374309058075596e+02
6.310132385072164141e+01 2.716013961058051791e+02 2.755060363058073563e+02 2.740067277058042237e+02 2.739487433058056922e+02 2.739641356058054953e+02 2.740406222058045387e+02
6.410132385072164141e+01 2.721268325058044866e+02 2.760803380558063509e+02 2.746238847058048123e+02 2.733201613058063231e+02 2.736440024058065319e+02 2.735869479058055731e+02
6.510132385072164141e+01 2.716615329058040516e+02 2.756511721558053978e+02 2.752122588058045949e+02 2.726828246058066725e+02 2.729515147058064031e+02 2.739920487558047171e+02
6.610132385072164141e+01 2.722199025058034749e+02 2.758278734058039845e+02 2.756749835058071767e+02 2.723066745058058586e+02 2.731695056058051705e+02 2.746601052558035008e+02
6.710132385072164141e+01 2.717898460058058845e+02 2.756195807058029459e+02 2.753716006058093626e+02 2.727197862058055762e+02 2.729411483058065642e+02 2.740970845058072882e+02
6.810132385072164141e+01 2.714418073058077425e+02 2.762765049558074679e+02 2.758921542058051273e+02 2.732531457058066735e+02 2.735073771558054432e+02 2.744065451558053610e+02
6.910132385072164141e+01 2.720042767558043124e+02 2.763464383058041562e+02 2.755071540058052051e+02 2.739829421558060858e+02 2.739920267724713199e+02 2.742044940058040083e+02
7.010132385072164141e+01 2.727812419058063824e+02 2.750726609058037866e+02 2.752331757558058598e+02 2.749885668558054022e+02 2.748148875558053987e+02 2.750857701558088593e+02
7.110132385072164141e+01 2.730828052058059257e+02 2.743794990058086114e+02 2.755907521058070415e+02 2.757844730058059213e+02 2.744914603058023204e+02 2.758191542558051879e+02
7.210132385072164141e+01 2.738045630058065285e+02 2.740491681058047106e+02 2.760171533058055502e+02 2.756261192058045708e+02 2.741518788058056089e+02 2.751762385058063956e+02
7.310132385072164141e+01 2.745038018558043404e+02 2.745834708058027900e+02 2.757617354058093042e+02 2.763902964558074018e+02 2.753865113308056607e+02 2.758613479724711510e+02
7.410132385072164141e+01 2.750428386058071624e+02 2.750619419391393308e+02 2.752564025058090920e+02 2.767737689058049000e+02 2.767259850558075414e+02 2.766596847058026469e+02
7.510132385072164141e+01 2.759701552058031666e+02 2.762782726058048866e+02 2.754936537724740333e+02 2.772468457558061345e+02 2.770369363058052841e+02 2.764006041658067261e+02
7.610132385072164141e+01 2.763128495058044791e+02 2.767227521558052104e+02 2.767460255558071367e+02 2.778333993058040505e+02 2.763890166058044997e+02 2.760490012058071443e+02
7.710132385072164141e+01 2.770818534058089426e+02 2.770288252724737390e+02 2.773054137058061315e+02 2.785202060058036295e+02 2.768450436558050569e+02 2.759021725558050093e+02
7.810132385072164141e+01 2.776219315558046219e+02 2.769837804058042821e+02 2.776873126558057265e+02 2.782555442058073822e+02 2.766368232058084686e+02 2.754728179058074602e+02
7.910132385072164141e+01 2.779617762058041990e+02 2.776306758058053674e+02 2.774154811058033374e+02 2.779629845558083616e+02 2.777914354058059985e+02 2.756587910558046133e+02
8.010132385072164141e+01 2.780523085558052117e+02 2.783166098558067461e+02 2.769940581058035605e+02 2.782430777558038244e+02 2.780723757558043872e+02 2.754067760058023850e+02
8.110132385072164141e+01 2.775357509058085270e+02 2.777051120058022207e+02 2.764776024558050267e+02 2.785568795558028796e+02 2.789896712558074796e+02 2.750304007058075513e+02
8.210132385072164141e+01 2.772414222058068844e+02 2.773390899058067589e+02 2.768175635558072827e+02 2.782592082058035885e+02 2.797120337558044412e+02 2.744408421558073314e+02
8.310132385072164141e+01 2.778943552558048395e+02 2.770464292058059073e+02 2.773695845558031579e+02 2.779342760558065493e+02 2.796743559558053676e+02 2.750907025558044552e+02
8.410132385072164141e+01 2.783287978058069712e+02 2.772525401058046555e+02 2.769700427058050991e+02 2.782231783558054303e+02 2.798109030558080121e+02 2.760298909391422058e+02
8.510132385072164141e+01 2.778878340058072354e+02 2.767379412558038894e+02 2.766150221558054909e+02 2.774736724058093387e+02 2.793022866058054205e+02 2.764985461058058718e+02
8.610132385072164141e+01 2.772778563391402713e+02 2.766698909058031859e+02 2.771668658058042638e+02 2.769874034058084362e+02 2.797147975058032898e+02 2.772457232558044780e+02
8.710132385072164141e+01 2.766371131058040191e+02 2.766857237558069755e+02 2.763175387391383993e+02 2.766570830058044521e+02 2.793083644058060599e+02 2.778619304058083799e+02
8.810132385072164141e+01 2.762596660058043199e+02 2.772474437058044714e+02 2.746250291558062600e+02 2.771936516558052972e+02 2.786754852058038523e+02 2.774861655058048200e+02
8.910132385072164141e+01 2.751085232058055112e+02 2.769256148058047984e+02 2.741541018058051122e+02 2.767301755058069830e+02 2.779747863058073563e+02 2.768767609558053664e+02
9.010132385072164141e+01 2.736479468558063672e+02 2.766385235558045679e+02 2.747349620058084838e+02 2.769220757058064919e+02 2.775933719058084534e+02 2.763062739058077568e+02
9.110132385072164141e+01 2.730103717058082111e+02 2.771848216058060643e+02 2.760085387308063218e+02 2.766156268058039132e+02 2.769503608058039390e+02 2.767635035558050731e+02
9.210132385072164141e+01 2.728463120558080846e+02 2.766561389058042550e+02 2.772819924558061757e+02 2.772337718058042810e+02 2.762974295058083953e+02 2.776082225058089534e+02
9.310132385072164141e+01 2.726421980558043288e+02 2.761380248058048892e+02 2.769856734058048460e+02 2.769210334058079752e+02 2.759156566058081808e+02 2.782874264558085997e+02
9.410132385072164141e+01 2.725310178058061865e+02 2.765150352058044518e+02 2.762948670558071171e+02 2.766427159558043058e+02 2.757510372058059147e+02 2.776480823058082024e+02
9.510132385072164141e+01 2.728843894058045407e+02 2.763508677558056661e+02 2.766483493058040040e+02 2.771878066058052354e+02 2.760230556058049842e+02 2.772751841058052378e+02
9.610132385072164141e+01 2.732191080558077374e+02 2.761456189058080781e+02 2.765788236058033362e+02 2.772700794391396926e+02 2.753899035558060859e+02 2.770565801058037323e+02
9.710132385072164141e+01 2.730323901391408867e+02 2.755788617058060481e+02 2.760153270058071939e+02 2.784543586058061919e+02 2.759426818058054778e+02 2.775619960058029392e+02
9.810132385072164141e+01 2.727370601058064494e+02 2.752375445558063802e+02 2.753581757558058598e+02 2.779666304058046080e+02 2.764071345558040775e+02 2.768605866558064008e+02
9.910132385072164141e+01 2.738508194058061349e+02 2.763206753558042692e+02 2.747594485058070859e+02 2.783391662058056681e+02 2.761609263058053330e+02 2.771287379058048828e+02
1.001013238507216414e+02 2.740337558058090508e+02 2.773010067558061564e+02 2.743023772058077157e+02 2.782487769058061531e+02 2.757751765058055753e+02 2.768675400058054947e+02
1.011013238507216414e+02 2.746586900058027823e+02 2.779491085558038321e+02 2.754497955724727944e+02 2.776532417058078863e+02 2.754124112058052560e+02 2.788691882058061537e+02
1.021013238507216414e+02 2.739833827058064344e+02 2.785794444058046793e+02 2.756178298058075598e+02 2.764585013391381949e+02 2.757542357058082416e+02 2.806519980558041425e+02
1.031013238507216414e+02 2.739366527058045904e+02 2.791220450058026472e+02 2.765051446058059810e+02 2.758915963058025227e+02 2.761497502558049746e+02 2.815906644058050006e+02
1.041013238507216414e+02 2.744053206058088108e+02 2.784769043558080739e+02 2.771061072558040905e+02 2.756094775058081723e+02 2.758804736058082199e+02 2.824689717058026872e+02
1.051013238507216414e+02 2.742678961558049195e+02 2.781468405558043742e+02 2.764230666058065253e+02 2.753158278558075835e+02 2.755071807058084232e+02 2.829280410058054258e+02
1.061013238507216414e+02 2.746306100058063748e+02 2.778255782058040495e+02 2.759522376058084774e+02 2.758188892058024067e+02 2.759753012058063177e+02 2.827425961558074050e+02
1.071013238507216414e+02 2.740745262558048125e+02 2.767081246558082057e+02 2.756680045558059646e+02 2.752135529558036069e+02 2.753806815558054950e+02 2.833492751058038266e+02
1.081013238507216414e+02 2.746034675058035646e+02 2.770271907058086072e+02 2.755805284391414602e+02 2.745996661058088648e+02 2.747820544058049563e+02 2.838434596058068564e+02
1.091013238507216414e+02 2.740885138058074517e+02 2.767670646058031707e+02 2.740193848558083118e+02 2.748882241058054205e+02 2.743770537058080663e+02 2.831284719058057817e+02
1.101013238507216414e+02 2.735113196058046015e+02 2.773540196058056608e+02 2.733915343058033613e+02 2.755587420558076701e+02 2.748297791058066650e+02 2.824222884058035561e+02
1.111013238507216414e+02 2.729050804058060749e+02 2.771155715058048372e+02 2.737624335058062570e+02 2.759371555724744098e+02 2.752916274058079580e+02 2.818433098558052734e+02
1.121013238507216414e+02 2.732569537058079732e+02 2.764694924058057950e+02 2.745002923058054876e+02 2.760194697058032034e+02 2.759945559558073001e+02 2.812443995058056316e+02
1.131013238507216414e+02 2.730528273058080231e+02 2.758130756058089901e+02 2.741328330058022402e+02 2.751592574058061587e+02 2.756990066058060620e+02 2.807818732058076421e+02
1.141013238507216414e+02 2.727695136058064236e+02 2.753115039058029652e+02 2.736438785058053327e+02 2.746568293558048026e+02 2.753575234058043861e+02 2.805566401558062353e+02
1.151013238507216414e+02 2.744363307258055897e+02 2.750985522058072092e+02 2.731094394058054604e+02 2.755862412058049813e+02 2.768042349808056315e+02 2.811629748058039695e+02
1.161013238507216414e+02 2.759303651058071409e+02 2.752473559058053070e+02 2.726429954058039584e+02 2.756956859058082046e+02 2.782909426558071573e+02 2.817258782558055827e+02
1.171013238507216414e+02 2.754475283558058436e+02 2.746969275058072526e+02 2.723225607558088086e+02 2.759375062058061303e+02 2.785607943558061379e+02 2.822840724058041815e+02
1.181013238507216414e+02 2.751143813058042724e+02 2.741325545058061834e+02 2.728385978058067849e+02 2.754133191558030376e+02 2.778184658058089553e+02 2.813887655058060773e+02
1.191013238507216414e+02 2.757248626058062655e+02 2.746757130558071367e+02 2.726687970558050438e+02 2.759569773058028659e+02 2.773304515058043762e+02 2.798285928058066929e+02
1.201013238507216414e+02 2.761711154058029933e+02 2.754104819058047724e+02 2.729569316058041295e+02 2.755986171058029868e+02 2.766616559558060544e+02 2.793420186058065156e+02
1.211013238507216414e+02 2.759529929058116977e+02 2.760413499558053445e+02 2.741609117058057450e+02 2.768013001724709170e+02 2.769334187558051781e+02 2.799037566058032098e+02
1.221013238507216414e+02 2.755341048058035085e+02 2.757220397058044909e+02 2.751417193391413889e+02 2.774613852058027987e+02 2.766887393058059388e+02 2.794883342058092239e+02
1.231013238507216414e+02 2.754786486724769929e+02 2.750297512558063318e+02 2.749869036058080383e+02 2.779656062058056705e+02 2.773544325558032142e+02 2.806382314391400428e+02
1.241013238507216414e+02 2.754199672058020951e+02 2.744000850058073411e+02 2.769260573058069212e+02 2.783020148058058112e+02 2.780677027558049303e+02 2.807459064058057265e+02
1.251013238507216414e+02 2.750005030058091506e+02 2.741345982558086689e+02 2.786241488558080164e+02 2.776805434058042010e+02 2.786455159058059508e+02 2.811758885058079613e+02
1.261013238507216414e+02 2.746816058558033546e+02 2.746945987058061291e+02 2.783399672058076249e+02 2.770830188558029477e+02 2.782811065058049280e+02 2.808287272058078088e+02
1.271013238507216414e+02 2.752313990058028139e+02 2.749034037558085402e+02 2.779329600058044889e+02 2.773766017058042053e+02 2.780061965058048372e+02 2.804407620558085910e+02
1.281013238507216556e+02 2.749944663558053435e+02 2.763177756458055114e+02 2.772015385558042908e+02 2.774884019058044942e+02 2.786943279058032203e+02 2.809723868058063090e+02
1.291013238507216556e+02 2.755365434058039682e+02 2.780911650058114901e+02 2.766413636558063445e+02 2.772979655391391134e+02 2.792005877058036276e+02 2.803674359558062861e+02
1.301013238507216556e+02 2.756909041058097500e+02 2.787089009558039834e+02 2.772594180058076745e+02 2.778801274058059789e+02 2.787626643058029003e+02 2.791632922058080908e+02
