# r	h_0	h_1	h_2	h_3	h_4	h_5	
-8.986761492783585936e-01 2.753550973058057707e+02 2.780647235058057731e+02 2.766096759058058296e+02 2.777460485058057884e+02 2.781104817558058357e+02 2.779462838058058196e+02
1.013238507216414064e-01 2.758762984058057555e+02 2.782580037058057769e+02 2.759207034058058525e+02 2.783324770558058390e+02 2.783061423058057926e+02 2.772942201058058345e+02
1.101323850721641406e+00 2.755251689058056854e+02 2.780465483058057998e+02 2.755343719058057559e+02 2.789369435058057434e+02 2.779721617058057745e+02 2.766936669558058384e+02
2.101323850721641406e+00 2.745519696724724668e+02 2.786264624558057221e+02 2.761110568058059016e+02 2.787116504058058126e+02 2.785498299558057624e+02 2.767056121808057583e+02
3.101323850721641406e+00 2.738489594558056979e+02 2.784057574058056161e+02 2.768214431058058835e+02 2.780834135724724661e+02 2.782790618058056680e+02 2.763501896558055932e+02
4.101323850721641406e+00 2.746148629058056940e+02 2.781135373058057212e+02 2.764994636058058859e+02 2.774783282058056102e+02 2.777170920058056254e+02 2.766844320058057747e+02
5.101323850721641406e+00 2.743363223058058793e+02 2.785869651058055751e+02 2.758224187058058305e+02 2.763242672058057110e+02 2.770752311058058694e+02 2.756138644058055434e+02
6.101323850721641406e+00 2.740259470558060002e+02 2.782547173558059512e+02 2.760174393558058910e+02 2.748157067058059511e+02 2.767572865558056492e+02 2.751601462058060861e+02
7.101323850721641406e+00 2.761974699433058049e+02 2.785169463558058851e+02 2.757093940058057342e+02 2.734906306058060181e+02 2.773210702058056540e+02 2.745629620558056558e+02
8.101323850721641406e+00 2.795090015724724140e+02 2.772158541558060278e+02 2.751679425558061212e+02 2.729624018558060925e+02 2.779071259558058955e+02 2.751594300558058421e+02
9.101323850721641406e+00 2.802551761058057309e+02 2.765533967058058806e+02 2.752332987558056629e+02 2.733844180058058555e+02 2.784525504058055958e+02 2.760227828058059458e+02
1.010132385072164141e+01 2.794520284058056063e+02 2.763870997058056673e+02 2.755181333058056339e+02 2.728793502058060767e+02 2.780506606058061152e+02 2.757593493058061540e+02
1.110132385072164141e+01 2.786163287058061542e+02 2.755203776558059872e+02 2.755179152724725213e+02 2.734279027058055362e+02 2.785877270558057717e+02 2.763100142058056008e+02
1.210132385072164141e+01 2.779335255558062272e+02 2.749608035558057963e+02 2.757763943558056781e+02 2.740972390058059318e+02 2.779246034558059364e+02 2.767465195558061168e+02
1.310132385072164141e+01 2.779282724058054441e+02 2.753915047558057267e+02 2.759508929058056310e+02 2.754085822058059421e+02 2.775555787058056012e+02 2.761568350558054590e+02
1.410132385072164141e+01 2.779536395058057678e+02 2.757403597558059118e+02 2.757799887558062437e+02 2.754385295058054908e+02 2.769606566058055250e+02 2.764069857558060903e+02
1.510132385072164141e+01 2.789036278558060076e+02 2.760664086058063731e+02 2.765134797558057471e+02 2.749816661058066529e+02 2.763043055558059677e+02 2.766621451558057743e+02
1.610132385072164141e+01 2.798981796058051259e+02 2.765270534058054182e+02 2.770617823558059172e+02 2.744108157058053621e+02 2.767175584058059030e+02 2.773370537558066644e+02
1.710132385072164141e+01 2.790671067558059804e+02 2.768102641058057998e+02 2.774487634058059484e+02 2.750596776058055184e+02 2.764146705058064981e+02 2.781009936058062522e+02
1.810132385072164141e+01 2.792167398058063554e+02 2.772076029558056689e+02 2.771802306058052636e+02 2.759365440058063541e+02 2.760517745058059518e+02 2.785875697058054357e+02
1.910132385072164141e+01 2.798732321858057048e+02 2.765495601058064494e+02 2.767109542058060470e+02 2.755968814558054873e+02 2.757332101058063927e+02 2.786273468391385109e+02
2.010132385072164141e+01 2.798799739058049454e+02 2.761481585058063501e+02 2.759894108558055450e+02 2.758929515058061952e+02 2.763883452058053081e+02 2.797790084058051434e+02
2.110132385072164141e+01 2.793845191058062483e+02 2.755875268058052825e+02 2.755022006058061379e+02 2.753388533058059693e+02 2.768119846058052644e+02 2.793119120058054250e+02
2.210132385072164141e+01 2.798983626558056130e+02 2.749776702058061346e+02 2.761048598058059724e+02 2.749535823058049573e+02 2.774398703558053967e+02 2.786252265058055855e+02
