# r	h_0	h_1	h_2	h_3	h_4	h_5	
-8.986761492783585936e-01 2.143983459499999924e+02 2.180385208000000148e+02 2.159292195333333382e+02 2.157144929000000104e+02 2.154380036000000018e+02 2.169381714000000159e+02
1.013238507216414064e-01 2.149523468000000435e+02 2.174423217999999451e+02 2.147813416000000188e+02 2.159799958000000402e+02 2.150510100999999850e+02 2.176416779000000474e+02
1.101323850721641406e+00 2.153473510999999689e+02 2.179296570000000202e+02 2.152516784999999118e+02 2.165849991000000045e+02 2.154156646999999793e+02 2.180823364000000311e+02
2.101323850721641406e+00 2.143255717000000402e+02 2.172945023000000333e+02 2.147348328499999752e+02 2.171896667999999408e+02 2.160563507000000527e+02 2.174993210000000090e+02
3.101323850721641406e+00 2.143723449999999957e+02 2.166430129999999963e+02 2.151080016999999316e+02 2.178905029499999273e+02 2.166853638000000046e+02 2.180398254500000803e+02
4.101323850721641406e+00 2.137108230499999308e+02 2.158380127499999617e+02 2.154854964999999538e+02 2.178549958000000970e+02 2.160408478499999774e+02 2.186339874999998756e+02
5.101323850721641406e+00 2.139529877999998462e+02 2.152323303499999838e+02 2.146899465333332557e+02 2.174590073000000530e+02 2.162920075000001816e+02 2.179755198666666729e+02
6.101323850721641406e+00 2.144269866999998158e+02 2.149673309999998310e+02 2.136446915000001354e+02 2.167729950000000372e+02 2.166456603999999970e+02 2.174508209000000534e+02
7.101323850721641406e+00 2.145873336500001187e+02 2.149178390500001115e+02 2.137540131000000656e+02 2.162276611000002049e+02 2.173268356500000209e+02 2.169273223999998663e+02
8.101323850721641406e+00 2.144852981500000624e+02 2.155306625499999882e+02 2.136322377999999844e+02 2.169238357500000802e+02 2.178816757499998857e+02 2.160965373000000511e+02
9.101323850721641406e+00 2.144571075666667639e+02 2.150619965000000775e+02 2.125706786999999167e+02 2.174733429000002616e+02 2.172610168999999587e+02 2.150637436000001799e+02
1.010132385072164141e+01 2.148450011999998424e+02 2.154233399000004283e+02 2.129766693999999916e+02 2.181664963000002899e+02 2.170156784499999958e+02 2.146792450500001905e+02
1.110132385072164141e+01 2.149251175500003228e+02 2.160670013500002824e+02 2.124299850499996865e+02 2.188053283999997802e+02 2.161825027499996850e+02 2.146973342999999659e+02
1.210132385072164141e+01 2.152975006000001486e+02 2.167039795000000595e+02 2.134379883000001428e+02 2.191450043000004371e+02 2.157226716000000124e+02 2.152919998000002124e+02
1.310132385072164141e+01 2.152070007000002079e+02 2.163373107999996137e+02 2.145843353999998726e+02 2.185984954999998990e+02 2.159536743999997270e+02 2.158850098000002617e+02
1.410132385072164141e+01 2.150289993500000492e+02 2.162996521000004577e+02 2.152133178500002941e+02 2.191288223500000640e+02 2.163420104999995601e+02 2.160292104666665693e+02
