# hist	edges	error
3.296303317535544813e-02 5.952380952380952051e-02 1.098767772511848213e-02
9.156398104265403570e-02 8.682712215320910476e-02 1.831279620853080645e-02
3.589308056872039798e-01 1.141304347826086890e-01 3.625748666831041939e-02
7.325118483412315085e-01 1.414337474120082594e-01 5.179640952615766764e-02
1.340496682464456413e+00 1.687370600414078714e-01 7.006888405588210245e-02
2.021732701421798950e+00 1.960403726708074279e-01 8.605065827669167167e-02
3.091200000000003278e+00 2.233436853002070399e-01 1.064034920853733496e-01
3.439143127962081881e+00 2.506469979296065964e-01 1.122321943422106699e-01
3.801736492890999131e+00 2.779503105590062084e-01 1.180003607052517028e-01
3.849349763033171445e+00 3.052536231884057649e-01 1.187369847568841980e-01
3.973876777251181380e+00 3.325569358178053769e-01 1.206422774814981530e-01
3.611283412322279229e+00 3.598602484472049889e-01 1.150066930061948156e-01
2.776219905213272998e+00 3.871635610766045454e-01 1.008368477831763921e-01
2.417289099526064078e+00 4.144668737060041019e-01 9.409285058570997229e-02
1.864242654028434032e+00 4.417701863354037140e-01 8.263110286868169396e-02
1.285558293838863886e+00 4.690734989648033260e-01 6.861802540041167520e-02
8.277383886255933465e-01 4.963768115942028825e-01 5.506033858391751884e-02
4.907829383886260777e-01 5.236801242236024390e-01 4.239718842879760391e-02
3.479431279620842643e-01 5.509834368530019955e-01 3.569821170458931103e-02
1.648151658767774141e-01 5.782867494824016630e-01 2.456919430822520137e-02
6.592606635071096566e-02 6.055900621118012195e-01 1.553892285784733152e-02
2.930047393364920358e-02 6.328933747412007760e-01 1.035928190523151271e-02
1.098767772511849428e-02 6.601966873706004435e-01 6.343738692366017624e-03
