# r	stdNi	stdCo	stdCr
5.359009117189721394e+01 1.141636113090614864e-02 7.200595996207511187e-03 5.378927614158169127e-03
3.572672744793147359e+01 1.897685904040031027e-02 1.163008151894643835e-02 9.242313647423653147e-03
2.679504558594860697e+01 2.994610769875672221e-02 1.764893953722634565e-02 1.487011095265982491e-02
2.143603646875888558e+01 3.992398799488643124e-02 2.411033110520357722e-02 1.919393892292011947e-02
1.786336372396573680e+01 4.950173741431066615e-02 2.970329244148135067e-02 2.374768385631203377e-02
1.531145462054206163e+01 6.452354539752573614e-02 3.895409746762658332e-02 3.080669281298978671e-02
1.339752279297430348e+01 8.918336185186750975e-02 5.258679114824015705e-02 4.193472546134466988e-02
1.190890914931049238e+01 1.105654830158464969e-01 6.491953650330564707e-02 5.303509229129577118e-02
1.071801823437944279e+01 1.344901399067198744e-01 7.779617319055370794e-02 6.360685977060610841e-02
9.743652940344947666e+00 1.526727242752226321e-01 8.882661193521568244e-02 7.411656209865030709e-02
8.244629411061110247e+00 2.006030947948231058e-01 1.151733242773783361e-01 9.448537332485693052e-02
7.655727310271030817e+00 2.196789673661935505e-01 1.268991759894640414e-01 1.082681196518606170e-01
6.698761396487151742e+00 2.510478752699331073e-01 1.476073461809912779e-01 1.227037528995771759e-01
5.954454574655246191e+00 2.762018845516280852e-01 1.664146030749083238e-01 1.393098477115499167e-01
5.359009117189721394e+00 2.970173387482809568e-01 1.812107381146073892e-01 1.561929991694937236e-01
4.660007927991062004e+00 3.212336154781290087e-01 1.986356511606098829e-01 1.756943002676414345e-01
4.122314705530555123e+00 3.393759530837050509e-01 2.095945008594837788e-01 1.839053456334277803e-01
3.695868356682566525e+00 3.662660615863381763e-01 2.548850810414556856e-01 2.375340033250923633e-01
3.349380698243575871e+00 3.944647309399860191e-01 3.062123881665578251e-01 2.896274295634920226e-01
