# hist	edges	error
8.940638297872340046e-02 0.000000000000000000e+00 1.660234852242105721e-02
1.942276595744680812e-01 3.243616287094547995e-02 2.447038499829313693e-02
5.919319148936168506e-01 6.487232574189095990e-02 4.271900630072004296e-02
9.094787234042555069e-01 9.730848861283644680e-02 5.295189848951768058e-02
1.606231914893617496e+00 1.297446514837819198e-01 7.037029784269709098e-02
1.917612765957445564e+00 1.621808143547273928e-01 7.688926685289165786e-02
2.466382978723404840e+00 1.946169772256728936e-01 8.719980646291979054e-02
2.543457446808511158e+00 2.270531400966183666e-01 8.855182207269793326e-02
2.524959574468085499e+00 2.594893029675638396e-01 8.822922784169071053e-02
2.648278723404255963e+00 2.919254658385093126e-01 9.035810399681649951e-02
2.290653191489361973e+00 3.243616287094547856e-01 8.403591525091969050e-02
2.312234042553187763e+00 3.567977915804002587e-01 8.443084955584939655e-02
2.096425531914893892e+00 3.892339544513457872e-01 8.039424923522245359e-02
2.081010638297872806e+00 4.216701173222912602e-01 8.009813681385011264e-02
1.791210638297872748e+00 4.541062801932367332e-01 7.431193906101292435e-02
1.522991489361702477e+00 4.865424430641822062e-01 6.852262661068887761e-02
1.347261702127657612e+00 5.189786059351276792e-01 6.444826733525861606e-02
8.909808510638315138e-01 5.514147688060732078e-01 5.241063829787244444e-02
5.826829787234033553e-01 5.838509316770186253e-01 4.238395009781490558e-02
2.589702127659579411e-01 6.162870945479641538e-01 2.825596673187670202e-02
9.865531914893602150e-02 6.487232574189095713e-01 1.743996129258392619e-02
4.932765957446817728e-02 6.811594202898550998e-01 1.233191489361704432e-02
1.541489361702125249e-02 7.135955831608005173e-01 6.893749998717425831e-03
