# hist	edges	error
1.205977301387137733e-02 7.936507936507936067e-02 6.962713195924424836e-03
8.843833543505676131e-02 1.042411694585607534e-01 1.885511646805186625e-02
2.090360655737704410e-01 1.291172595520421462e-01 2.898808664798008250e-02
5.306300126103408177e-01 1.539933496455235529e-01 4.618541438747525429e-02
1.033120554854980666e+00 1.788694397390049318e-01 6.444428960354287028e-02
1.881324590163933719e+00 2.037455298324863384e-01 8.696425994394021974e-02
2.813947036569992566e+00 2.286216199259677451e-01 1.063572008753053966e-01
3.629991677175274489e+00 2.534977100194490962e-01 1.207985591373450518e-01
4.586733669609087904e+00 2.783738001129305584e-01 1.357877840977935735e-01
4.856068600252204881e+00 3.032498902064119095e-01 1.397176737315047879e-01
4.811849432534676119e+00 3.281259802998933162e-01 1.390800871599932320e-01
4.321418663303907337e+00 3.530020703933747228e-01 1.318020335924962871e-01
3.513413871374526209e+00 3.778781604868561295e-01 1.188429969785961687e-01
2.862186128625478165e+00 4.027542505803375361e-01 1.072649601604590275e-01
1.869264817150062319e+00 4.276303406738188873e-01 8.668508021885028281e-02
1.447172761664564433e+00 4.525064307673002939e-01 7.627270157693384622e-02
8.321243379571263699e-01 4.773825208607817006e-01 5.783663958392048360e-02
4.663112232030253157e-01 5.022586109542630517e-01 4.329591014422025375e-02
2.251157629255993997e-01 5.271347010477445139e-01 3.008235918677929985e-02
1.165778058007568424e-01 5.520107911412258650e-01 2.164795507211022055e-02
6.431878940731382277e-02 5.768868812347072161e-01 1.607969735182845569e-02
1.607969735182845569e-02 6.017629713281886783e-01 8.039848675914227846e-03
1.205977301387139641e-02 6.266390614216701405e-01 6.962713195924435244e-03
