# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
2.030139220299999714e+00 -1.538859930642000791e+02 1.032921676499999961e+02 3.558850097999999775e+02 6.195173340000000053e+02 1.208623351999999898e+02 3.896264800999999807e+02 6.502571004666665431e+02 1.486766738999999689e+02 4.046976471499999661e+02 6.637915038999999524e+02 1.625155105499999877e+02 4.233366698999999471e+02 6.841442413749999787e+02 1.895676880000000040e+02 4.437104949999999235e+02 7.021300049000000172e+02 2.024466705499999648e+02 4.682803344999999240e+02 -3.127164371420013822e+01 2.277892379749999918e+02 4.983129730499999823e+02 7.545933227999998962e+02 2.483199921000000074e+02 5.124988403499999094e+02 1.201209640000000078e+01 2.645213623000000212e+02 5.246397094999998671e+02 2.954059859999999560e+01 2.845248260999999843e+02 -2.063051825142000553e+02 5.212776180000000181e+01 3.096553344999999808e+02 5.770473021999999901e+02
3.030139220299999714e+00 -1.545063239142000384e+02 1.030406799499999835e+02 3.564996947999999293e+02 6.189666442999998708e+02 1.202933349999999706e+02 3.893461608999998589e+02 6.501040038999999524e+02 1.488373261000000412e+02 4.041149901999999656e+02 6.631013183999998546e+02 1.618410110500000201e+02 4.237480163999999832e+02 6.839918517999997221e+02 1.890195084000000065e+02 4.439233397999998942e+02 7.015529785499998070e+02 2.018253479499999798e+02 4.677943268499999476e+02 -3.105033026420005626e+01 2.264218368999999029e+02 4.980991516999999931e+02 7.551510010499998771e+02 2.477531586000000061e+02 5.126823119999999108e+02 1.260724974999999937e+01 2.651271820499999876e+02 5.240860291000001325e+02 2.945588400000000462e+01 2.851560058999999683e+02 -2.067729864642000166e+02 5.155603409999999087e+01 3.101948241999999709e+02 5.764876709000000119e+02
4.030139220299998826e+00 -1.560298986892000244e+02 1.032786712500000021e+02 3.569493408000000727e+02 6.194943237499999213e+02 1.206276702999999770e+02 3.895893249999999171e+02 6.507832031499999630e+02 1.483414840499999627e+02 4.044406432999999197e+02 6.633473511000001963e+02 1.614863434000000098e+02 4.248528950999998983e+02 6.846133423000001130e+02 1.878609924666667155e+02 4.443856505999999627e+02 7.018312989000000925e+02 2.020516509999999926e+02 4.681329955999999584e+02 -3.038980776420004304e+01 2.269698333999999704e+02 4.977096557999998367e+02 7.557646485000000212e+02 2.471728210999999646e+02 5.130596924000001309e+02 1.325963589999999925e+01 2.657350159000000076e+02 5.244093628000000535e+02 3.008201884999999720e+01 2.855816651000000093e+02 -2.069434576642001389e+02 5.089385989999999538e+01 3.107973328000000492e+02 5.758829956000001857e+02
5.030139220299998826e+00 -1.564046392641998864e+02 1.029549305999999689e+02 3.572298431499999651e+02 6.194642945000000509e+02 1.209510001999999815e+02 3.890393371499999375e+02 6.498358643000001393e+02 1.486996460000000297e+02 4.047523194000000331e+02 6.628463440000000446e+02 1.609216613999999481e+02 4.262428283999997802e+02 6.841060180499998751e+02 1.871086577999999463e+02 4.447076720999999679e+02 7.021323242999999366e+02 2.024109802000000400e+02 4.684481659499999751e+02 -2.977866276420002123e+01 2.269406738000000132e+02 4.971633148000000801e+02 7.552633361999999124e+02 2.465056534000000283e+02 5.133958435000001828e+02 1.369525819999999783e+01 2.652043304500000431e+02 5.247203064000000268e+02 3.052914936666668311e+01 2.858831787000000304e+02 -2.063679570642000272e+02 5.143982700000000818e+01 3.112003478999999970e+02 5.762193603999999141e+02
6.030139220299998826e+00 -1.557753058142000100e+02 1.031013335999999754e+02 3.568961792000000059e+02 6.189873046499999418e+02 1.203768387000000075e+02 3.893330077999999048e+02 6.480768127499995899e+02 1.493258209500000362e+02 4.043899688999999853e+02 6.631216431000002558e+02 1.602699966500000528e+02 4.269356689999999617e+02 6.844057007000001249e+02 1.865903244500000255e+02 4.443858338000000003e+02 7.015078125000000000e+02 2.026991501500000368e+02 4.681223297499998353e+02 -2.937699026420000337e+01 2.264721756500000538e+02 4.965126648499999646e+02 7.555873412999999346e+02 2.468143310999998903e+02 5.127648315999999795e+02 1.412463497499999576e+01 2.655316772999999557e+02 5.241063232500000595e+02 3.015109250000000429e+01 2.855795135500000015e+02 -2.060426398142000153e+02 5.205136490000001004e+01 3.118138122500001828e+02 5.768280334499997934e+02
7.030139220299998826e+00 -1.560522833642000933e+02 1.037518425499999921e+02 3.565266876499999853e+02 6.186953125000000000e+02 1.200168418999999176e+02 3.896056670999998914e+02 6.487126465000001190e+02 1.499526367999999366e+02 4.040892944999998235e+02 6.634068298499996672e+02 1.596278381500000023e+02 4.272408447500001785e+02 6.846999816999996256e+02 1.859216614000000618e+02 4.440915069999998650e+02 7.009068298500001220e+02 2.021316604500000267e+02 4.678013306000002558e+02 -2.909717471420003676e+01 2.258628235000001041e+02 4.958876801000001251e+02 7.559016724000002796e+02 2.471049958000000970e+02 5.122398376500000268e+02 1.502332499999998561e+01 2.658689880500000982e+02 5.238001709499999379e+02 2.956503680000000145e+01 2.852545013500000550e+02 -2.064192877642001349e+02 5.244913869999999179e+01 3.115129852499999288e+02 5.764978332999999111e+02
8.030139220299998826e+00 -1.557233038641998064e+02 1.043886718999999630e+02 3.568546753999999055e+02 6.193043213000000833e+02 1.206600037000000611e+02 3.893123168999998143e+02 6.490473327999998219e+02 1.505999755999999934e+02 4.043953246999999465e+02 6.631310119499999018e+02 1.593256760000000440e+02 4.265958405000001221e+02 6.843934937000003629e+02 1.852679977499999495e+02 4.444066773000004105e+02 7.006201781999998275e+02 2.015235138000000461e+02 4.680993347000003268e+02 -2.942734436420005295e+01 2.253836516999999731e+02 4.952593231500000002e+02 7.556003418000000238e+02 2.465253219999999601e+02 5.116109924500001398e+02 1.559623195000000351e+01 2.652811736999999539e+02 5.244436646000003748e+02 2.897558600000002116e+01 2.855253296000000773e+02 -2.057246466642000087e+02 5.306259924999997679e+01 3.117966614000001755e+02 5.768436890000002677e+02
9.030139220299998826e+00 -1.553086310642001990e+02 1.046683349999999564e+02 3.571413422000000537e+02 6.197329712000000654e+02 1.209453392000000349e+02 3.891313171000001603e+02 6.484110107500000595e+02 1.503979950000000372e+02 4.048139953999998397e+02 6.637163085999991381e+02 1.589816818000001604e+02 4.259201659999998810e+02 6.849929809999994177e+02 1.849366760499999600e+02 4.447220001499999853e+02 7.012560424999992392e+02 2.008861541500000385e+02 4.685373229999995601e+02 -2.882230286419996901e+01 2.263724314333333894e+02 4.946175079499998901e+02 7.554270020000003569e+02 2.459996643999998014e+02 5.109443359499996404e+02 1.539668180000001030e+01 2.646738433999998961e+02 5.247299805500001639e+02 2.850100709999998116e+01 2.860183105000000978e+02 -2.054338141142000040e+02 5.285194020000005821e+01 3.122226562999999260e+02 5.771923217499997918e+02
1.003013922029999883e+01 -1.546714545141999224e+02 1.040656699999999546e+02 3.559079971749999913e+02 6.203823242500002380e+02 1.204553452000000107e+02 3.890818177000001015e+02 6.478173523000004934e+02 1.503286667000000989e+02 4.054183349999998427e+02 6.641016846000002261e+02 1.592810058999998546e+02 4.253876952999999048e+02 6.854089965999992273e+02 1.855856780999997682e+02 4.441018524999999499e+02 7.016539916999990965e+02 2.003463135000001785e+02 4.691316833500000030e+02 -2.840433406420004303e+01 2.278671570000001338e+02 4.940290222000003268e+02 7.553946533500002261e+02 2.466236648999999943e+02 5.104443359999995664e+02 1.537912944999999354e+01 2.641723327999998219e+02 5.241920165999999881e+02 2.910100085000001968e+01 2.866566620000000967e+02 -2.059306402642000648e+02 5.281263539999997647e+01 3.128184966999997414e+02 5.766106567500005440e+02
1.103013922029999883e+01 -1.541702948141999059e+02 1.034513397499999883e+02 3.544385071000001517e+02 6.208936767499999405e+02 1.210325126999999839e+02 3.896361694499996702e+02 6.473116454999999405e+02 1.509043350499998724e+02 4.059070282000002408e+02 6.643193359500000952e+02 1.597546845000001667e+02 4.256518401999996968e+02 6.860693360000004759e+02 1.859248505000000478e+02 4.434355163499999435e+02 7.019134826999998040e+02 2.010125046000000566e+02 4.696882018999999673e+02 -2.822196106420005890e+01 2.283841552999997475e+02 4.946811828999993850e+02 7.559383240000006481e+02 2.471588363999997000e+02 5.106739806999999018e+02 1.590997839999999997e+01 2.648668518500001028e+02 5.244291686999995363e+02 2.959330180000000610e+01 2.871578674500001398e+02 -2.056772833142001673e+02 5.338188935000005131e+01 3.134429932000002736e+02 5.761259766000002855e+02
