# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
2.030139220299999714e+00 -9.185799999997357190e-03 1.652662658499999679e+02 -1.652971649499999671e+02 -7.675100000000156797e-03 1.652586821999999813e+02 -2.951815000000124201e-02 -1.652831038499999750e+02 1.652765960499999665e+02
3.030139220299999714e+00 -3.684999999990168362e-03 1.648685226499999601e+02 -1.649049911499999439e+02 -3.162400000007892231e-03 1.648653297999999268e+02 -8.640137499999696047e-01 -1.640538481999999760e+02 1.648838576999999930e+02
4.030139220299998826e+00 9.567199999992226367e-03 1.640398101999999767e+02 -1.640831756000000041e+02 6.195000000019490471e-03 1.640373229999999296e+02 -1.011656999999672735e-01 -1.639998550999999907e+02 1.640673906000000102e+02
5.030139220299998826e+00 1.102065000000607142e-02 1.651089401499998814e+02 -1.651516532999998788e+02 7.209499999873969500e-04 1.651034316999999305e+02 -2.500154999995629623e-02 -1.651283110999999906e+02 1.651180038499998943e+02
6.030139220299998826e+00 9.788500000013300451e-03 1.654427947500000187e+02 -1.654880294500000559e+02 1.017760000001999288e-02 1.654345245500000487e+02 -3.916930000013962854e-02 -1.654423217499999055e+02 1.654239882999999054e+02
7.030139220299998826e+00 1.151274999998008752e-02 1.653605613499999549e+02 -1.653996963499999708e+02 4.341150000044535773e-03 1.653650283499999887e+02 -4.383845000006658665e-02 -1.653723755499999584e+02 1.668053406000001360e+02
8.030139220299998826e+00 2.046210000003156892e-02 1.642773743000001332e+02 -1.643246003000001565e+02 -1.330560000008063071e-02 1.643112488000000440e+02 -4.600530000016078702e-02 -1.643106765999998515e+02 1.668390123000001495e+02
9.030139220299998826e+00 5.836550000026363705e-03 1.636509169999999358e+02 -1.637031020999999669e+02 -3.036449999967771873e-03 1.636744689000000221e+02 -3.800190000015390979e-02 -1.636830139999998437e+02 1.661828384500000766e+02
1.003013922029999883e+01 8.918799999946713797e-03 1.654771003500001143e+02 -1.655510673500000394e+02 9.345999999936793756e-03 1.655033912750000127e+02 -3.808597499994448299e-02 -1.655032692000000907e+02 1.672190323000004355e+02
1.103013922029999883e+01 1.514819999999872380e-02 1.663435401500000808e+02 -1.664103088500001491e+02 1.706315000001268345e-02 1.663440895499998646e+02 -1.750184999991688528e-02 -1.663729820499999619e+02 1.663784828500003528e+02
1.203013922029999883e+01 3.159329999994042737e-02 1.660092850000000908e+02 -1.660727234000000863e+02 2.777100000002974411e-03 1.660149536500002796e+02 -1.499939999985144823e-02 -1.660417556500003684e+02 1.660262527500001397e+02
1.303013922029999705e+01 3.098675000001094304e-02 1.653134651999999960e+02 -1.653746834500000205e+02 -3.636640166666893492e-01 1.656843465166666647e+02 -7.667549999951006612e-03 -1.653574485500000719e+02 1.653166236999998091e+02
1.403013922029999705e+01 3.746799999998984276e-02 1.663278884999995171e+02 -1.663866500999995424e+02 -1.061798100000032719e+00 1.673857955999999376e+02 7.659900000362540595e-03 -1.663811951000002409e+02 1.663262024000000565e+02
1.503013922029999705e+01 3.066255000010187359e-02 1.671666565000001583e+02 -1.672168388500001583e+02 -1.108818499999415508e-01 1.672838821499999540e+02 -5.157450000297103543e-03 -1.672172546499997452e+02 1.671752471999999443e+02
1.603013922029999705e+01 1.322560000005523762e-02 1.684686545499999966e+02 -1.685154572000001281e+02 5.146050000121249468e-03 1.684601402999999209e+02 -8.499200000187556725e-03 -1.684949721999997791e+02 1.684626388499997347e+02
1.703013922029999705e+01 6.614700000113771239e-03 1.677247924999998077e+02 -1.679896926999997504e+02 2.270850999998401676e-01 1.677299384999998892e+02 -5.996599999889440369e-03 -1.679911270999998578e+02 1.679654617000003327e+02
1.803013922029999705e+01 9.407000000010157237e-03 1.665691121333333342e+02 -1.664853604333332271e+02 5.309257000000116022e-01 1.654323730999999498e+02 -1.666260000024522014e-02 -1.659792022499998438e+02 1.659645385749997786e+02
