# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
5.000000000000000000e-01 5.087560119999999415e+02 5.087606811999999650e+02 5.087637023999999428e+02 5.087593689000000268e+02 5.087460327000000007e+02 5.087436829000000102e+02 5.087783813999999438e+02 5.087413635999999428e+02 5.087526551000000268e+02 5.087363280999999802e+02 5.087236328000000185e+02 5.075885926249999329e+02 5.087182922999999164e+02 5.068386535999999296e+02 5.087360229999999888e+02 5.087262878999999316e+02 5.087096253000000274e+02 5.076006546249999474e+02 5.087023010999999428e+02 5.087039794999999458e+02 5.087160033999999769e+02 5.087912292999999408e+02 5.087232971000000248e+02 5.086826781999999412e+02 5.080520019499999762e+02 5.086873779999999670e+02 5.087019653999999491e+02 5.086823119999999676e+02 5.075651626749999537e+02 5.086803588999999306e+02 5.075590820999999551e+02 5.068651580999999169e+02 5.084503326499999503e+02
1.500000000000000000e+00 5.090801848999998924e+02 5.086930084499999793e+02 5.090941773000000126e+02 5.090866699499999868e+02 5.090665130499999691e+02 5.090855102999998962e+02 5.091050110499999164e+02 5.090795136000000412e+02 5.086823120499999504e+02 5.090621796499998482e+02 5.090641327000000160e+02 5.086400146999999379e+02 5.090586548499999822e+02 5.069765625333334356e+02 5.086601868500000592e+02 5.090591431499999544e+02 5.090443267499999820e+02 5.090489654999998947e+02 5.090349883999999747e+02 5.090368194999999218e+02 5.090376739499999417e+02 5.090338134999999511e+02 5.090573120999998764e+02 5.090100097999999775e+02 5.075146484499998678e+02 5.090233612000000107e+02 5.086281585999999493e+02 5.090156402500000468e+02 5.090166778499998372e+02 5.090143432999999504e+02 5.090071410999998989e+02 5.074961700500000461e+02 5.090025024500000654e+02
2.500000000000000000e+00 5.093795165999999881e+02 5.081263427999999749e+02 5.093803253500000210e+02 5.093716583499999615e+02 5.093616638499998999e+02 5.093656769000000395e+02 5.093860016499999119e+02 5.093581695499999569e+02 5.081216431000000284e+02 5.093508453499998723e+02 5.093563079999998990e+02 5.080750121999999465e+02 5.093443146000000752e+02 5.081066894999999022e+02 5.081000060999999732e+02 5.093526458999999704e+02 5.093288268999999673e+02 5.093478088499998648e+02 5.093264923499999668e+02 5.093204803500000253e+02 5.093348389000000225e+02 5.093199920500001099e+02 5.093428192500000478e+02 5.092960204999999405e+02 5.080579834000000119e+02 5.093138427499998215e+02 5.080523071000000073e+02 5.093131560999999010e+02 5.093033600000001115e+02 5.093006744500000877e+02 5.092998199499998009e+02 5.080466614000001755e+02 5.092925109999999904e+02
3.500000000000000000e+00 5.086820069000000331e+02 5.076603394000001117e+02 5.086839905000001636e+02 5.086809997999998814e+02 5.086743468999998186e+02 5.088125000000000000e+02 5.086910094999998364e+02 5.086656800000000658e+02 5.076483459999999468e+02 5.086553344999997535e+02 5.086643371999998635e+02 5.076029969000001074e+02 5.086529845999998543e+02 5.076283263999998780e+02 5.076266480000001593e+02 5.086643371999998635e+02 5.086300049000001309e+02 5.086626586999996107e+02 5.086356811999999081e+02 5.086303100999998605e+02 5.086343384000001606e+02 5.086253357000000506e+02 5.087903137999999217e+02 5.086046753000000535e+02 5.075853271999999379e+02 5.086176758000001428e+02 5.075740052000001015e+02 5.086253357000000506e+02 5.086053162000002885e+02 5.085973511000001963e+02 5.086010131999996702e+02 5.075733338000000003e+02 5.086010132000001249e+02
4.500000000000000000e+00 5.082999878000000535e+02 5.081735076999998455e+02 5.082986755000001722e+02 5.082980041999999230e+02 5.082900085999999646e+02 5.093509826999998040e+02 5.083099975999998605e+02 5.082749939000000268e+02 5.081658172499999182e+02 5.082703246999999465e+02 5.082806701999998040e+02 5.081284943000002841e+02 5.082659911999999167e+02 5.081515045500000269e+02 5.079713236666666489e+02 5.082740173000001960e+02 5.082483214999997472e+02 5.082806701999998040e+02 5.082473449999997683e+02 5.082376709000000119e+02 5.082489928999998483e+02 5.082369994999999108e+02 5.093263244999998278e+02 5.082256775000000744e+02 5.081051635999999689e+02 5.090996704499998486e+02 5.081081695499999569e+02 5.082376709000000119e+02 5.082216491999997743e+02 5.082126769999999851e+02 5.082246703999999227e+02 5.080921631500000331e+02 5.082130127000000357e+02
5.500000000000000000e+00 5.076569977500000732e+02 5.076673279500000717e+02 5.076646576499997536e+02 5.076539917000000059e+02 5.076506500499997401e+02 5.089349669999996877e+02 5.076706696499998088e+02 5.076366730500001268e+02 5.076421509499998592e+02 5.076271667499997875e+02 5.076373291500001415e+02 5.076203307999999197e+02 5.076188355000001593e+02 5.076433411000000433e+02 5.076097005333332959e+02 5.076349944999999479e+02 5.088193512499999542e+02 5.076415100499998516e+02 5.076094970999999987e+02 5.075950012000000697e+02 5.076076660000001084e+02 5.075944976999999199e+02 5.089063416000003599e+02 5.075936737500001072e+02 5.076031799499999124e+02 5.088823548000000301e+02 5.075910186999999496e+02 5.076001587000000654e+02 5.075844879500000388e+02 5.075816650500000833e+02 5.075896606500000416e+02 5.075811767999998665e+02 5.075695037999998931e+02
6.500000000000000000e+00 5.079428406000001814e+02 5.079506530499998007e+02 5.079511718999997356e+02 5.079431610000001456e+02 5.079336547999996583e+02 5.083341674999996940e+02 5.079619903500001783e+02 5.079228210999999646e+02 5.079331664999999703e+02 5.079274902499996642e+02 5.079275054999998247e+02 5.079051666499999556e+02 5.079189910999998574e+02 5.079190063500000178e+02 5.079091644499999347e+02 5.079156799499996850e+02 5.082938232999999855e+02 5.079259948999997505e+02 5.078928375500004222e+02 5.078795165999995334e+02 5.078873290999999881e+02 5.078841705499999080e+02 5.082966614000001755e+02 5.078719940499995573e+02 5.078795165999999881e+02 5.082879943499997353e+02 5.078744965000000775e+02 5.078800049000001309e+02 5.078728332999999111e+02 5.078776703499997893e+02 5.078684997999998814e+02 5.078720092500002465e+02 5.078588256999996702e+02
7.500000000000000000e+00 5.076710204999999405e+02 5.076836548000001130e+02 5.076846618999998100e+02 5.076869811999995363e+02 5.076669922000000952e+02 5.076856689999995069e+02 5.076829834000000119e+02 5.076636353000003510e+02 5.076736756000000241e+02 5.076600036999998338e+02 5.076616821999996318e+02 5.076396484999995664e+02 5.076466675000001487e+02 5.076533509000000777e+02 5.076476440999995248e+02 5.076463622999999643e+02 5.076323241999998572e+02 5.076660155999998096e+02 5.076293335000000297e+02 5.076116943999995783e+02 5.076193237999996200e+02 5.076206664999999703e+02 5.076403503999999884e+02 5.076063537999998516e+02 5.076180114999997386e+02 5.076329650999996375e+02 5.076106567999995605e+02 5.076146851000003153e+02 5.076000060999995185e+02 5.076079712000000654e+02 5.075946655999996437e+02 5.076083068999996613e+02 5.075903320999996140e+02
8.500000000000000000e+00 5.081920013500002824e+02 5.082053222499998810e+02 5.082109832999999526e+02 5.070909882000000835e+02 5.081974792500000149e+02 5.082095032000001993e+02 5.082021484500000952e+02 5.081874847500002943e+02 5.081918487500001902e+02 5.081778411999998752e+02 5.081783447500001785e+02 5.081714782999997624e+02 5.081596832000000177e+02 5.072653503999999884e+02 5.081746521000000030e+02 5.081671753000000535e+02 5.081536559999999554e+02 5.081953430499997921e+02 5.081545105000000149e+02 5.081340179999997417e+02 5.081458130000000892e+02 5.081470184499999050e+02 5.081645049999997354e+02 5.081333313499999349e+02 5.072210082999999941e+02 5.081483153999997739e+02 5.081423492499998247e+02 5.072196654999997918e+02 5.072040100000003804e+02 5.081236572500001785e+02 5.072070007000002079e+02 5.072179870999998457e+02 5.081123352499998873e+02
9.500000000000000000e+00 5.078873596000003090e+02 5.078956603999995423e+02 5.078999940000003335e+02 5.064259948999997505e+02 5.078849792000000889e+02 5.079003602000002502e+02 5.078936462000001484e+02 5.078723146000002089e+02 5.078733522000002267e+02 5.078603516000002855e+02 5.078593445999995311e+02 5.078553162000007433e+02 5.078426820000004227e+02 5.066325073999996675e+02 5.078616334000007555e+02 5.078593445999995311e+02 5.078336486999996850e+02 5.078789978000004339e+02 5.078420106000003216e+02 5.078253478999995423e+02 5.078366698999998334e+02 5.078243408000007548e+02 5.078550109999996494e+02 5.078270264000002499e+02 5.065856781000002229e+02 5.078296509000001606e+02 5.078326721000003090e+02 5.065868225500003064e+02 5.065748290999999881e+02 5.078083190999996077e+02 5.065856780999997682e+02 5.065814819500001249e+02 5.077983398999995188e+02
