# r	h_0	h_1	
5.000000000000000000e-01 2.521184921500000087e+02 3.426803588999999874e+02
1.500000000000000000e+00 2.527673492999999780e+02 3.432903595000000223e+02
2.500000000000000000e+00 2.524630126999999220e+02 3.439526824999999235e+02
3.500000000000000000e+00 2.521366729999999734e+02 3.445656738499999392e+02
4.500000000000000000e+00 2.527271575999999413e+02 3.442996825999998691e+02
5.500000000000000000e+00 2.532177010000001474e+02 3.436256561500001681e+02
6.500000000000000000e+00 2.538963165999998637e+02 3.429800110000001041e+02
7.500000000000000000e+00 2.536718139500001143e+02 3.427128601999997954e+02
8.500000000000000000e+00 2.543596725499999138e+02 3.432247009000002436e+02
9.500000000000000000e+00 2.546730041999999230e+02 3.429831543000000238e+02
1.050000000000000000e+01 2.552401505000002544e+02 3.434223327999998219e+02
1.150000000000000000e+01 2.547168350000001737e+02 3.427031708499998786e+02
1.250000000000000000e+01 2.549620055999998840e+02 3.429771728999999141e+02
1.350000000000000000e+01 2.547416839999996228e+02 3.427583312999995542e+02
1.450000000000000000e+01 2.552598418999996284e+02 3.432615051499997207e+02
1.550000000000000000e+01 2.549696655999996437e+02 3.439381866999992781e+02
1.650000000000000000e+01 2.546693420500000684e+02 3.445973358500004906e+02
1.750000000000000000e+01 2.560296745750001719e+02 3.451743316500005676e+02
1.850000000000000000e+01 2.574986724999998842e+02 3.456340027000005648e+02
1.950000000000000000e+01 2.577300110500000301e+02 3.464564616333330491e+02
2.050000000000000000e+01 2.582114075199999093e+02 3.476611785999994026e+02
2.150000000000000000e+01 2.602923431499993967e+02 3.492261657500002912e+02
2.250000000000000000e+01 2.607519836999999825e+02 3.493275451666661979e+02
2.350000000000000000e+01 2.612641601499999524e+02 3.514753315999999472e+02
2.450000000000000000e+01 2.627522278000001279e+02 3.524054870500003744e+02
2.550000000000000000e+01 2.655089904999996975e+02 3.531174774499986597e+02
2.650000000000000000e+01 2.686739868399999978e+02 3.534406739000005473e+02
2.750000000000000000e+01 2.703808288499994887e+02 3.540228576999998040e+02
2.850000000000000000e+01 2.724326721400000793e+02 3.568195686624994778e+02
2.950000000000000000e+01 2.740159912000017357e+02 3.596510010000001785e+02
3.050000000000000000e+01 2.744749908499998128e+02 3.593489990000016405e+02
3.150000000000000000e+01 2.750865173499987577e+02 3.590433350000002974e+02
3.250000000000000000e+01 2.757519988999993075e+02 3.601308212750000166e+02
3.350000000000000000e+01 2.761119995000008203e+02 3.608311462333343229e+02
3.450000000000000000e+01 2.766699982000009186e+02 3.621959991499988973e+02
3.550000000000000000e+01 2.761376648000004934e+02 3.616291656499997771e+02
3.650000000000000000e+01 2.755030212999990908e+02 3.619140014499989775e+02
3.750000000000000000e+01 2.748181610000010551e+02 3.634260101499994562e+02
3.850000000000000000e+01 2.748959962000008090e+02 3.637976989999988291e+02
3.950000000000000000e+01 2.750603485500014358e+02 3.631500091999987490e+02
4.050000000000000000e+01 2.753808594000001904e+02 3.634181824000006600e+02
4.150000000000000000e+01 2.751203308000003744e+02 3.630803223000002617e+02
4.250000000000000000e+01 2.739547832000001222e+02 3.627628327000002173e+02
4.350000000000000000e+01 2.728086852999986149e+02 3.632790222000003268e+02
4.450000000000000000e+01 2.722046661999993376e+02 3.626773529000020062e+02
4.550000000000000000e+01 2.715579833999981929e+02 3.620859984999988228e+02
4.650000000000000000e+01 2.711509704999989481e+02 3.616650086000008741e+02
4.750000000000000000e+01 2.705269775500000833e+02 3.621953430499997921e+02
4.850000000000000000e+01 2.699016723999993701e+02 3.616650086000008741e+02
4.950000000000000000e+01 2.704051666499999556e+02 3.619408264500016230e+02
5.050000000000000000e+01 2.700639953999998397e+02 3.625209961000000476e+02
5.150000000000000000e+01 2.697643280499996763e+02 3.623196716000020388e+02
5.250000000000000000e+01 2.701088409499989211e+02 3.618616638000021339e+02
5.350000000000000000e+01 2.694586792000009154e+02 3.615418396499990195e+02
5.450000000000000000e+01 2.689813232000014978e+02 3.620340271000022767e+02
5.550000000000000000e+01 2.683623352499998873e+02 3.613826751500018872e+02
5.650000000000000000e+01 2.671267700333337416e+02 3.607586975000012899e+02
5.750000000000000000e+01 2.659726561999996193e+02 3.601728210999972362e+02
5.850000000000000000e+01 2.654696656000014627e+02 3.595703125000000000e+02
5.950000000000000000e+01 2.647799988000006124e+02 3.591253357000023243e+02
6.050000000000000000e+01 2.649804992499994114e+02 3.584904937999999675e+02
6.150000000000000000e+01 2.647543335000009392e+02 3.578816834000026574e+02
6.250000000000000000e+01 2.643526610999979312e+02 3.574540406000014627e+02
6.350000000000000000e+01 2.637306824500010407e+02 3.568015136499998334e+02
6.450000000000000000e+01 2.640460052499984158e+02 3.561733399000004283e+02
6.550000000000000000e+01 2.637133484000005410e+02 3.555656738500001666e+02
6.650000000000000000e+01 2.634059906000002229e+02 3.542104390666669929e+02
6.750000000000000000e+01 2.639320068000015453e+02 3.530276794000019436e+02
6.850000000000000000e+01 2.633366699500002142e+02 3.527720184999998310e+02
6.950000000000000000e+01 2.627223205999980564e+02 3.532926940999968792e+02
7.050000000000000000e+01 2.624401703000003181e+02 3.528486634000000777e+02
7.150000000000000000e+01 2.629093323999986751e+02 3.533551635999974678e+02
7.250000000000000000e+01 2.622368468999993638e+02 3.528513336500000150e+02
7.350000000000000000e+01 2.625153351000008115e+02 3.512610168666676032e+02
7.450000000000000000e+01 2.622743530000007013e+02 3.503443297999983770e+02
7.550000000000000000e+01 2.618853455999997095e+02 3.497040100999984134e+02
7.650000000000000000e+01 2.612695007500005886e+02 3.491329955999972299e+02
7.750000000000000000e+01 2.606283264000012423e+02 3.479483338000015351e+02
7.850000000000000000e+01 2.599831695499997295e+02 3.468153382000018610e+02
7.950000000000000000e+01 2.593386841000028653e+02 3.464149780000007013e+02
8.050000000000000000e+01 2.589160155999998096e+02 3.457864837999986776e+02
8.150000000000000000e+01 2.582618560999981128e+02 3.444211019000019292e+02
8.250000000000000000e+01 2.576007079999981215e+02 3.432189941999968141e+02
8.350000000000000000e+01 2.571803588999973726e+02 3.428393250000008265e+02
