# r	vx_0	
5.000000000000000000e-01 1.886689757999999301e-02
1.500000000000000000e+00 1.877096556499997793e-02
2.500000000000000000e+00 1.873493042500000427e-02
3.500000000000000000e+00 1.880200043499995546e-02
4.500000000000000000e+00 1.874435119499999122e-02
5.500000000000000000e+00 1.877153320499994754e-02
6.500000000000000000e+00 1.885120239500001973e-02
7.500000000000000000e+00 1.872464904499988869e-02
8.500000000000000000e+00 1.859788207999999929e-02
9.500000000000000000e+00 1.849476623999999139e-02
1.050000000000000000e+01 1.837929993000011683e-02
1.150000000000000000e+01 1.828260193500009373e-02
1.250000000000000000e+01 1.809757181499999090e-02
1.350000000000000000e+01 1.798581849000002036e-02
1.450000000000000000e+01 1.794481506499987639e-02
1.550000000000000000e+01 1.799510192999987171e-02
1.650000000000000000e+01 1.796517943500002684e-02
1.750000000000000000e+01 1.786731873000007784e-02
1.850000000000000000e+01 1.776986999000000622e-02
1.950000000000000000e+01 1.776026611999986793e-02
2.050000000000000000e+01 1.773145142000003005e-02
2.150000000000000000e+01 1.760912169999992449e-02
2.250000000000000000e+01 1.750485229999994632e-02
2.350000000000000000e+01 1.733290201333353639e-02
2.450000000000000000e+01 1.723873595999975833e-02
2.550000000000000000e+01 1.721308289000007818e-02
2.650000000000000000e+01 1.721893309999977806e-02
2.750000000000000000e+01 1.720168152000005682e-02
2.850000000000000000e+01 1.707528075999998826e-02
2.950000000000000000e+01 1.697686767500017693e-02
3.050000000000000000e+01 1.697922057499999873e-02
3.150000000000000000e+01 1.702876586499987854e-02
3.250000000000000000e+01 1.690553435499987309e-02
3.350000000000000000e+01 1.665467732333332854e-02
3.450000000000000000e+01 1.647783507999974958e-02
3.550000000000000000e+01 1.646905212000037907e-02
3.650000000000000000e+01 1.628543599500020464e-02
3.750000000000000000e+01 1.597130188099996420e-02
3.850000000000000000e+01 1.584293517499972895e-02
3.950000000000000000e+01 1.582099915000035120e-02
4.050000000000000000e+01 1.569918823500010899e-02
4.150000000000000000e+01 1.557294921499978967e-02
4.250000000000000000e+01 1.552409668000000187e-02
4.350000000000000000e+01 1.546581725500000178e-02
4.450000000000000000e+01 1.535210265999994647e-02
4.550000000000000000e+01 1.534064941499964363e-02
4.650000000000000000e+01 1.531074829500030272e-02
4.750000000000000000e+01 1.532127075499956775e-02
4.850000000000000000e+01 1.526866760999982982e-02
4.950000000000000000e+01 1.514093628500013354e-02
5.050000000000000000e+01 1.510320433999950106e-02
5.150000000000000000e+01 1.502392984999969400e-02
5.250000000000000000e+01 1.493444518499963992e-02
5.350000000000000000e+01 1.484624634000028878e-02
5.450000000000000000e+01 1.481788329500013761e-02
5.550000000000000000e+01 1.477296448000051977e-02
5.650000000000000000e+01 1.471739807000012681e-02
5.750000000000000000e+01 1.459780273499964101e-02
5.850000000000000000e+01 1.459739990000016342e-02
5.950000000000000000e+01 1.451244811499927817e-02
6.050000000000000000e+01 1.449998473999949099e-02
6.150000000000000000e+01 1.439144592499978954e-02
6.250000000000000000e+01 1.434776916500013662e-02
6.350000000000000000e+01 1.428203735999995783e-02
6.450000000000000000e+01 1.418768616000015692e-02
6.550000000000000000e+01 1.418614929700066744e-02
6.650000000000000000e+01 1.428066405999998088e-02
6.750000000000000000e+01 1.427281189999921561e-02
6.850000000000000000e+01 1.428157653833380877e-02
6.950000000000000000e+01 1.434561767499981273e-02
7.050000000000000000e+01 1.432096557000040772e-02
7.150000000000000000e+01 1.431751403000052977e-02
7.250000000000000000e+01 1.433462829000018215e-02
7.350000000000000000e+01 1.447891601000010284e-02
7.450000000000000000e+01 1.459168396500026658e-02
7.550000000000000000e+01 1.459199829000135638e-02
7.650000000000000000e+01 1.462461547499915512e-02
7.750000000000000000e+01 1.475158081499976064e-02
7.850000000000000000e+01 1.499705200400000028e-02
7.950000000000000000e+01 1.524500121500095735e-02
8.050000000000000000e+01 1.535611877000046636e-02
8.150000000000000000e+01 1.548018493499985111e-02
8.250000000000000000e+01 1.560464782999915721e-02
8.350000000000000000e+01 1.569696656000014665e-02
8.450000000000000000e+01 1.569400023499983865e-02
8.550000000000000000e+01 1.572481384999991835e-02
8.650000000000000000e+01 1.590358784333366360e-02
8.750000000000000000e+01 1.609614460999922447e-02
8.850000000000000000e+01 1.626236572000052533e-02
8.950000000000000000e+01 1.635598449999961165e-02
9.050000000000000000e+01 1.643813170999928672e-02
9.150000000000000000e+01 1.666925384399976437e-02
9.250000000000000000e+01 1.690856933499963050e-02
9.350000000000000000e+01 1.697608184500022654e-02
9.450000000000000000e+01 1.697334899999987032e-02
9.550000000000000000e+01 1.699850463999900974e-02
9.650000000000000000e+01 1.697175139999963084e-02
9.750000000000000000e+01 1.719957886100033709e-02
9.850000000000000000e+01 1.743390044999978267e-02
9.950000000000000000e+01 1.752650145999941692e-02
1.005000000000000000e+02 1.768529866999960995e-02
1.015000000000000000e+02 1.794032389166677621e-02
1.025000000000000000e+02 1.814779968500079138e-02
1.035000000000000000e+02 1.827209930000099278e-02
1.045000000000000000e+02 1.837669983500090851e-02
1.055000000000000000e+02 1.850496672999943359e-02
1.065000000000000000e+02 1.862213440999912692e-02
1.075000000000000000e+02 1.872033691999895264e-02
1.085000000000000000e+02 1.876233520999958174e-02
1.095000000000000000e+02 1.873623046499924352e-02
1.105000000000000000e+02 1.871393432500117332e-02
1.115000000000000000e+02 1.879565124999935458e-02
1.125000000000000000e+02 1.884774627500082622e-02
1.135000000000000000e+02 1.886346587999869484e-02
1.145000000000000000e+02 1.895324554499966396e-02
1.155000000000000000e+02 1.897999878499977144e-02
1.165000000000000000e+02 1.892825012499888687e-02
1.175000000000000000e+02 1.901379700000106754e-02
1.185000000000000000e+02 1.898571624999967691e-02
1.195000000000000000e+02 1.886282959999953032e-02
1.205000000000000000e+02 1.884327595666642277e-02
1.215000000000000000e+02 1.899926605000000490e-02
1.225000000000000000e+02 1.898830108499969388e-02
1.235000000000000000e+02 1.905473632500070263e-02
1.245000000000000000e+02 1.913741607500051012e-02
1.255000000000000000e+02 1.902621765499934448e-02
1.265000000000000000e+02 1.899200134999991935e-02
1.275000000000000000e+02 1.895916748000017749e-02
1.285000000000000000e+02 1.886990051000029742e-02
1.295000000000000000e+02 1.887035064499941600e-02
