# z	h(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 5.265237754484482555e-17
1.000000000000000000e+00 9.910742893352010308e-01 3.137659114752343152e-03
2.000000000000000000e+00 9.778110092469759485e-01 6.759482564929101579e-03
3.000000000000000000e+00 9.641570149839916448e-01 9.416749817796356975e-03
4.000000000000000000e+00 9.498709786658603438e-01 1.133253140057146821e-02
5.000000000000000000e+00 9.314840242092177203e-01 1.390340027225382344e-02
6.000000000000000000e+00 9.106209377698771812e-01 1.645142101917532185e-02
7.000000000000000000e+00 8.890601269274731600e-01 1.848650296616635713e-02
8.000000000000000000e+00 8.654924815332319943e-01 2.097880772594989257e-02
9.000000000000000000e+00 8.391537837540896660e-01 2.399276629519160944e-02
1.000000000000000000e+01 8.096615126800006390e-01 2.738657755452832479e-02
1.100000000000000000e+01 7.796985072066763278e-01 3.008270961956916595e-02
1.200000000000000000e+01 7.475860941751919508e-01 3.310380701255866143e-02
1.300000000000000000e+01 7.152310366031601196e-01 3.561888321062373769e-02
1.400000000000000000e+01 6.803495629040228199e-01 3.850299430607805051e-02
1.500000000000000000e+01 6.461593832978682617e-01 4.005635892939833631e-02
1.600000000000000000e+01 6.112732016990345407e-01 4.111311744285889302e-02
1.700000000000000000e+01 5.761005041182774011e-01 4.164353570914258729e-02
1.800000000000000000e+01 5.384377692887910571e-01 4.284732402799770051e-02
1.900000000000000000e+01 4.999120682461694054e-01 4.363289182268884070e-02
2.000000000000000000e+01 4.606786161938342117e-01 4.384321944143099864e-02
2.100000000000000000e+01 4.201574090501503100e-01 4.425454800490011276e-02
2.200000000000000000e+01 3.790882890036674779e-01 4.447017901851947619e-02
2.300000000000000000e+01 3.376356010550246589e-01 4.404271370739903935e-02
2.400000000000000000e+01 2.966699120039628657e-01 4.272848565968315193e-02
2.500000000000000000e+01 2.544383497408123085e-01 4.180790380202449585e-02
2.600000000000000000e+01 2.135419765078056531e-01 4.010731041784295486e-02
2.700000000000000000e+01 1.736856855717147652e-01 3.756894006323871493e-02
2.800000000000000000e+01 1.350593768975408837e-01 3.430962211824835351e-02
2.900000000000000000e+01 9.389797338527919313e-02 3.231996883921030989e-02
3.000000000000000000e+01 5.324432030900231455e-02 3.006943897646565528e-02
3.100000000000000000e+01 1.359173330805141591e-02 2.697733562976157434e-02
3.200000000000000000e+01 -2.494343479582568704e-02 2.325420445574389455e-02
3.300000000000000000e+01 -6.469561047085414796e-02 2.051407492932812854e-02
3.400000000000000000e+01 -1.049188387835674058e-01 1.852092230677770263e-02
3.500000000000000000e+01 -1.430232501072727092e-01 1.628306222715974680e-02
3.600000000000000000e+01 -1.802132159053316529e-01 1.481059959215536362e-02
3.700000000000000000e+01 -2.170557377880641958e-01 1.525510626473362136e-02
3.800000000000000000e+01 -2.547018150076728604e-01 1.669941592226935681e-02
3.900000000000000000e+01 -2.915248542022540468e-01 1.850767216196413240e-02
4.000000000000000000e+01 -3.278780789546767438e-01 2.016369111231693795e-02
4.100000000000000000e+01 -3.627829648106032923e-01 2.235214831742486641e-02
4.200000000000000000e+01 -3.980698941314880224e-01 2.428842632009830735e-02
4.300000000000000000e+01 -4.319957286204771374e-01 2.662463443774480687e-02
4.400000000000000000e+01 -4.645269111759295355e-01 2.907179612951879544e-02
4.500000000000000000e+01 -4.960580426535268206e-01 3.164858633770574470e-02
4.600000000000000000e+01 -5.280402100575524171e-01 3.329364352001810967e-02
4.700000000000000000e+01 -5.594344821151031599e-01 3.454382925334590487e-02
4.800000000000000000e+01 -5.889099162359527906e-01 3.614294002441151982e-02
4.900000000000000000e+01 -6.176134712940624105e-01 3.784900555060161098e-02
5.000000000000000000e+01 -6.452813333890763392e-01 3.951350558574955735e-02
5.100000000000000000e+01 -6.719764950259249359e-01 4.123202866047220166e-02
5.200000000000000000e+01 -6.958600710863594996e-01 4.388305060579172218e-02
5.300000000000000000e+01 -7.193101858109881563e-01 4.622697212595348881e-02
5.400000000000000000e+01 -7.413902232663718284e-01 4.850584072967020072e-02
5.500000000000000000e+01 -7.622307241558959889e-01 5.081334310765366763e-02
5.600000000000000000e+01 -7.810656419119715865e-01 5.304123000863152082e-02
5.700000000000000000e+01 -7.996113458162222853e-01 5.411780421534231195e-02
5.800000000000000000e+01 -8.170452215280608055e-01 5.422626657600580768e-02
5.900000000000000000e+01 -8.322667757412215428e-01 5.433458846927272795e-02
6.000000000000000000e+01 -8.445719868397236763e-01 5.507653519290814370e-02
6.100000000000000000e+01 -8.548653734830015116e-01 5.547878831323472398e-02
6.200000000000000000e+01 -8.627728009796683528e-01 5.595502032035023360e-02
6.300000000000000000e+01 -8.668105797596128426e-01 5.697963198800989199e-02
6.400000000000000000e+01 -8.689189241274937192e-01 5.800761333178384299e-02
