# z	v_x(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 6.938893903907228378e-17
1.000000000000000000e+00 7.888369872752700740e-01 4.696264429640757687e-02
2.000000000000000000e+00 5.547140958682723610e-01 9.480308121703852342e-02
3.000000000000000000e+00 4.282096556701079915e-01 1.153312519220796584e-01
4.000000000000000000e+00 3.239080686265660147e-01 1.324742769983475177e-01
5.000000000000000000e+00 2.569587083095520308e-01 1.393384706120889271e-01
6.000000000000000000e+00 2.698090709378074270e-01 1.332520665841756824e-01
7.000000000000000000e+00 2.888524691055752713e-01 1.278650603016482090e-01
8.000000000000000000e+00 3.088596841657833547e-01 1.208835293973334613e-01
9.000000000000000000e+00 3.023558528140468660e-01 1.181303411523605962e-01
1.000000000000000000e+01 2.313720081110627325e-01 1.217310711325190475e-01
1.100000000000000000e+01 1.797913872083027609e-01 1.213193331193416907e-01
1.200000000000000000e+01 1.553979411585712511e-01 1.158944614007779567e-01
1.300000000000000000e+01 1.364539132023032120e-01 1.117614186091454853e-01
1.400000000000000000e+01 1.420447168809670646e-01 1.040491337589807136e-01
1.500000000000000000e+01 1.878495335636083119e-01 9.308201244498244542e-02
1.600000000000000000e+01 2.202821149033230563e-01 8.180600486078677680e-02
1.700000000000000000e+01 2.272562468327296581e-01 7.006860375978311850e-02
1.800000000000000000e+01 2.057370479583320311e-01 6.308958840315417871e-02
1.900000000000000000e+01 1.552930401325352538e-01 5.908366515765064997e-02
2.000000000000000000e+01 1.278776903868011627e-01 5.815398425140121813e-02
2.100000000000000000e+01 1.127888045163532166e-01 5.567188262363852863e-02
2.200000000000000000e+01 9.008857743404673213e-02 5.715471953357609963e-02
2.300000000000000000e+01 7.589395345741668797e-02 5.502153339193308068e-02
2.400000000000000000e+01 6.674087952793691936e-02 4.925334483666044677e-02
2.500000000000000000e+01 4.820002714205272321e-02 3.836495457005805604e-02
2.600000000000000000e+01 3.246882332938877402e-02 3.111378824934872556e-02
2.700000000000000000e+01 5.237446435988474258e-03 3.086464940084612807e-02
2.800000000000000000e+01 -3.342577778489980167e-02 2.725470012257948452e-02
2.900000000000000000e+01 -5.826367806300736252e-02 2.476664285754599445e-02
3.000000000000000000e+01 -6.437723196921738000e-02 2.030473495427199612e-02
3.100000000000000000e+01 -8.248281592089837244e-02 1.981747215743010285e-02
3.200000000000000000e+01 -1.113535739166556793e-01 3.449209906429789863e-02
3.300000000000000000e+01 -1.166257770204247174e-01 3.619597059639594050e-02
3.400000000000000000e+01 -1.027967222070397674e-01 2.197397684820979330e-02
3.500000000000000000e+01 -1.079798126231160255e-01 2.604914971372826807e-02
3.600000000000000000e+01 -1.114554731503710344e-01 2.849410267546239120e-02
3.700000000000000000e+01 -9.831737214084919352e-02 3.795915324168228772e-02
3.800000000000000000e+01 -1.077277984954101986e-01 4.375038686942266108e-02
3.900000000000000000e+01 -1.119443095067413907e-01 4.439442058303420813e-02
4.000000000000000000e+01 -1.154343296229087545e-01 4.955769019044060225e-02
4.100000000000000000e+01 -1.173562202615838490e-01 5.292034726596634570e-02
4.200000000000000000e+01 -1.245665335755631042e-01 5.637219952217038810e-02
4.300000000000000000e+01 -1.284481693745108122e-01 6.194192539944175929e-02
4.400000000000000000e+01 -1.516720124338781228e-01 6.684863930984544234e-02
4.500000000000000000e+01 -1.885968599121917444e-01 6.270301394945627937e-02
4.600000000000000000e+01 -2.107021086559135448e-01 6.211719898028510156e-02
4.700000000000000000e+01 -2.225966493772012222e-01 6.914931646659625009e-02
4.800000000000000000e+01 -2.425391233166336591e-01 7.331254585173571647e-02
4.900000000000000000e+01 -2.547078355394769567e-01 6.786249926967606594e-02
5.000000000000000000e+01 -2.323973395212327875e-01 7.637648039597166871e-02
5.100000000000000000e+01 -2.307432508534205950e-01 8.008868609653306547e-02
5.200000000000000000e+01 -2.307478088822827178e-01 8.293773369838502996e-02
5.300000000000000000e+01 -2.293339189357100072e-01 8.869959179158241891e-02
5.400000000000000000e+01 -2.423068931024196515e-01 9.133887338238462494e-02
5.500000000000000000e+01 -2.465647867097824908e-01 9.367958254305865096e-02
5.600000000000000000e+01 -2.424584857856844633e-01 9.918385130785241366e-02
5.700000000000000000e+01 -2.491761502576292642e-01 1.006710020560601382e-01
5.800000000000000000e+01 -2.228754420488604227e-01 1.083999011831597442e-01
5.900000000000000000e+01 -1.868318820442712580e-01 1.207851146403552539e-01
6.000000000000000000e+01 -1.865348914192336838e-01 1.260033358090679734e-01
6.100000000000000000e+01 -2.035109559406531876e-01 1.249867551590654602e-01
6.200000000000000000e+01 -2.176412429727229425e-01 1.202885967814059931e-01
6.300000000000000000e+01 -2.442315682119401976e-01 1.136652235476499767e-01
6.400000000000000000e+01 -2.623091886332603040e-01 1.123449691969982817e-01
