# r	stdNi	stdCo	stdCr
5.419209624496792088e+01 5.339696304104449634e-03 4.233877905376768822e-03 2.340724031486455126e-03
3.612806416331194725e+01 7.955024416793179606e-03 6.041155413360180595e-03 4.652238264880374091e-03
2.709604812248396044e+01 1.468347084466971493e-02 1.051885186859460343e-02 8.234269345127600767e-03
2.167683849798716977e+01 1.989989697666727161e-02 1.428018851250192379e-02 1.165332262300571367e-02
1.806403208165597363e+01 2.689386346187608301e-02 1.884254495347915601e-02 1.544728377859559514e-02
1.548345606999083479e+01 3.393971626715910905e-02 2.399240433409060430e-02 1.951117270523742078e-02
1.354802406124198022e+01 4.335868853874075973e-02 3.050985874213305721e-02 2.467081784404872094e-02
1.204268805443731516e+01 5.149021345784274978e-02 3.636303570114022415e-02 2.999423154656369328e-02
1.083841924899358489e+01 6.041695489078326153e-02 4.257291524726906917e-02 3.589965742106249191e-02
9.853108408175986099e+00 7.294010727455103871e-02 4.966048222811900864e-02 4.338235875024827604e-02
8.337245576148911042e+00 9.452348060613703640e-02 6.552565615123266685e-02 5.734147650427326437e-02
7.741728034995417396e+00 1.073275513309564777e-01 7.168032518988050328e-02 6.528839663610666588e-02
6.774012030620990110e+00 1.343936103083332445e-01 9.061405621425817902e-02 8.246436921033291345e-02
6.021344027218657580e+00 1.566449063144651765e-01 1.092513882959170596e-01 1.002970689523418196e-01
5.419209624496792443e+00 1.755734507705602188e-01 1.275076322284453278e-01 1.166876705582788887e-01
4.712356195214601584e+00 2.098776625309732857e-01 1.528185295642748576e-01 1.441290963477681319e-01
4.168622788074455521e+00 2.488088817265066977e-01 1.880898730629155247e-01 1.739595487972513954e-01
3.737385947928822283e+00 2.679064594666905053e-01 2.072996290632838079e-01 1.894079387016309179e-01
3.387006015310495055e+00 3.126759171023609230e-01 2.673674305746658320e-01 2.541867782571326506e-01
3.010672013609328790e+00 3.962046319006204964e-01 3.749584658068769172e-01 3.686938908975644913e-01
