# r	p	err_p
2.663126838414638264e+00 8.994935237462636790e-01 1.050726491066325118e-04
3.517992128099158844e+00 9.000249130350536086e-01 1.478448852098809309e-04
4.338634101812828270e+00 8.991043440352265437e-01 7.458103610195757419e-05
4.983630915546128470e+00 8.996437630816572772e-01 1.050080310866977724e-04
5.586287690975812126e+00 8.991536840650800055e-01 7.448567698641225777e-05
6.115358136572893066e+00 9.017558886509635663e-01 1.278452490493085672e-04
6.618917838521324981e+00 8.987207211308643195e-01 5.258253466025093357e-05
7.053954576604328786e+00 9.033062441202805992e-01 1.586302809070106964e-04
7.495485286587628693e+00 8.989370962773817197e-01 5.999937185127236837e-05
