# r	p	err_p
2.662839762904642527e+00 1.000065772165219663e-01 4.686797501344478335e-04
3.519399610274554835e+00 9.968238455900317596e-02 6.622656451945480591e-04
4.343558951120593647e+00 1.003884033195098641e-01 3.316936037265078973e-04
4.993063828361322898e+00 9.981468764991957565e-02 4.687042646527593602e-04
5.587095616680775478e+00 1.000620481531273170e-01 3.315479254397837405e-04
6.126295368857928914e+00 1.003746907034287761e-01 5.755008911985252983e-04
6.615991477325638748e+00 1.005345423669977006e-01 2.344966207996169527e-04
7.054126388511077650e+00 1.029769760962017944e-01 6.813929840566502506e-04
7.497730339875711358e+00 1.005029278980732743e-01 2.703859347499121789e-04
