# hist	edges	error
3.773173293323330013e-02 1.038961038961039030e-01 1.334018211150452340e-02
6.603053263315836197e-02 1.250984165864753861e-01 1.764740215567676962e-02
1.792257314328581652e-01 1.463007292768468415e-01 2.907425285623863043e-02
3.065703300825205480e-01 1.675030419672183246e-01 3.802536952471146509e-02
7.499181920480119112e-01 1.887053546575898078e-01 5.947238113625595568e-02
1.650763315828959188e+00 2.099076673479612909e-01 8.823701077838384810e-02
2.212022843210799117e+00 2.311099800383327463e-01 1.021417245560311965e-01
3.697709827456872933e+00 2.523122927287042572e-01 1.320610652663168905e-01
4.853244148537120495e+00 2.735146054190756848e-01 1.512949569848493769e-01
5.504116541635421633e+00 2.947169181094472235e-01 1.611210163907784432e-01
5.409787209302324484e+00 3.159192307998186511e-01 1.597344069882162265e-01
5.956897336834207302e+00 3.371215434901901342e-01 1.676171453879782280e-01
4.919274681170304753e+00 3.583238561805616174e-01 1.523206972538264370e-01
4.188222355588885115e+00 3.795261688709330450e-01 1.405475397268112492e-01
2.754416504126038223e+00 4.007284815613045836e-01 1.139785659239128807e-01
1.891303113278314019e+00 4.219307942516760113e-01 9.444717039568326089e-02
1.282878919729935507e+00 4.431331069420475499e-01 7.778596016065889018e-02
6.838876594148517452e-01 4.643354196324189775e-01 5.679377884215745104e-02
4.244819954988757749e-01 4.855377323227905162e-01 4.474433105032631086e-02
2.263903975993991902e-01 5.067400450131619438e-01 3.267663924898988465e-02
1.037622655663918564e-01 5.279423577035334825e-01 2.212218934943583140e-02
3.301526631657922262e-02 5.491446703939049101e-01 1.247859773460515548e-02
3.301526631657904914e-02 5.703469830842763377e-01 1.247859773460508956e-02
