# r	dp
8.510638297872340219e-02 nan
2.553191489361701927e-01 nan
4.255319148936169693e-01 nan
5.957446808510638014e-01 nan
7.659574468085106336e-01 nan
9.361702127659574657e-01 nan
1.106382978723404076e+00 nan
1.276595744680851130e+00 nan
1.446808510638297740e+00 nan
1.617021276595744794e+00 nan
1.787234042553191404e+00 nan
1.957446808510638236e+00 -1.041774891774892020e-01
2.127659574468085069e+00 7.632523722535522470e-02
2.297872340425532123e+00 7.213030847893120434e-02
2.468085106382978733e+00 7.579840495670880918e-02
2.638297872340425343e+00 7.116987024335208467e-02
2.808510638297872397e+00 6.212833925238309130e-02
2.978723404255319007e+00 5.489662573999098960e-02
3.148936170212765617e+00 4.405881464553418336e-02
3.319148936170212671e+00 4.758146399945878402e-02
3.489361702127659726e+00 4.106548821853173159e-02
3.659574468085106336e+00 3.580144815198499364e-02
3.829787234042552946e+00 2.867276294425180616e-02
4.000000000000000000e+00 3.232378903778365675e-02
4.170212765957446166e+00 3.521909505478720837e-02
4.340425531914894108e+00 3.494301603419719404e-02
4.510638297872340274e+00 3.071200779535232517e-02
4.680851063829786440e+00 2.830051081665563295e-02
4.851063829787234383e+00 1.308012393159874165e-02
5.021276595744680549e+00 5.908198556403010393e-03
5.191489361702127603e+00 -4.233620167621410246e-03
5.361702127659574657e+00 -7.695033585634780682e-03
5.531914893617020823e+00 -6.596560394247608095e-03
5.702127659574467877e+00 -9.970435764348195562e-03
5.872340425531914931e+00 -1.486849055643135742e-02
6.042553191489361097e+00 -8.844119561941421459e-03
6.212765957446809040e+00 -1.003215170956217595e-02
6.382978723404255206e+00 -9.958528120935283834e-03
6.553191489361701372e+00 -6.990106647192573242e-03
6.723404255319149314e+00 -8.600938023166471158e-03
6.893617021276595480e+00 -1.196186278007282944e-02
7.063829787234041646e+00 -9.490330004457092627e-03
7.234042553191489588e+00 -8.134477247065396988e-03
7.404255319148935754e+00 -9.304073755812436453e-03
7.574468085106382809e+00 -1.054048883102903789e-02
7.744680851063829863e+00 -1.024106762597082332e-02
7.914893617021276029e+00 -8.343333683993203742e-03
