# r	stdNi	stdCo	stdCr
5.359009117189721394e+01 1.175569210620777162e-02 7.543019257098674581e-03 5.341125651846112196e-03
3.572672744793147359e+01 1.868029905958404346e-02 1.133854842303677612e-02 9.006751432219224293e-03
2.679504558594860697e+01 2.902912087885492140e-02 1.658782455549058510e-02 1.484523016657394827e-02
2.143603646875888558e+01 4.006416983385562014e-02 2.416582775212932147e-02 1.917958597882579372e-02
1.786336372396573680e+01 4.952733998014111072e-02 3.000719527948035939e-02 2.342776961327782889e-02
1.531145462054206163e+01 6.362577043298855983e-02 3.910195638224481934e-02 2.999185032427458333e-02
1.339752279297430348e+01 8.940084526163503964e-02 5.302183541431406549e-02 4.164205373410655858e-02
1.190890914931049238e+01 1.097246567394154493e-01 6.445022170380858284e-02 5.243225677398188206e-02
1.071801823437944279e+01 1.324624777895962724e-01 7.667885569370357091e-02 6.264578309843857329e-02
9.743652940344947666e+00 1.529109331436085406e-01 8.921320981278640927e-02 7.367992893213497207e-02
8.244629411061110247e+00 1.979917011935464766e-01 1.141559042043445438e-01 9.319509407332547679e-02
7.655727310271030817e+00 2.175658296687008886e-01 1.260500840987636706e-01 1.068371484662620219e-01
6.698761396487151742e+00 2.491888952480779129e-01 1.470993390321307104e-01 1.212063525755071869e-01
5.954454574655246191e+00 2.736145858745455128e-01 1.645212957026404577e-01 1.386022121833421217e-01
5.359009117189721394e+00 2.962629679808546634e-01 1.814730106286466249e-01 1.540897370072618344e-01
4.660007927991062004e+00 3.209451390996410081e-01 2.001953403857233138e-01 1.742892863230424971e-01
4.122314705530555123e+00 3.401499087298553436e-01 2.105177893587021343e-01 1.830451949385402399e-01
3.695868356682566525e+00 3.649467896675298584e-01 2.537326572117814538e-01 2.355520475644034273e-01
3.349380698243575871e+00 3.955716285358052420e-01 3.042825197934508896e-01 2.893169452070697423e-01
