# r	p	err_p
2.511515069735007266e+00 2.355616565228896564e-01 1.015823880233041304e-03
3.559901597630088066e+00 2.445129752960860936e-01 1.431767552718736037e-03
4.356553575481830087e+00 2.450390337188413370e-01 7.192434892230634797e-04
5.012736141332646334e+00 2.426921688920967157e-01 1.012316326148287064e-03
5.620189401195931467e+00 2.460424510736894388e-01 7.191148203000442265e-04
6.148769227055071340e+00 2.439550628673461674e-01 1.244799278963467986e-03
6.655127976890397257e+00 2.446436774066539921e-01 5.062341032694500035e-04
7.102003686039726205e+00 2.453180737217598162e-01 1.523802140925648854e-03
7.533955834718747191e+00 2.451597891843338428e-01 5.814881601767866700e-04
7.946330512683113412e+00 2.451464048997399059e-01 7.240670279056893744e-04
8.328865480767968066e+00 2.438164557992607562e-01 7.132266980103682194e-04
8.679245290426077730e+00 2.427522190850541495e-01 7.592360671538696433e-04
9.056922770875321049e+00 2.439564539555212075e-01 4.080600754853188077e-04
9.752746553423117248e+00 2.436396552866110787e-01 4.794843686942870881e-04
1.033725334716727851e+01 2.448467424446773844e-01 4.619061279815462511e-04
1.091832159292789761e+01 2.440736694892257919e-01 3.296743249017803539e-04
1.152322143539077892e+01 2.430734427516929863e-01 4.278715630696394950e-04
1.201905292085601573e+01 2.444498961247869029e-01 4.404978513396154839e-04
1.256463529622632080e+01 2.438427010341529810e-01 3.517269950209984432e-04
1.317050874928283832e+01 2.439492546501912940e-01 2.620842042460970792e-04
1.398283873717699954e+01 2.455439684944918932e-01 3.522833325397803274e-04
1.458665515942115043e+01 2.440866584860153232e-01 2.508964159490829210e-04
1.526567150518254579e+01 2.447962602644117025e-01 2.647940922584133107e-04
1.571355455312308180e+01 2.450208817302556574e-01 4.483915266385737571e-04
1.632977179407610180e+01 2.444658634803056618e-01 2.269787314652409920e-04
1.684352949275284317e+01 2.448008401961251079e-01 3.048846407546264444e-04
1.722308551163976631e+01 2.453716718204088099e-01 3.456880797858036974e-04
1.760342672370679296e+01 2.444741783916287992e-01 2.840789334069655976e-04
1.812786428291821395e+01 2.444265985706909616e-01 2.547832374263738256e-04
1.860345047383105666e+01 2.444931309574510103e-01 2.618888809788271583e-04
1.910783891409467472e+01 2.437533683742036383e-01 2.288421549455177222e-04
1.957898807986495981e+01 2.443624603305804277e-01 2.697082019018239409e-04
