#icel C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66
0 228.670708510253 174.831200990229 183.294573810053 -3.3376186798705 -2.07099593972089 -2.68395594976027 232.27024466978 178.628951529754 -8.49129560010624 -6.99548361008056 -8.33895858995675 229.807246620112 8.92953055008547 2.66032702020311 10.5507378601033 89.7240604389936 0.888076739011012 -0.0980642289960088 88.834527607014 -5.06719980999151 94.7475019040212
1 222.28407020998 135.313780573006 142.564433523967 -9.52147867401436 -12.2822211340008 -9.47885485102233 232.398950339848 139.118007759862 -14.6515893800824 -9.50681055001041 -4.92208171999664 258.48272965159 20.2039896917299 21.9933641959798 24.2165374868108 83.8858374749862 -0.220237910002652 -3.42482856201514 83.3850240662059 -2.13989202699167 82.4135682109955
2 271.302915640081 196.296113300014 206.527893289967 -12.0836138999948 -7.66318465994118 -9.49009576997923 260.192671342975 221.521715460949 4.04542824599048 -3.74507523401917 2.81584472195391 285.316441689975 13.9484381099464 19.640942119986 18.7125385800755 111.153046426989 -2.24809190801807 2.5750171279924 108.742997149966 0.299212639947655 106.591881690895
3 244.490380118987 167.722978435995 166.676410026957 -19.2379189300027 -14.4635464450403 -10.2990732410035 306.476673839006 196.223245327019 0.360291100969334 4.80081192299622 8.46735587301737 248.799853863966 1.89915557293716 7.46235303304275 10.901379310053 96.806916568039 1.63472830299725 -0.140494896004384 82.637287659054 -5.41777312200793 102.050552225001
4 195.254328890951 174.460123550034 178.335539236014 -2.72867237399623 5.24514496701158 -0.986281604036776 202.848881882983 184.850410880972 5.84028429702812 5.17983673698836 8.0450787009795 226.913826092004 11.4160897190231 8.62442078200729 3.85394457703114 81.6561481969984 2.62291763301619 -0.159806286137609 77.3860803040407 -3.85055310098323 82.6305586224009
5 258.812134629989 168.395988989869 150.932960589853 -10.0288659301441 -7.99204631002794 -11.1217211499024 262.792795319911 189.693696070026 18.9278222998837 12.636388519968 14.1071802299848 207.790606959861 4.54878593991452 2.2679184899971 -0.584837410133332 98.0460680331099 4.31017735484005 -0.0125047130197231 87.9943666190229 -5.60955570999795 88.7432586870091
6 184.222093457993 168.450132456928 178.442610219008 -1.55273709806352 -5.32185561805818 -0.440668066039507 231.797115195013 183.909898087018 21.7880610160137 15.9968419120105 21.8901761980078 200.160639162004 -0.186713676976069 -8.41898526796285 -3.8674805699884 86.2496234528976 -0.944580096597747 -0.570566585599863 83.1576418959912 -0.211190439017628 86.5570000340085
7 253.784886071981 161.654613262999 153.900093596985 0.547839153023233 -9.52599310398909 -9.51184043001376 300.952132649763 194.602918889723 30.1230099099485 33.0711536498711 24.0736544499669 208.221103504002 -20.5527208450803 -18.3307146189691 -21.2214264669456 80.9047524320704 -1.50684964792163 -1.62027792493973 93.4101508308999 5.76876292689974 93.9670958719944
8 221.533154977988 148.640855553003 145.981101617963 -10.9161466119986 3.2857744769899 -2.05114011005207 259.504473480047 181.469677479981 23.1894972401278 29.9579672200707 25.7406546101265 198.2897499644 -18.8030596617011 -14.8485367651006 -16.4166460258002 78.8894252109458 4.55206069400447 1.57616809101455 80.1698414079965 -5.28471546299443 84.8459286849902
9 236.326401209953 173.657767219993 166.570062060055 -6.92964695008413 -0.279294580104761 -10.931179669933 267.604333049894 189.858018180166 23.9839947400469 25.6027857998561 28.0352381698322 218.289675520009 -15.8963418279882 -20.9406213600005 -19.1261039299889 89.4143082899973 2.55138226100371 0.0817757259937935 92.1078081897008 -0.75370477350134 100.538557904997
