# z	h(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 5.579852753255937930e-17
1.000000000000000000e+00 9.961930134085044131e-01 1.030763806872657417e-04
2.000000000000000000e+00 9.890630099157270427e-01 3.148570009265836637e-04
3.000000000000000000e+00 9.804586883495051142e-01 7.427368057360059358e-04
4.000000000000000000e+00 9.701966683814293724e-01 1.343427391385071824e-03
5.000000000000000000e+00 9.566215742761208229e-01 1.985559653306982753e-03
6.000000000000000000e+00 9.403476327411642854e-01 2.666700979286659289e-03
7.000000000000000000e+00 9.225992331314347705e-01 3.448327052373197955e-03
8.000000000000000000e+00 9.034129899410874298e-01 4.348703530328065087e-03
9.000000000000000000e+00 8.820747780521916992e-01 5.292619859927399396e-03
1.000000000000000000e+01 8.579675506328856560e-01 6.222696340698022528e-03
1.100000000000000000e+01 8.323714162100450675e-01 7.157835243240998936e-03
1.200000000000000000e+01 8.052708054395991688e-01 8.152842762821771450e-03
1.300000000000000000e+01 7.769884723420589223e-01 9.116371590875379724e-03
1.400000000000000000e+01 7.462617936189201995e-01 1.006226902108656174e-02
1.500000000000000000e+01 7.138744917219351782e-01 1.095768730912496762e-02
1.600000000000000000e+01 6.798117708636468581e-01 1.181447011029214053e-02
1.700000000000000000e+01 6.446393382196162758e-01 1.257983022590544557e-02
1.800000000000000000e+01 6.080873623683914486e-01 1.330392150564835459e-02
1.900000000000000000e+01 5.702188153618457100e-01 1.393561021732507219e-02
2.000000000000000000e+01 5.309104953460306309e-01 1.445879407773118658e-02
2.100000000000000000e+01 4.903445913872563344e-01 1.488630717941567816e-02
2.200000000000000000e+01 4.491468071356266578e-01 1.524456414554838275e-02
2.300000000000000000e+01 4.069629788058631847e-01 1.561233219464419619e-02
2.400000000000000000e+01 3.639279385115181675e-01 1.588405043491529847e-02
2.500000000000000000e+01 3.197078457052431322e-01 1.604245468372882469e-02
2.600000000000000000e+01 2.752858707324147280e-01 1.609075993284029074e-02
2.700000000000000000e+01 2.307853465731580511e-01 1.610888830633934801e-02
2.800000000000000000e+01 1.865425471053684947e-01 1.599609616692911421e-02
2.900000000000000000e+01 1.413875575129150131e-01 1.574070819128775903e-02
3.000000000000000000e+01 9.610664722209366628e-02 1.539839347279890920e-02
3.100000000000000000e+01 5.079479308330330650e-02 1.498231230989251553e-02
3.200000000000000000e+01 5.254357065907146358e-03 1.440662913533678063e-02
3.300000000000000000e+01 -4.082085878552997593e-02 1.367138845709561443e-02
3.400000000000000000e+01 -8.703047521660194075e-02 1.277649614314579907e-02
3.500000000000000000e+01 -1.324773707457384819e-01 1.174878632016626394e-02
3.600000000000000000e+01 -1.776976933535865943e-01 1.062802605748166054e-02
3.700000000000000000e+01 -2.223579506104910453e-01 9.382578204176393599e-03
3.800000000000000000e+01 -2.665886946370150112e-01 8.069407788718566815e-03
3.900000000000000000e+01 -3.096187979352960085e-01 6.657840796133521893e-03
4.000000000000000000e+01 -3.520249790959621983e-01 5.268905088361768366e-03
4.100000000000000000e+01 -3.933489410085102000e-01 3.957495120325168342e-03
4.200000000000000000e+01 -4.339509504877722690e-01 2.975008324216541974e-03
4.300000000000000000e+01 -4.728261916871203674e-01 2.883786937635853236e-03
4.400000000000000000e+01 -5.103411977074207018e-01 3.810464240876137564e-03
4.500000000000000000e+01 -5.467715652332084675e-01 5.280525981025396658e-03
4.600000000000000000e+01 -5.823200874020377782e-01 6.988029674392147797e-03
4.700000000000000000e+01 -6.169393861711646165e-01 8.772103358188856892e-03
4.800000000000000000e+01 -6.496869890734147113e-01 1.055374635385596289e-02
4.900000000000000000e+01 -6.810120996098162349e-01 1.225787890902549186e-02
5.000000000000000000e+01 -7.108546384077819580e-01 1.394362932621581903e-02
5.100000000000000000e+01 -7.397284173824599796e-01 1.555912227565228560e-02
5.200000000000000000e+01 -7.669768852418891170e-01 1.710212993656889599e-02
5.300000000000000000e+01 -7.928952592689719747e-01 1.855978382737123386e-02
5.400000000000000000e+01 -8.169925280631183950e-01 2.000722934021737995e-02
5.500000000000000000e+01 -8.395586296848267516e-01 2.140198550381081088e-02
5.600000000000000000e+01 -8.599940548991448219e-01 2.273131260705918769e-02
5.700000000000000000e+01 -8.781614619932944787e-01 2.392917834773361854e-02
5.800000000000000000e+01 -8.938465813298737128e-01 2.498583156767760632e-02
5.900000000000000000e+01 -9.073903755778710556e-01 2.592521267932320142e-02
6.000000000000000000e+01 -9.190913751144821342e-01 2.675190541798255425e-02
6.100000000000000000e+01 -9.285656778969769709e-01 2.745355119479036057e-02
6.200000000000000000e+01 -9.359070950294663405e-01 2.798077841191037515e-02
6.300000000000000000e+01 -9.409009018154085302e-01 2.834643685779790478e-02
6.400000000000000000e+01 -9.442530083525088047e-01 2.858498404193871023e-02
