# time	ksi
0.000000000000000000e+00 1.050000000000000000e+01
2.000000000000000000e+00 3.500000000000000000e+00
4.000000000000000000e+00 3.500000000000000000e+00
6.000000000000000000e+00 1.150000000000000000e+01
8.000000000000000000e+00 1.550000000000000000e+01
1.000000000000000000e+01 1.450000000000000000e+01
1.200000000000000000e+01 8.500000000000000000e+00
1.400000000000000000e+01 1.250000000000000000e+01
1.600000000000000000e+01 1.250000000000000000e+01
1.800000000000000000e+01 4.500000000000000000e+00
2.000000000000000000e+01 1.550000000000000000e+01
2.200000000000000000e+01 1.350000000000000000e+01
2.400000000000000000e+01 7.500000000000000000e+00
2.600000000000000000e+01 3.150000000000000000e+01
2.800000000000000000e+01 3.150000000000000000e+01
3.000000000000000000e+01 5.500000000000000000e+00
