# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
0.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 9.999999999999998890e-01 1.000000000000000000e+00
1.000000000000000000e+00 8.677757847726876861e-01 6.948974949573559767e-01 9.735378684913119640e-01 7.330116064542135934e-01 5.608495127968893268e-01 9.952400726570982403e-01 9.952795880307508947e-01 7.135983259749331120e-01
2.000000000000000000e+00 6.817625319592900413e-01 2.941996163976270950e-01 9.219982839506384309e-01 4.111662291595903906e-01 2.692922166607710222e-01 9.866533347349611960e-01 9.868447025092278446e-01 3.201390887248020678e-01
3.000000000000000000e+00 5.453801797395986251e-01 7.761855509409186504e-02 8.634018671120076149e-01 2.377302961466545572e-01 2.456103353525490030e-01 9.745990343784244336e-01 9.749380860938761106e-01 1.213927427722855945e-01
4.000000000000000000e+00 4.107432506612707646e-01 -9.865506345644352998e-03 7.954844419905565678e-01 1.765304185947690896e-01 2.125483496132734296e-01 9.604060057541263795e-01 9.604237649997348081e-01 2.159572656130260768e-02
5.000000000000000000e+00 2.831461460540043440e-01 -2.061468310568673884e-02 7.133201673664093523e-01 1.266883393295030469e-01 1.903228974759528236e-01 9.415096065190774466e-01 9.416910087333233426e-01 -3.966347219307927996e-02
6.000000000000000000e+00 1.668440591545986562e-01 -2.230215899036005686e-02 6.238030838304997605e-01 7.505531024642593529e-02 1.116884545895319991e-01 9.190476593064261790e-01 9.196663943612866099e-01 -8.998007565030068100e-02
7.000000000000000000e+00 8.098924667631764163e-02 -6.430745751587305103e-02 5.380743410202628585e-01 4.763160023779891561e-02 -1.175286800171924939e-02 8.941640291056772716e-01 8.951844508882514928e-01 -1.196986436185158986e-01
8.000000000000000000e+00 2.949793542035206162e-02 -1.366908898144265916e-01 4.551702091454205568e-01 2.742413469308517537e-02 -6.313440827505834019e-02 8.671490425076104902e-01 8.685309309691274793e-01 -1.119806216094106910e-01
9.000000000000000000e+00 7.406073272811803526e-03 -1.338791316760629957e-01 3.689909736770629056e-01 2.743200931525694580e-02 -3.160676288462555689e-02 8.382957017712507897e-01 8.401497421729702264e-01 -5.734717114025369294e-02
1.000000000000000000e+01 2.911962921986010339e-02 7.118563105815511362e-03 2.848668862815978420e-01 5.180611374792356422e-02 -3.080003400554227801e-03 8.065575497827692786e-01 8.088119151354711267e-01 3.164902154867901135e-02
1.100000000000000000e+01 3.134162351538937602e-02 9.403864404759167128e-02 2.060559261835047951e-01 7.559599169361254367e-02 1.062402662172199155e-02 7.735198572986887733e-01 7.758269593943272202e-01 3.636753483895713984e-02
1.200000000000000000e+01 -1.377333062250080814e-02 1.471037633833778557e-01 1.376022010481598168e-01 4.498412478846532114e-02 1.611198460863831616e-02 7.374223631143786983e-01 7.401485580881288495e-01 -4.683924111173296684e-02
1.300000000000000000e+01 -4.727497751176464730e-02 1.946370299776855606e-01 7.411279619726555967e-02 -9.623125209119124529e-03 4.655511059109362221e-02 7.011070402721326644e-01 7.042324702750003551e-01 -7.866021864863509405e-02
