# z	v_x(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 4.388541835720875915e-17
1.000000000000000000e+00 8.167737817669051825e-01 5.432872463020591014e-02
2.000000000000000000e+00 6.090070005121135388e-01 1.064872687810733826e-01
3.000000000000000000e+00 5.050838870861860119e-01 1.274738317993489578e-01
4.000000000000000000e+00 4.409833064786736756e-01 1.350620401524160463e-01
5.000000000000000000e+00 3.920500012724380534e-01 1.361791653670180180e-01
6.000000000000000000e+00 3.379778408560135672e-01 1.380823660437088263e-01
7.000000000000000000e+00 2.825355873490250080e-01 1.413786480118785494e-01
8.000000000000000000e+00 2.419957916295875089e-01 1.415213034854571617e-01
9.000000000000000000e+00 2.324301793135513106e-01 1.332041418476341832e-01
1.000000000000000000e+01 2.521062094276952381e-01 1.173931867283144886e-01
1.100000000000000000e+01 2.504213204492241607e-01 1.088281736859518511e-01
1.200000000000000000e+01 2.203450529121143975e-01 1.081402995337982648e-01
1.300000000000000000e+01 1.981357657429573538e-01 1.066163402940535077e-01
1.400000000000000000e+01 1.723704084588975893e-01 1.035037176242392803e-01
1.500000000000000000e+01 1.356952903211898209e-01 1.022853944319845748e-01
1.600000000000000000e+01 1.011317778865420819e-01 1.012382926158749002e-01
1.700000000000000000e+01 8.314519785214016800e-02 9.822686542272181243e-02
1.800000000000000000e+01 6.086213584076499705e-02 9.593029024341792610e-02
1.900000000000000000e+01 5.168108359350768316e-02 9.003240489709256333e-02
2.000000000000000000e+01 4.890005670120841502e-02 8.143484203685208422e-02
2.100000000000000000e+01 6.450683923913239082e-02 7.132108701765597913e-02
2.200000000000000000e+01 7.780667489527692826e-02 6.573253812790147421e-02
2.300000000000000000e+01 7.496450009966401651e-02 6.394917471461540603e-02
2.400000000000000000e+01 5.804580566079281523e-02 5.767432708369103767e-02
2.500000000000000000e+01 3.552119575431691989e-02 5.129189529364397426e-02
2.600000000000000000e+01 3.670299630462247470e-02 4.600774930544846569e-02
2.700000000000000000e+01 4.555961429022781228e-02 4.492246832729734907e-02
2.800000000000000000e+01 2.910371833816981224e-02 4.902665876667524486e-02
2.900000000000000000e+01 -4.591246116604271593e-03 4.361437641509143676e-02
3.000000000000000000e+01 -4.086141444991839983e-02 3.451522657651585196e-02
3.100000000000000000e+01 -6.163854135915104032e-02 3.058871921161377544e-02
3.200000000000000000e+01 -6.683101946644870450e-02 2.975107207968782225e-02
3.300000000000000000e+01 -8.325574743397115562e-02 2.703243060505171325e-02
3.400000000000000000e+01 -9.682514331894445658e-02 3.284962243873004034e-02
3.500000000000000000e+01 -9.695379721638069936e-02 4.303105524573800494e-02
3.600000000000000000e+01 -9.372265984699537644e-02 4.858874808680221230e-02
3.700000000000000000e+01 -1.046554297566863190e-01 4.410539211153598899e-02
3.800000000000000000e+01 -1.269465941187007119e-01 3.924407869108188784e-02
3.900000000000000000e+01 -1.362477062636674729e-01 5.053565264858181361e-02
4.000000000000000000e+01 -1.390153980094269159e-01 5.949863380164286536e-02
4.100000000000000000e+01 -1.352694573300551040e-01 6.184078949772620071e-02
4.200000000000000000e+01 -1.081981291630856185e-01 7.249088788621839419e-02
4.300000000000000000e+01 -8.253044443398024899e-02 8.580510130543080038e-02
4.400000000000000000e+01 -1.006551801041508098e-01 8.938932637529348191e-02
4.500000000000000000e+01 -1.322557942980138457e-01 8.883732705327598844e-02
4.600000000000000000e+01 -1.433253307091484907e-01 8.923265813471861763e-02
4.700000000000000000e+01 -1.384102116680591965e-01 9.238048455469496933e-02
4.800000000000000000e+01 -1.371012853471322845e-01 9.724947036242798104e-02
4.900000000000000000e+01 -1.494043557714220816e-01 1.001528838847821484e-01
5.000000000000000000e+01 -1.848382277898693027e-01 9.474039665950886868e-02
5.100000000000000000e+01 -2.110247248966314604e-01 8.957419971284592830e-02
5.200000000000000000e+01 -2.233287270341733355e-01 9.068250381275487493e-02
5.300000000000000000e+01 -2.280974840928051139e-01 9.445906654358078580e-02
5.400000000000000000e+01 -2.478340442061700843e-01 9.258380733348681169e-02
5.500000000000000000e+01 -2.691901851771707488e-01 9.089084276653358607e-02
5.600000000000000000e+01 -2.773043002480087837e-01 9.186606234198696486e-02
5.700000000000000000e+01 -2.763840305504521866e-01 9.544932485504993569e-02
5.800000000000000000e+01 -2.563361043704238118e-01 1.030121990015740174e-01
5.900000000000000000e+01 -2.423983403123884661e-01 1.092920176958326606e-01
6.000000000000000000e+01 -2.550974850302978880e-01 1.082151386877108490e-01
6.100000000000000000e+01 -2.974528032375299835e-01 1.003783397767948199e-01
6.200000000000000000e+01 -3.389934738375591783e-01 9.380443088811478425e-02
6.300000000000000000e+01 -3.526003482564632474e-01 9.163213092228170153e-02
6.400000000000000000e+01 -3.442391193969539520e-01 9.240287558899780429e-02
