# r	p	err_p
2.512606653733189255e+00 2.451311047184472347e-01 1.016414814473606170e-03
3.561929021238021686e+00 2.477916789807244058e-01 1.432571998510862423e-03
4.356729213393080613e+00 2.472978564925928935e-01 7.191837527458652896e-04
5.013447545478241452e+00 2.547674533101388361e-01 1.012677244455988676e-03
5.620089346788216922e+00 2.504324937298755827e-01 7.192608872874502136e-04
6.149261213124503911e+00 2.525504532766840171e-01 1.242488625248769785e-03
6.655384449579979211e+00 2.496020088296597716e-01 5.063963709832056299e-04
7.101836817437120253e+00 2.528585794629222838e-01 1.525674319921718107e-03
7.535305600349580857e+00 2.487338089182956624e-01 5.803004541935297481e-04
7.948968646753948875e+00 2.470780286264841197e-01 7.251735252792793464e-04
8.330669832460708690e+00 2.477376302083333370e-01 7.131657458418588476e-04
8.677382656976314834e+00 2.455133349067736559e-01 7.680782795072061721e-04
9.055600823514188491e+00 2.467802683926919594e-01 4.069942412656564197e-04
9.757349031813612683e+00 2.479708704766187821e-01 4.760884727740768855e-04
1.034155892302051605e+01 2.458895680070800338e-01 4.647968963343973971e-04
1.092298669527841426e+01 2.473256282064074940e-01 3.279012295793968515e-04
1.152879877210405546e+01 2.478390555441101484e-01 4.319757575805865035e-04
1.201923328105170974e+01 2.474112932332698522e-01 4.409690130799436892e-04
1.256399778041992832e+01 2.473620834333483398e-01 3.521059663483598568e-04
1.317008539061381533e+01 2.470463460987394888e-01 2.619438734883399768e-04
1.398349568614121630e+01 2.471003520010147669e-01 3.519458058012806196e-04
1.458665112772921901e+01 2.473018803515483754e-01 2.512350953366967511e-04
1.526823969279726434e+01 2.464451556538371502e-01 2.633907843277766736e-04
1.572201740103708367e+01 2.476089335552260351e-01 4.498322637706375464e-04
1.633347268265018570e+01 2.472466350516622779e-01 2.272682389609498570e-04
1.684598927334981866e+01 2.468307532986948050e-01 3.049373839442594400e-04
1.722744559681595433e+01 2.447353561995278259e-01 3.440888814877710576e-04
1.760861920172568773e+01 2.467627338491620581e-01 2.840046669285571667e-04
1.813273114702672117e+01 2.465150502786086495e-01 2.550303510728093356e-04
1.860802749525613820e+01 2.469125259479202361e-01 2.615775391164379946e-04
1.911191182195393878e+01 2.463386175601768036e-01 2.292028882102652848e-04
1.957714372032868866e+01 2.461403002206561108e-01 2.724996607366976086e-04
