# r	p	err_p
2.514170919556171224e+00 2.159329140461215824e-01 1.434956394147825958e-03
3.565218730109206202e+00 2.547863530970519985e-01 2.034623364349058029e-03
4.356858296483363091e+00 2.644240400667779434e-01 1.020645899961267330e-03
5.012521753301080629e+00 2.517609110657626492e-01 1.434255292624194572e-03
5.620763937932465204e+00 2.420000334901790118e-01 1.022752940642574502e-03
6.145087471419652836e+00 2.437924394446133458e-01 1.779363416055724113e-03
6.656878693803328417e+00 2.407702947122034309e-01 7.149516936933637302e-04
7.487456787808231873e+00 2.492839675335179195e-01 7.711737211042820781e-04
7.951990083166394108e+00 2.489125015044445499e-01 1.036625808701624766e-03
8.329837782020836912e+00 2.494119195275616430e-01 1.013957526830239599e-03
8.971877530592351491e+00 2.483213359246623786e-01 5.105450298806644017e-04
9.752632880433489859e+00 2.469787511677219438e-01 6.806964665428110600e-04
1.034849926792470143e+01 2.478467644068352571e-01 6.402879477676976742e-04
1.092409002095795323e+01 2.482879080091699719e-01 4.768904581508458707e-04
1.151969617398588319e+01 2.482523138786499328e-01 6.009020881403763460e-04
1.201789923396082216e+01 2.469858178459825582e-01 6.287491694089370267e-04
1.256119120971927039e+01 2.471624713042014920e-01 5.003832701219533118e-04
1.316562041010454820e+01 2.469769235542868258e-01 3.721700451902594216e-04
1.397916977794242044e+01 2.470079112854148273e-01 4.985749991788192195e-04
1.457615973858688108e+01 2.460519771848084514e-01 3.606120716323357061e-04
1.527362874521435643e+01 2.480930115530581015e-01 3.619981460065062415e-04
1.573814949772241611e+01 2.488607228988991560e-01 6.895551674802782426e-04
1.633207553295878967e+01 2.456749178300520475e-01 3.214293563296498975e-04
1.684858929153928742e+01 2.465886239586325690e-01 4.324461395682092165e-04
1.722341781591440579e+01 2.470147115017195250e-01 4.987546477576224047e-04
1.760591809726031443e+01 2.459701326847532343e-01 3.970731230763430738e-04
1.812398387912399400e+01 2.471388304576326300e-01 3.714095934957729883e-04
1.859803300989311836e+01 2.455988859117787804e-01 3.636703630315022860e-04
1.910462293541420209e+01 2.464054718154930490e-01 3.295418563618379227e-04
1.957363834964044003e+01 2.456588390339167205e-01 3.771430549590436949e-04
